pokemon_identifier,language_identifier,name
raticate-alolan-form,de,Alola-Form
raticate-alolan-form,es,Forma de Alola
raticate-alolan-form,ko,알로라의 모습
raticate-alolan-form,zh-simp,阿罗拉的样子
raticate-alolan-form,zh-trad,阿羅拉的樣子
pikachu-rock-star,jp-kana,ハードロック・ピカチュウ
pikachu-rock-star,jp-kanji,ハードロック・ピカチュウ
pikachu-rock-star,en,Pikachu Rock Star
pikachu-rock-star,fr,Pikachu Rockeur
pikachu-rock-star,it,Pikachu rockstar
pikachu-rock-star,de,Rocker-Pikachu
pikachu-rock-star,es,Pikachu Roquera
pikachu-rock-star,ko,하드록 피카츄
pikachu-belle,jp-kana,マダム・ピカチュウ
pikachu-belle,jp-kanji,マダム・ピカチュウ
pikachu-belle,en,Pikachu Belle
pikachu-belle,fr,Pikachu Lady
pikachu-belle,it,Pikachu damigella
pikachu-belle,de,Damen-Pikachu
pikachu-belle,es,Pikachu Aristócrata
pikachu-belle,ko,마담 피카츄
pikachu-pop-star,jp-kana,アイドル・ピカチュウ
pikachu-pop-star,jp-kanji,アイドル・ピカチュウ
pikachu-pop-star,en,Pikachu Pop Star
pikachu-pop-star,fr,Pikachu Star
pikachu-pop-star,it,Pikachu confetto
pikachu-pop-star,de,Star-Pikachu
pikachu-pop-star,es,Pikachu Superstar
pikachu-pop-star,ko,아이돌 피카츄
pikachu-phd,jp-kana,ドクター・ピカチュウ
pikachu-phd,jp-kanji,ドクター・ピカチュウ
pikachu-phd,en,"Pikachu, Ph.D."
pikachu-phd,fr,Pikachu Docteur
pikachu-phd,it,Pikachu scienziata
pikachu-phd,de,Professoren-Pikachu
pikachu-phd,es,Pikachu Erudita
pikachu-phd,ko,닥터 피카츄
pikachu-libre,jp-kana,マスク・ド・ピカチュウ
pikachu-libre,jp-kanji,マスク・ド・ピカチュウ
pikachu-libre,en,Pikachu Libre
pikachu-libre,fr,Pikachu Catcheur
pikachu-libre,it,Pikachu wrestler
pikachu-libre,de,Wrestler-Pikachu
pikachu-libre,es,Pikachu Enmascarada
pikachu-libre,ko,마스크드 피카츄
pikachu-cosplay,jp-kana,おきがえピカチュウ
pikachu-cosplay,jp-kanji,おきがえピカチュウ
pikachu-cosplay,en,Cosplay Pikachu
pikachu-cosplay,fr,Pikachu Cosplayeur
pikachu-cosplay,it,Pikachu Cosplay
pikachu-cosplay,de,Cosplay-Pikachu
pikachu-cosplay,es,Pikachu Coqueta
pikachu-cosplay,ko,옷갈아입기 피카츄
pikachu-original-cap,jp-kana,オリジナルキャップ
pikachu-original-cap,jp-kanji,オリジナルキャップ
pikachu-original-cap,en,Original Cap
pikachu-original-cap,fr,Casquette Originale
pikachu-original-cap,it,Berretto Originale
pikachu-original-cap,de,Original-Kappe
pikachu-original-cap,es,Gorra Original
pikachu-original-cap,ko,오리지널캡
pikachu-original-cap,zh-simp,初始帽子
pikachu-original-cap,zh-trad,初始帽子
pikachu-hoenn-cap,jp-kana,ホウエンキャップ
pikachu-hoenn-cap,jp-kanji,ホウエンキャップ
pikachu-hoenn-cap,en,Hoenn Cap
pikachu-hoenn-cap,fr,Casquette de Hoenn
pikachu-hoenn-cap,it,Berretto Hoenn
pikachu-hoenn-cap,de,Hoenn-Kappe
pikachu-hoenn-cap,es,Gorra Hoenn
pikachu-hoenn-cap,ko,호연캡
pikachu-hoenn-cap,zh-simp,丰缘帽子
pikachu-hoenn-cap,zh-trad,豐緣帽子
pikachu-sinnoh-cap,jp-kana,シンオウキャップ
pikachu-sinnoh-cap,jp-kanji,シンオウキャップ
pikachu-sinnoh-cap,en,Sinnoh Cap
pikachu-sinnoh-cap,fr,Casquette de Sinnoh
pikachu-sinnoh-cap,it,Berretto Sinnoh
pikachu-sinnoh-cap,de,Sinnoh-Kappe
pikachu-sinnoh-cap,es,Gorra Sinnoh
pikachu-sinnoh-cap,ko,신오캡
pikachu-sinnoh-cap,zh-simp,神奥帽子
pikachu-sinnoh-cap,zh-trad,神奧帽子
pikachu-unova-cap,jp-kana,イッシュキャップ
pikachu-unova-cap,jp-kanji,イッシュキャップ
pikachu-unova-cap,en,Unova Cap
pikachu-unova-cap,fr,Casquette d’Unys
pikachu-unova-cap,it,Berretto Unima
pikachu-unova-cap,de,Einall-Kappe
pikachu-unova-cap,es,Gorra Teselia
pikachu-unova-cap,ko,하나캡
pikachu-unova-cap,zh-simp,合众帽子
pikachu-unova-cap,zh-trad,合眾帽子
pikachu-kalos-cap,jp-kana,カロスキャップ
pikachu-kalos-cap,jp-kanji,カロスキャップ
pikachu-kalos-cap,en,Kalos Cap
pikachu-kalos-cap,fr,Casquette de Kalos
pikachu-kalos-cap,it,Berretto Kalos
pikachu-kalos-cap,de,Kalos-Kappe
pikachu-kalos-cap,es,Gorra Kalos
pikachu-kalos-cap,ko,칼로스캡
pikachu-kalos-cap,zh-simp,卡洛斯帽子
pikachu-kalos-cap,zh-trad,卡洛斯帽子
pikachu-alola-cap,jp-kana,アローラキャップ
pikachu-alola-cap,jp-kanji,アローラキャップ
pikachu-alola-cap,en,Alola Cap
pikachu-alola-cap,fr,Casquette d’Alola
pikachu-alola-cap,it,Berretto Alola
pikachu-alola-cap,de,Alola-Kappe
pikachu-alola-cap,es,Gorra Alola
pikachu-alola-cap,ko,알로라캡
pikachu-alola-cap,zh-simp,阿罗拉帽子
pikachu-alola-cap,zh-trad,阿羅拉帽子
pikachu-partner-cap,jp-kana,キミにきめたキャップ
pikachu-partner-cap,jp-kanji,キミにきめたキャップ
pikachu-partner-cap,en,Partner Cap
pikachu-partner-cap,fr,Casquette Partenaire
pikachu-partner-cap,it,Berretto Compagni
pikachu-partner-cap,de,Partner-Kappe
pikachu-partner-cap,es,Gorra Compañero
pikachu-partner-cap,ko,너로정했다캡
pikachu-partner-cap,zh-simp,就决定是你了之帽子
pikachu-partner-cap,zh-trad,就決定是你了之帽子
pikachu-world-cap,jp-kana,ワールドキャップ
pikachu-world-cap,jp-kanji,ワールドキャップ
pikachu-world-cap,en,World Cap
pikachu-world-cap,fr,Casquette Monde
pikachu-world-cap,it,Berretto Giramondo
pikachu-world-cap,de,Weltreise-Kappe
pikachu-world-cap,es,Gorra Trotamundos
pikachu-world-cap,ko,월드캡
pikachu-world-cap,zh-simp,世界帽子
pikachu-world-cap,zh-trad,世界帽子
pikachu-gigantamax,jp-kana,キョダイマックス
pikachu-gigantamax,jp-kanji,キョダイマックス
pikachu-gigantamax,en,Gigantamax
pikachu-gigantamax,fr,Gigamax
pikachu-gigantamax,it,Gigamax
pikachu-gigantamax,de,Gigadynamax
pikachu-gigantamax,es,Gigamax
pikachu-gigantamax,ko,거다이맥스
pikachu-gigantamax,zh-simp,超极巨化
pikachu-gigantamax,zh-trad,超極巨化
raichu-alolan-form,jp-kana,アローラのすがた
raichu-alolan-form,jp-kanji,アローラのすがた
raichu-alolan-form,en,Alolan Form
raichu-alolan-form,fr,Forme d’Alola
raichu-alolan-form,it,Forma di Alola
raichu-alolan-form,de,Alola-Form
raichu-alolan-form,es,Forma de Alola
raichu-alolan-form,ko,알로라의 모습
raichu-alolan-form,zh-simp,阿罗拉的样子
raichu-alolan-form,zh-trad,阿羅拉的樣子
sandshrew-alolan-form,jp-kana,アローラのすがた
sandshrew-alolan-form,jp-kanji,アローラのすがた
sandshrew-alolan-form,en,Alolan Form
sandshrew-alolan-form,fr,Forme d’Alola
sandshrew-alolan-form,it,Forma di Alola
sandshrew-alolan-form,de,Alola-Form
sandshrew-alolan-form,es,Forma de Alola
sandshrew-alolan-form,ko,알로라의 모습
sandshrew-alolan-form,zh-simp,阿罗拉的样子
sandshrew-alolan-form,zh-trad,阿羅拉的樣子
sandslash-alolan-form,jp-kana,アローラのすがた
sandslash-alolan-form,jp-kanji,アローラのすがた
sandslash-alolan-form,en,Alolan Form
sandslash-alolan-form,fr,Forme d’Alola
sandslash-alolan-form,it,Forma di Alola
sandslash-alolan-form,de,Alola-Form
sandslash-alolan-form,es,Forma de Alola
sandslash-alolan-form,ko,알로라의 모습
sandslash-alolan-form,zh-simp,阿罗拉的样子
sandslash-alolan-form,zh-trad,阿羅拉的樣子
vulpix-alolan-form,jp-kana,アローラのすがた
vulpix-alolan-form,jp-kanji,アローラのすがた
vulpix-alolan-form,en,Alolan Form
vulpix-alolan-form,fr,Forme d’Alola
vulpix-alolan-form,it,Forma di Alola
vulpix-alolan-form,de,Alola-Form
vulpix-alolan-form,es,Forma de Alola
vulpix-alolan-form,ko,알로라의 모습
vulpix-alolan-form,zh-simp,阿罗拉的样子
vulpix-alolan-form,zh-trad,阿羅拉的樣子
ninetales-alolan-form,jp-kana,アローラのすがた
ninetales-alolan-form,jp-kanji,アローラのすがた
ninetales-alolan-form,en,Alolan Form
ninetales-alolan-form,fr,Forme d’Alola
ninetales-alolan-form,it,Forma di Alola
ninetales-alolan-form,de,Alola-Form
ninetales-alolan-form,es,Forma de Alola
ninetales-alolan-form,ko,알로라의 모습
ninetales-alolan-form,zh-simp,阿罗拉的样子
ninetales-alolan-form,zh-trad,阿羅拉的樣子
diglett-alolan-form,jp-kana,アローラのすがた
diglett-alolan-form,jp-kanji,アローラのすがた
diglett-alolan-form,en,Alolan Form
diglett-alolan-form,fr,Forme d’Alola
diglett-alolan-form,it,Forma di Alola
diglett-alolan-form,de,Alola-Form
diglett-alolan-form,es,Forma de Alola
diglett-alolan-form,ko,알로라의 모습
diglett-alolan-form,zh-simp,阿罗拉的样子
diglett-alolan-form,zh-trad,阿羅拉的樣子
dugtrio-alolan-form,jp-kana,アローラのすがた
dugtrio-alolan-form,jp-kanji,アローラのすがた
dugtrio-alolan-form,en,Alolan Form
dugtrio-alolan-form,fr,Forme d’Alola
dugtrio-alolan-form,it,Forma di Alola
dugtrio-alolan-form,de,Alola-Form
dugtrio-alolan-form,es,Forma de Alola
dugtrio-alolan-form,ko,알로라의 모습
dugtrio-alolan-form,zh-simp,阿罗拉的样子
dugtrio-alolan-form,zh-trad,阿羅拉的樣子
meowth-alolan-form,jp-kana,アローラのすがた
meowth-alolan-form,jp-kanji,アローラのすがた
meowth-alolan-form,en,Alolan Form
meowth-alolan-form,fr,Forme d’Alola
meowth-alolan-form,it,Forma di Alola
meowth-alolan-form,de,Alola-Form
meowth-alolan-form,es,Forma de Alola
meowth-alolan-form,ko,알로라의 모습
meowth-alolan-form,zh-simp,阿罗拉的样子
meowth-alolan-form,zh-trad,阿羅拉的樣子
meowth-galarian-form,jp-kana,ガラルのすがた
meowth-galarian-form,jp-kanji,ガラルのすがた
meowth-galarian-form,en,Galarian Form
meowth-galarian-form,fr,Forme de Galar
meowth-galarian-form,it,Forma di Galar
meowth-galarian-form,de,Galar-Form
meowth-galarian-form,es,Forma de Galar
meowth-galarian-form,ko,가라르의 모습
meowth-galarian-form,zh-simp,伽勒尔的样子
meowth-galarian-form,zh-trad,伽勒爾的樣子
meowth-gigantamax,jp-kana,キョダイマックス
meowth-gigantamax,jp-kanji,キョダイマックス
meowth-gigantamax,en,Gigantamax
meowth-gigantamax,fr,Gigamax
meowth-gigantamax,it,Gigamax
meowth-gigantamax,de,Gigadynamax
meowth-gigantamax,es,Gigamax
meowth-gigantamax,ko,거다이맥스
meowth-gigantamax,zh-simp,超极巨化
meowth-gigantamax,zh-trad,超極巨化
persian-alolan-form,jp-kana,アローラのすがた
persian-alolan-form,jp-kanji,アローラのすがた
persian-alolan-form,en,Alolan Form
persian-alolan-form,fr,Forme d’Alola
persian-alolan-form,it,Forma di Alola
persian-alolan-form,de,Alola-Form
persian-alolan-form,es,Forma de Alola
persian-alolan-form,ko,알로라의 모습
persian-alolan-form,zh-simp,阿罗拉的样子
persian-alolan-form,zh-trad,阿羅拉的樣子
growlithe-hisuian-form,jp-kana,ヒスイのすがた
growlithe-hisuian-form,jp-kanji,ヒスイのすがた
growlithe-hisuian-form,en,Hisuian Form
growlithe-hisuian-form,fr,Forme de Hisui
growlithe-hisuian-form,it,Forma di Hisui
growlithe-hisuian-form,de,Hisui-Form
growlithe-hisuian-form,es,Forma de Hisui
growlithe-hisuian-form,ko,히스이의 모습
growlithe-hisuian-form,zh-simp,洗翠的样子
growlithe-hisuian-form,zh-trad,洗翠的樣子
arcanine-hisuian-form,jp-kana,ヒスイのすがた
arcanine-hisuian-form,jp-kanji,ヒスイのすがた
arcanine-hisuian-form,en,Hisuian Form
arcanine-hisuian-form,fr,Forme de Hisui
arcanine-hisuian-form,it,Forma di Hisui
arcanine-hisuian-form,de,Hisui-Form
arcanine-hisuian-form,es,Forma de Hisui
arcanine-hisuian-form,ko,히스이의 모습
arcanine-hisuian-form,zh-simp,洗翠的样子
arcanine-hisuian-form,zh-trad,洗翠的樣子
arcanine-lord-form,jp-kanji,キングのすがた
arcanine-lord-form,en,Lord Form
arcanine-lord-form,fr,Forme de Roi
arcanine-lord-form,it,Forma Re
arcanine-lord-form,de,Königsform
arcanine-lord-form,es,Forma de Señor
arcanine-lord-form,ko,왕의 모습
arcanine-lord-form,zh-simp,王的样子
arcanine-lord-form,zh-trad,王的樣子
alakazam-mega,jp-kana,メガフーディン
alakazam-mega,jp-kanji,メガフーディン
alakazam-mega,en,Mega Alakazam
alakazam-mega,fr,Méga-Alakazam
alakazam-mega,it,MegaAlakazam
alakazam-mega,de,Mega-Simsala
alakazam-mega,es,Mega-Alakazam
alakazam-mega,ko,메가후딘
alakazam-mega,zh-simp,超级胡地
alakazam-mega,zh-trad,超級胡地
machamp-gigantamax,jp-kana,キョダイマックス
machamp-gigantamax,jp-kanji,キョダイマックス
machamp-gigantamax,en,Gigantamax
machamp-gigantamax,fr,Gigamax
machamp-gigantamax,it,Gigamax
machamp-gigantamax,de,Gigadynamax
machamp-gigantamax,es,Gigamax
machamp-gigantamax,ko,거다이맥스
machamp-gigantamax,zh-simp,超极巨化
machamp-gigantamax,zh-trad,超極巨化
geodude-alolan-form,jp-kana,アローラのすがた
geodude-alolan-form,jp-kanji,アローラのすがた
geodude-alolan-form,en,Alolan Form
geodude-alolan-form,fr,Forme d’Alola
geodude-alolan-form,it,Forma di Alola
geodude-alolan-form,de,Alola-Form
geodude-alolan-form,es,Forma de Alola
geodude-alolan-form,ko,알로라의 모습
geodude-alolan-form,zh-simp,阿罗拉的样子
geodude-alolan-form,zh-trad,阿羅拉的樣子
graveler-alolan-form,jp-kana,アローラのすがた
graveler-alolan-form,jp-kanji,アローラのすがた
graveler-alolan-form,en,Alolan Form
graveler-alolan-form,fr,Forme d’Alola
graveler-alolan-form,it,Forma di Alola
graveler-alolan-form,de,Alola-Form
graveler-alolan-form,es,Forma de Alola
graveler-alolan-form,ko,알로라의 모습
graveler-alolan-form,zh-simp,阿罗拉的样子
graveler-alolan-form,zh-trad,阿羅拉的樣子
golem-alolan-form,jp-kana,アローラのすがた
golem-alolan-form,jp-kanji,アローラのすがた
golem-alolan-form,en,Alolan Form
golem-alolan-form,fr,Forme d’Alola
golem-alolan-form,it,Forma di Alola
golem-alolan-form,de,Alola-Form
golem-alolan-form,es,Forma de Alola
golem-alolan-form,ko,알로라의 모습
golem-alolan-form,zh-simp,阿罗拉的样子
golem-alolan-form,zh-trad,阿羅拉的樣子
ponyta-galarian-form,jp-kana,ガラルのすがた
ponyta-galarian-form,jp-kanji,ガラルのすがた
ponyta-galarian-form,en,Galarian Form
ponyta-galarian-form,fr,Forme de Galar
ponyta-galarian-form,it,Forma di Galar
ponyta-galarian-form,de,Galar-Form
ponyta-galarian-form,es,Forma de Galar
ponyta-galarian-form,ko,가라르의 모습
ponyta-galarian-form,zh-simp,伽勒尔的样子
ponyta-galarian-form,zh-trad,伽勒爾的樣子
rapidash-galarian-form,jp-kana,ガラルのすがた
rapidash-galarian-form,jp-kanji,ガラルのすがた
rapidash-galarian-form,en,Galarian Form
rapidash-galarian-form,fr,Forme de Galar
rapidash-galarian-form,it,Forma di Galar
rapidash-galarian-form,de,Galar-Form
rapidash-galarian-form,es,Forma de Galar
rapidash-galarian-form,ko,가라르의 모습
rapidash-galarian-form,zh-simp,伽勒尔的样子
rapidash-galarian-form,zh-trad,伽勒爾的樣子
slowpoke-galarian-form,jp-kana,ガラルのすがた
slowpoke-galarian-form,jp-kanji,ガラルのすがた
slowpoke-galarian-form,en,Galarian Form
slowpoke-galarian-form,fr,Forme de Galar
slowpoke-galarian-form,it,Forma di Galar
slowpoke-galarian-form,de,Galar-Form
slowpoke-galarian-form,es,Forma de Galar
slowpoke-galarian-form,ko,가라르의 모습
slowpoke-galarian-form,zh-simp,伽勒尔的样子
slowpoke-galarian-form,zh-trad,伽勒爾的樣子
slowbro-mega,jp-kana,メガヤドラン
slowbro-mega,jp-kanji,メガヤドラン
slowbro-mega,en,Mega Slowbro
slowbro-mega,fr,Méga-Flagadoss
slowbro-mega,it,MegaSlowbro
slowbro-mega,de,Mega-Lahmus
slowbro-mega,es,Mega-Slowbro
slowbro-mega,ko,메가야도란
slowbro-mega,zh-simp,超级呆壳兽
slowbro-mega,zh-trad,超級呆殼獸
slowbro-galarian-form,jp-kana,ガラルのすがた
slowbro-galarian-form,jp-kanji,ガラルのすがた
slowbro-galarian-form,en,Galarian Form
slowbro-galarian-form,fr,Forme de Galar
slowbro-galarian-form,it,Forma di Galar
slowbro-galarian-form,de,Galar-Form
slowbro-galarian-form,es,Forma de Galar
slowbro-galarian-form,ko,가라르의 모습
slowbro-galarian-form,zh-simp,伽勒尔的样子
slowbro-galarian-form,zh-trad,伽勒爾的樣子
farfetchd-galarian-form,jp-kana,ガラルのすがた
farfetchd-galarian-form,jp-kanji,ガラルのすがた
farfetchd-galarian-form,en,Galarian Form
farfetchd-galarian-form,fr,Forme de Galar
farfetchd-galarian-form,it,Forma di Galar
farfetchd-galarian-form,de,Galar-Form
farfetchd-galarian-form,es,Forma de Galar
farfetchd-galarian-form,ko,가라르의 모습
farfetchd-galarian-form,zh-simp,伽勒尔的样子
farfetchd-galarian-form,zh-trad,伽勒爾的樣子
grimer-alolan-form,jp-kana,アローラのすがた
grimer-alolan-form,jp-kanji,アローラのすがた
grimer-alolan-form,en,Alolan Form
grimer-alolan-form,fr,Forme d’Alola
grimer-alolan-form,it,Forma di Alola
grimer-alolan-form,de,Alola-Form
grimer-alolan-form,es,Forma de Alola
grimer-alolan-form,ko,알로라의 모습
grimer-alolan-form,zh-simp,阿罗拉的样子
grimer-alolan-form,zh-trad,阿羅拉的樣子
muk-alolan-form,jp-kana,アローラのすがた
muk-alolan-form,jp-kanji,アローラのすがた
muk-alolan-form,en,Alolan Form
muk-alolan-form,fr,Forme d’Alola
muk-alolan-form,it,Forma di Alola
muk-alolan-form,de,Alola-Form
muk-alolan-form,es,Forma de Alola
muk-alolan-form,ko,알로라의 모습
muk-alolan-form,zh-simp,阿罗拉的样子
muk-alolan-form,zh-trad,阿羅拉的樣子
gengar-mega,jp-kana,メガゲンガー
gengar-mega,jp-kanji,メガゲンガー
gengar-mega,en,Mega Gengar
gengar-mega,fr,Méga-Ectoplasma
gengar-mega,it,MegaGengar
gengar-mega,de,Mega-Gengar
gengar-mega,es,Mega-Gengar
gengar-mega,ko,메가팬텀
gengar-mega,zh-simp,超级耿鬼
gengar-mega,zh-trad,超級耿鬼
gengar-gigantamax,jp-kana,キョダイマックス
gengar-gigantamax,jp-kanji,キョダイマックス
gengar-gigantamax,en,Gigantamax
gengar-gigantamax,fr,Gigamax
gengar-gigantamax,it,Gigamax
gengar-gigantamax,de,Gigadynamax
gengar-gigantamax,es,Gigamax
gengar-gigantamax,ko,거다이맥스
gengar-gigantamax,zh-simp,超极巨化
gengar-gigantamax,zh-trad,超極巨化
kingler-gigantamax,jp-kana,キョダイマックス
kingler-gigantamax,jp-kanji,キョダイマックス
kingler-gigantamax,en,Gigantamax
kingler-gigantamax,fr,Gigamax
kingler-gigantamax,it,Gigamax
kingler-gigantamax,de,Gigadynamax
kingler-gigantamax,es,Gigamax
kingler-gigantamax,ko,거다이맥스
kingler-gigantamax,zh-simp,超极巨化
kingler-gigantamax,zh-trad,超極巨化
voltorb-hisuian-form,jp-kana,ヒスイのすがた
voltorb-hisuian-form,jp-kanji,ヒスイのすがた
voltorb-hisuian-form,en,Hisuian Form
voltorb-hisuian-form,fr,Forme de Hisui
voltorb-hisuian-form,it,Forma di Hisui
voltorb-hisuian-form,de,Hisui-Form
voltorb-hisuian-form,es,Forma de Hisui
voltorb-hisuian-form,ko,히스이의 모습
voltorb-hisuian-form,zh-simp,洗翠的样子
voltorb-hisuian-form,zh-trad,洗翠的樣子
electrode-hisuian-form,jp-kana,ヒスイのすがた
electrode-hisuian-form,jp-kanji,ヒスイのすがた
electrode-hisuian-form,en,Hisuian Form
electrode-hisuian-form,fr,Forme de Hisui
electrode-hisuian-form,it,Forma di Hisui
electrode-hisuian-form,de,Hisui-Form
electrode-hisuian-form,es,Forma de Hisui
electrode-hisuian-form,ko,히스이의 모습
electrode-hisuian-form,zh-simp,洗翠的样子
electrode-hisuian-form,zh-trad,洗翠的樣子
electrode-lord-form,jp-kanji,キングのすがた
electrode-lord-form,en,Lord Form
electrode-lord-form,fr,Forme de Roi
electrode-lord-form,it,Forma Re
electrode-lord-form,de,Königsform
electrode-lord-form,es,Forma de Señor
electrode-lord-form,ko,왕의 모습
electrode-lord-form,zh-simp,王的样子
electrode-lord-form,zh-trad,王的樣子
exeggutor-alolan-form,jp-kana,アローラのすがた
exeggutor-alolan-form,jp-kanji,アローラのすがた
exeggutor-alolan-form,en,Alolan Form
exeggutor-alolan-form,fr,Forme d’Alola
exeggutor-alolan-form,it,Forma di Alola
exeggutor-alolan-form,de,Alola-Form
exeggutor-alolan-form,es,Forma de Alola
exeggutor-alolan-form,ko,알로라의 모습
exeggutor-alolan-form,zh-simp,阿罗拉的样子
exeggutor-alolan-form,zh-trad,阿羅拉的樣子
marowak-alolan-form,jp-kana,アローラのすがた
marowak-alolan-form,jp-kanji,アローラのすがた
marowak-alolan-form,en,Alolan Form
marowak-alolan-form,fr,Forme d’Alola
marowak-alolan-form,it,Forma di Alola
marowak-alolan-form,de,Alola-Form
marowak-alolan-form,es,Forma de Alola
marowak-alolan-form,ko,알로라의 모습
marowak-alolan-form,zh-simp,阿罗拉的样子
marowak-alolan-form,zh-trad,阿羅拉的樣子
marowak-alolan-form-totem,ko,알로라의 모습
weezing-galarian-form,jp-kana,ガラルのすがた
weezing-galarian-form,jp-kanji,ガラルのすがた
weezing-galarian-form,en,Galarian Form
weezing-galarian-form,fr,Forme de Galar
weezing-galarian-form,it,Forma di Galar
weezing-galarian-form,de,Galar-Form
weezing-galarian-form,es,Forma de Galar
weezing-galarian-form,ko,가라르의 모습
weezing-galarian-form,zh-simp,伽勒尔的样子
weezing-galarian-form,zh-trad,伽勒爾的樣子
kangaskhan-mega,jp-kana,メガガルーラ
