game_group_identifier,pokemon_species_identifier,language_identifier,name
rb,magneton,de,MAGNETON
rb,magneton,es,MAGNETON
rb,farfetchd,jp-kana,カモネギ
rb,farfetchd,en,FARFETCH’D
rb,farfetchd,fr,CANARTICHO
rb,farfetchd,it,FARFETCH’D
rb,farfetchd,de,PORENTA
rb,farfetchd,es,FARFETCH’D
rb,doduo,jp-kana,ドードー
rb,doduo,en,DODUO
rb,doduo,fr,DODUO
rb,doduo,it,DODUO
rb,doduo,de,DODU
rb,doduo,es,DODUO
rb,dodrio,jp-kana,ドードリオ
rb,dodrio,en,DODRIO
rb,dodrio,fr,DODRIO
rb,dodrio,it,DODRIO
rb,dodrio,de,DODRI
rb,dodrio,es,DODRIO
rb,seel,jp-kana,パウワウ
rb,seel,en,SEEL
rb,seel,fr,OTARIA
rb,seel,it,SEEL
rb,seel,de,JUROB
rb,seel,es,SEEL
rb,dewgong,jp-kana,ジュゴン
rb,dewgong,en,DEWGONG
rb,dewgong,fr,LAMANTINE
rb,dewgong,it,DEWGONG
rb,dewgong,de,JUGONG
rb,dewgong,es,DEWGONG
rb,grimer,jp-kana,ベトベター
rb,grimer,en,GRIMER
rb,grimer,fr,TADMORV
rb,grimer,it,GRIMER
rb,grimer,de,SLEIMA
rb,grimer,es,GRIMER
rb,muk,jp-kana,ベトベトン
rb,muk,en,MUK
rb,muk,fr,GROTADMORV
rb,muk,it,MUK
rb,muk,de,SLEIMOK
rb,muk,es,MUK
rb,shellder,jp-kana,シェルダー
rb,shellder,en,SHELLDER
rb,shellder,fr,KOKIYAS
rb,shellder,it,SHELLDER
rb,shellder,de,MUSCHAS
rb,shellder,es,SHELLDER
rb,cloyster,jp-kana,パルシェン
rb,cloyster,en,CLOYSTER
rb,cloyster,fr,CRUSTABRI
rb,cloyster,it,CLOYSTER
rb,cloyster,de,AUSTOS
rb,cloyster,es,CLOYSTER
rb,gastly,jp-kana,ゴース
rb,gastly,en,GASTLY
rb,gastly,fr,FANTOMINUS
rb,gastly,it,GASTLY
rb,gastly,de,NEBULAK
rb,gastly,es,GASTLY
rb,haunter,jp-kana,ゴースト
rb,haunter,en,HAUNTER
rb,haunter,fr,SPECTRUM
rb,haunter,it,HAUNTER
rb,haunter,de,ALPOLLO
rb,haunter,es,HAUNTER
rb,gengar,jp-kana,ゲンガー
rb,gengar,en,GENGAR
rb,gengar,fr,ECTOPLASMA
rb,gengar,it,GENGAR
rb,gengar,de,GENGAR
rb,gengar,es,GENGAR
rb,onix,jp-kana,イワーク
rb,onix,en,ONIX
rb,onix,fr,ONIX
rb,onix,it,ONIX
rb,onix,de,ONIX
rb,onix,es,ONIX
rb,drowzee,jp-kana,スリープ
rb,drowzee,en,DROWZEE
rb,drowzee,fr,SOPORIFIK
rb,drowzee,it,DROWZEE
rb,drowzee,de,TRAUMATO
rb,drowzee,es,DROWZEE
rb,hypno,jp-kana,スリーパー
rb,hypno,en,HYPNO
rb,hypno,fr,HYPNOMADE
rb,hypno,it,HYPNO
rb,hypno,de,HYPNO
rb,hypno,es,HYPNO
rb,krabby,jp-kana,クラブ
rb,krabby,en,KRABBY
rb,krabby,fr,KRABBY
rb,krabby,it,KRABBY
rb,krabby,de,KRABBY
rb,krabby,es,KRABBY
rb,kingler,jp-kana,キングラー
rb,kingler,en,KINGLER
rb,kingler,fr,KRABBOSS
rb,kingler,it,KINGLER
rb,kingler,de,KINGLER
rb,kingler,es,KINGLER
rb,voltorb,jp-kana,ビリリダマ
rb,voltorb,en,VOLTORB
rb,voltorb,fr,VOLTORBE
rb,voltorb,it,VOLTORB
rb,voltorb,de,VOLTOBAL
rb,voltorb,es,VOLTORB
rb,electrode,jp-kana,マルマイン
rb,electrode,en,ELECTRODE
rb,electrode,fr,ELECTRODE
rb,electrode,it,ELECTRODE
rb,electrode,de,LEKTROBAL
rb,electrode,es,ELECTRODE
rb,exeggcute,jp-kana,タマタマ
rb,exeggcute,en,EXEGGCUTE
rb,exeggcute,fr,NOEUNOEUF
rb,exeggcute,it,EXEGGCUTE
rb,exeggcute,de,OWEI
rb,exeggcute,es,EXEGGCUTE
rb,exeggutor,jp-kana,ナッシー
rb,exeggutor,en,EXEGGUTOR
rb,exeggutor,fr,NOADKOKO
rb,exeggutor,it,EXEGGUTOR
rb,exeggutor,de,KOKOWEI
rb,exeggutor,es,EXEGGUTOR
rb,cubone,jp-kana,カラカラ
rb,cubone,en,CUBONE
rb,cubone,fr,OSSELAIT
rb,cubone,it,CUBONE
rb,cubone,de,TRAGOSSO
rb,cubone,es,CUBONE
rb,marowak,jp-kana,ガラガラ
rb,marowak,en,MAROWAK
rb,marowak,fr,OSSATUEUR
rb,marowak,it,MAROWAK
rb,marowak,de,KNOGGA
rb,marowak,es,MAROWAK
rb,hitmonlee,jp-kana,サワムラー
rb,hitmonlee,en,HITMONLEE
rb,hitmonlee,fr,KICKLEE
rb,hitmonlee,it,HITMONLEE
rb,hitmonlee,de,KICKLEE
rb,hitmonlee,es,HITMONLEE
rb,hitmonchan,jp-kana,エビワラー
rb,hitmonchan,en,HITMONCHAN
rb,hitmonchan,fr,TYGNON
rb,hitmonchan,it,HITMONCHAN
rb,hitmonchan,de,NOCKCHAN
rb,hitmonchan,es,HITMONCHAN
rb,lickitung,jp-kana,ベロリンガ
rb,lickitung,en,LICKITUNG
rb,lickitung,fr,EXCELANGUE
rb,lickitung,it,LICKITUNG
rb,lickitung,de,SCHLURP
rb,lickitung,es,LICKITUNG
rb,koffing,jp-kana,ドガース
rb,koffing,en,KOFFING
rb,koffing,fr,SMOGO
rb,koffing,it,KOFFING
rb,koffing,de,SMOGON
rb,koffing,es,KOFFING
rb,weezing,jp-kana,マタドガス
rb,weezing,en,WEEZING
rb,weezing,fr,SMOGOGO
rb,weezing,it,WEEZING
rb,weezing,de,SMOGMOG
rb,weezing,es,WEEZING
rb,rhyhorn,jp-kana,サイホーン
rb,rhyhorn,en,RHYHORN
rb,rhyhorn,fr,RHINOCORNE
rb,rhyhorn,it,RHYHORN
rb,rhyhorn,de,RIHORN
rb,rhyhorn,es,RHYHORN
rb,rhydon,jp-kana,サイドン
rb,rhydon,en,RHYDON
rb,rhydon,fr,RHINOFEROS
rb,rhydon,it,RHYDON
rb,rhydon,de,RIZEROS
rb,rhydon,es,RHYDON
rb,chansey,jp-kana,ラッキー
rb,chansey,en,CHANSEY
rb,chansey,fr,LEVEINARD
rb,chansey,it,CHANSEY
rb,chansey,de,CHANEIRA
rb,chansey,es,CHANSEY
rb,tangela,jp-kana,モンジャラ
rb,tangela,en,TANGELA
rb,tangela,fr,SAQUEDENEU
rb,tangela,it,TANGELA
rb,tangela,de,TANGELA
rb,tangela,es,TANGELA
rb,kangaskhan,jp-kana,ガルーラ
rb,kangaskhan,en,KANGASKHAN
rb,kangaskhan,fr,KANGOUREX
rb,kangaskhan,it,KANGASKHAN
rb,kangaskhan,de,KANGAMA
rb,kangaskhan,es,KANGASKHAN
rb,horsea,jp-kana,タッツー
rb,horsea,en,HORSEA
rb,horsea,fr,HYPOTREMPE
rb,horsea,it,HORSEA
rb,horsea,de,SEEPER
rb,horsea,es,HORSEA
rb,seadra,jp-kana,シードラ
rb,seadra,en,SEADRA
rb,seadra,fr,HYPOCEAN
rb,seadra,it,SEADRA
rb,seadra,de,SEEMON
rb,seadra,es,SEADRA
rb,goldeen,jp-kana,トサキント
rb,goldeen,en,GOLDEEN
rb,goldeen,fr,POISSIRENE
rb,goldeen,it,GOLDEEN
rb,goldeen,de,GOLDINI
rb,goldeen,es,GOLDEEN
rb,seaking,jp-kana,アズマオウ
rb,seaking,en,SEAKING
rb,seaking,fr,POISSOROY
rb,seaking,it,SEAKING
rb,seaking,de,GOLKING
rb,seaking,es,SEAKING
rb,staryu,jp-kana,ヒトデマン
rb,staryu,en,STARYU
rb,staryu,fr,STARI
rb,staryu,it,STARYU
rb,staryu,de,STERNDU
rb,staryu,es,STARYU
rb,starmie,jp-kana,スターミー
rb,starmie,en,STARMIE
rb,starmie,fr,STAROSS
rb,starmie,it,STARMIE
rb,starmie,de,STARMIE
rb,starmie,es,STARMIE
rb,mr-mime,jp-kana,バリヤード
rb,mr-mime,en,MR.MIME
rb,mr-mime,fr,M.MIME
rb,mr-mime,it,MR.MIME
rb,mr-mime,de,PANTIMOS
rb,mr-mime,es,MR.MIME
rb,scyther,jp-kana,ストライク
rb,scyther,en,SCYTHER
rb,scyther,fr,INSECATEUR
rb,scyther,it,SCYTHER
rb,scyther,de,SICHLOR
rb,scyther,es,SCYTHER
rb,jynx,jp-kana,ルージュラ
rb,jynx,en,JYNX
rb,jynx,fr,LIPPOUTOU
rb,jynx,it,JYNX
rb,jynx,de,ROSSANA
rb,jynx,es,JYNX
rb,electabuzz,jp-kana,エレブー
rb,electabuzz,en,ELECTABUZZ
rb,electabuzz,fr,ELEKTEK
rb,electabuzz,it,ELECTABUZZ
rb,electabuzz,de,ELEKTEK
rb,electabuzz,es,ELECTABUZZ
rb,magmar,jp-kana,ブーバー
rb,magmar,en,MAGMAR
rb,magmar,fr,MAGMAR
rb,magmar,it,MAGMAR
rb,magmar,de,MAGMAR
rb,magmar,es,MAGMAR
rb,pinsir,jp-kana,カイロス
rb,pinsir,en,PINSIR
rb,pinsir,fr,SCARABRUTE
rb,pinsir,it,PINSIR
rb,pinsir,de,PINSIR
rb,pinsir,es,PINSIR
rb,tauros,jp-kana,ケンタロス
rb,tauros,en,TAUROS
rb,tauros,fr,TAUROS
rb,tauros,it,TAUROS
rb,tauros,de,TAUROS
rb,tauros,es,TAUROS
rb,magikarp,jp-kana,コイキング
rb,magikarp,en,MAGIKARP
rb,magikarp,fr,MAGICARPE
rb,magikarp,it,MAGIKARP
rb,magikarp,de,KARPADOR
rb,magikarp,es,MAGIKARP
rb,gyarados,jp-kana,ギャラドス
rb,gyarados,en,GYARADOS
rb,gyarados,fr,LEVIATOR
rb,gyarados,it,GYARADOS
rb,gyarados,de,GARADOS
rb,gyarados,es,GYARADOS
rb,lapras,jp-kana,ラプラス
rb,lapras,en,LAPRAS
rb,lapras,fr,LOKHLASS
rb,lapras,it,LAPRAS
rb,lapras,de,LAPRAS
rb,lapras,es,LAPRAS
rb,ditto,jp-kana,メタモン
