item_identifier,language,game_group_from,game_revision_from,game_group_to,game_revision_to,name
bike,en,dp,,xy,,Bicycle
bike,fr,rb,,e,,BICYCLETTE
bike,it,rb,,e,,BICICLETTA
bike,de,rb,,e,,FAHRRAD
bike,es,rb,,e,,BICICLETA
bike--yellow,en,xy,,xy,,Bicycle
binding-band,fr,bw,,b2w2,,B. Étreinte
binding-band,es,bw,,b2w2,,Ban. Atadura
black-apricorn,en,gs,,c,,BLK APRICORN
black-apricorn,en,hgss,,b2w2,,Blk Apricorn
black-apricorn,fr,gs,,c,,NOIGRUME NOI
black-apricorn,fr,hgss,,oras,,Noigrume Noi
black-apricorn,it,gs,,c,,GHICOC.NERA
black-apricorn,it,hgss,,b2w2,,Ghic. Nera
black-apricorn,it,xy,,la,,Ghicocca Nera
black-apricorn,de,gs,,c,,APRIKOKO SWZ
black-apricorn,de,hgss,,lgpe,,Aprikoko Swz
black-apricorn,es,gs,,c,,BONGURI NEG
black-apricorn,es,hgss,,b2w2,,Bonguri Neg
black-apricorn,ko,gs,,gs,,검은 규토리
black-belt,en,gs,,c,,BLACKBELT
black-belt,en,rs,,e,,BLACK BELT
black-belt,fr,gs,,e,,CEINT.NOIRE
black-belt,fr,dp,,b2w2,,Ceint.Noire
black-belt,it,gs,,e,,CINTURANERA
black-belt,it,dp,,la,,Cinturanera
black-belt,de,gs,,e,,SCHWARZGURT
black-belt,es,gs,,e,,CINT. NEGRO
black-belt,es,dp,,b2w2,,Cint. Negro
black-flute,en,rs,,e,,BLACK FLUTE
black-flute,fr,rs,,e,,FLUTE NOIRE
black-flute,it,rs,,e,,FLAUTO NERO
black-flute,it,dp,,la,,Flauto Nero
black-flute,de,rs,,e,,SCHW. FLÖTE
black-flute,de,dp,,oras,,Schw. Flöte
black-flute,es,rs,,e,,FLAUTA NEGRA
black-glasses,en,gs,,e,,BLACKGLASSES
black-glasses,en,dp,,b2w2,,BlackGlasses
black-glasses,fr,gs,,e,,LUNET.NOIRES
black-glasses,fr,dp,,b2w2,,Lunet.Noires
black-glasses,it,gs,,e,,OCCHIALINERI
black-glasses,de,gs,,e,,SCHATTENGLAS
black-glasses,de,dp,,lgpe,,Schattenglas
black-glasses,es,gs,,e,,GAFAS DE SOL
black-glasses,ko,gs,,gs,,검은 안경
black-sludge,ko,dp,,la,,검은진흙
blue-apricorn,en,gs,,c,,BLU APRICORN
blue-apricorn,en,hgss,,b2w2,,Blu Apricorn
blue-apricorn,fr,gs,,c,,NOIGRUME BLU
blue-apricorn,fr,hgss,,oras,,Noigrume Blu
blue-apricorn,it,gs,,c,,GHICOCCA BLU
blue-apricorn,it,hgss,,b2w2,,Ghic. Blu
blue-apricorn,it,xy,,la,,Ghicocca Blu
blue-apricorn,de,gs,,c,,APRIKOKO BLU
blue-apricorn,de,hgss,,lgpe,,Aprikoko Blu
blue-apricorn,es,gs,,c,,BONGURI AZU
blue-apricorn,es,hgss,,b2w2,,Bonguri Azu
blue-apricorn,ko,gs,,gs,,파란 규토리
blue-card,en,c,,c,,BLUE CARD
blue-card,fr,c,,c,,CARTE BLEUE
blue-card,it,c,,c,,CARTA BLU
blue-card,it,hgss,,la,,Carta Blu
blue-card,de,c,,c,,BLAUE KARTE
blue-card,es,c,,c,,TARJETA AZUL
blue-flute,en,rs,,e,,BLUE FLUTE
blue-flute,fr,rs,,e,,FLUTE BLEUE
blue-flute,it,rs,,e,,FLAUTO BLU
blue-flute,it,dp,,la,,Flauto Blu
blue-flute,de,rs,,e,,BLAUE FLÖTE
blue-flute,es,rs,,e,,FLAUTA AZUL
blue-orb,en,rs,,e,,BLUE ORB
blue-orb,fr,rs,,e,,ORBE BLEU
blue-orb,fr,hgss,,xy,,Orbe Bleu
blue-orb,it,rs,,e,,SFERA BLU
blue-orb,it,hgss,,xy,,Sfera Blu
blue-orb,de,rs,,e,,BLAUE KUGEL
blue-orb,de,hgss,,xy,,Blaue Kugel
blue-orb,es,rs,,e,,ESFERA AZUL
blue-orb,es,hgss,,xy,,Esfera Azul
blue-scarf,en,rs,,e,,BLUE SCARF
blue-scarf,fr,rs,,e,,FOUL. BLEU
blue-scarf,fr,dp,,b2w2,,Foul. Bleu
blue-scarf,it,rs,,e,,FASCIA BLU
blue-scarf,it,dp,,la,,Fascia Blu
blue-scarf,de,rs,,e,,BLAUER SCHAL
blue-scarf,es,rs,,e,,PAÑUELO AZUL
blue-shard,en,rs,,e,,BLUE SHARD
blue-shard,fr,rs,,e,,TESSON BLEU
blue-shard,it,rs,,e,,COCCIO BLU
blue-shard,it,dp,,la,,Coccio Blu
blue-shard,de,rs,,e,,INDIGOSTÜCK
blue-shard,es,rs,,e,,PARTE AZUL
bluk-berry,en,rs,,e,,BLUK BERRY
bluk-berry,fr,rs,,e,,BAIE REMU
bluk-berry,it,rs,,e,,BACCAMORA
bluk-berry,de,rs,,e,,MORBBEERE
bluk-berry,es,rs,,e,,BAYA ORAM
bottle-cap,ko,sm,,la,,은왕관
bridge-mail-d,en,bw,,b2w2,,BridgeMail D
bridge-mail-d,fr,bw,,oras,,Lettre PontY
bridge-mail-d,it,bw,,la,,Mess. Libec.
bridge-mail-d,es,bw,,b2w2,,C. Puente F
bridge-mail-m,en,bw,,b2w2,,BridgeMail M
bridge-mail-m,fr,bw,,oras,,Lettre PontI
bridge-mail-m,it,bw,,la,,Mess. Merav.
bridge-mail-m,es,bw,,b2w2,,C. Puente P
bridge-mail-s,en,bw,,b2w2,,BridgeMail S
bridge-mail-s,fr,bw,,oras,,Lettre PontS
bridge-mail-s,it,bw,,la,,Mess. Frec.
bridge-mail-s,es,bw,,b2w2,,C. Puente S
bridge-mail-t,en,bw,,b2w2,,BridgeMail T
bridge-mail-t,fr,bw,,oras,,Lettre PontF
bridge-mail-t,it,bw,,la,,Mess. Prop.
bridge-mail-t,es,bw,,b2w2,,C. Puente A
bridge-mail-v,en,bw,,b2w2,,BridgeMail V
bridge-mail-v,fr,bw,,oras,,Lettre PontH
bridge-mail-v,it,bw,,la,,Mess. Vill.
bridge-mail-v,es,bw,,b2w2,,C. Puente V
bright-powder,en,gs,,e,,BRIGHTPOWDER
bright-powder,en,dp,,b2w2,,BrightPowder
bright-powder,fr,gs,,e,,POUDRECLAIRE
bright-powder,fr,dp,,b2w2,,Poudreclaire
bright-powder,it,gs,,e,,LUMINPOLVERE
bright-powder,de,gs,,e,,BLENDPUDER
bright-powder,es,gs,,e,,POLVO BRILLO
bug-gem,fr,bw,,b2w2,,Joyau Insect
bug-gem,it,bw,,b2w2,,Bijoucoleot.
bug-gem,es,bw,,b2w2,,G. Bicho
burn-heal,en,rb,,e,,BURN HEAL
burn-heal,fr,rb,,e,,ANTI-BRULE
burn-heal,it,rb,,e,,ANTISCOTTAT.
burn-heal,it,dp,,b2w2,,Antiscottat.
burn-heal,de,rb,,e,,FEUERHEILER
burn-heal,es,rb,,e,,ANTIQUEMAR
burn-heal,ko,gs,,gs,,화상 치료제
calcium,en,rb,,e,,CALCIUM
calcium,fr,rb,,e,,CALCIUM
calcium,it,rb,,e,,CALCIO
calcium,de,rb,,e,,KALZIUM
calcium,es,rb,,e,,CALCIO
carbos,en,rb,,e,,CARBOS
carbos,fr,rb,,e,,CARBONE
carbos,it,rb,,e,,CARBURANTE
carbos,de,rb,,e,,CARBON
carbos,es,rb,,e,,CARBURANTE
card-key--goldenrod-radio-tower,en,gs,,c,,CARD KEY
card-key--goldenrod-radio-tower,fr,gs,,c,,CARTE MAGN.
card-key--goldenrod-radio-tower,fr,hgss,,b2w2,,Carte Magn.
card-key--goldenrod-radio-tower,it,gs,,c,,APRIPORTA
card-key--goldenrod-radio-tower,de,gs,,c,,TÜRÖFFNER
card-key--goldenrod-radio-tower,de,hgss,,usum,,Türöffner
card-key--goldenrod-radio-tower,es,gs,,c,,LL.MAGNÉTICA
card-key--goldenrod-radio-tower,es,hgss,,b2w2,,Ll.Magnética
card-key--silph-co,en,rb,,e,,CARD KEY
card-key--silph-co,fr,rb,,e,,CARTE MAGN.
card-key--silph-co,it,rb,,e,,APRIPORTA
card-key--silph-co,de,rb,,e,,TÜRÖFFNER
card-key--silph-co,es,rb,,e,,LL.MAGNÉTICA
charcoal,en,gs,,e,,CHARCOAL
charcoal,fr,gs,,e,,CHARBON
charcoal,it,gs,,e,,CARBONELLA
charcoal,de,gs,,e,,HOLZKOHLE
charcoal,es,gs,,e,,CARBÓN
cheri-berry,en,rs,,e,,CHERI BERRY
cheri-berry,fr,rs,,e,,BAIE CERIZ
cheri-berry,it,rs,,e,,BACCALIEGIA
cheri-berry,de,rs,,e,,AMRENABEERE
cheri-berry,es,rs,,e,,BAYA ZREZA
chesto-berry,en,rs,,e,,CHESTO BERRY
chesto-berry,fr,rs,,e,,BAIE MARON
chesto-berry,it,rs,,e,,BACCASTAGNA
chesto-berry,de,rs,,e,,MARONBEERE
chesto-berry,es,rs,,e,,BAYA ATANIA
choice-band,en,rs,,e,,CHOICE BAND
choice-band,fr,rs,,e,,BAND. CHOIX
choice-band,fr,dp,,b2w2,,Band. Choix
choice-band,it,rs,,e,,BENDASCELTA
choice-band,de,rs,,e,,WAHLBAND
choice-band,es,rs,,e,,CIN. ELEGIDA
choice-band,es,dp,,b2w2,,Cin. Elegida
choice-band,es,xy,,lgpe,,Cinta Elegida
choice-scarf,fr,dp,,b2w2,,Mouch. Choix
choice-scarf,es,dp,,b2w2,,Pañ. Elegido
choice-scarf,es,xy,,lgpe,,Pañuelo Elegido
choice-specs,fr,dp,,b2w2,,Lunet. Choix
choice-specs,de,dp,,lgpe,,Wahlglas
choice-specs,es,dp,,lgpe,,Gafas Elegid
claw-fossil,en,rs,,e,,CLAW FOSSIL
claw-fossil,fr,rs,,e,,FOSS. GRIFFE
claw-fossil,fr,dp,,b2w2,,Foss. Griffe
claw-fossil,it,rs,,e,,FOSSILUNGHIA
claw-fossil,de,rs,,e,,KLAUENFOSSIL
claw-fossil,es,rs,,e,,FÓSIL GARRA
cleanse-tag,en,gs,,e,,CLEANSE TAG
cleanse-tag,fr,gs,,e,,RUNE PURIF.
cleanse-tag,fr,dp,,b2w2,,Rune Purif.
cleanse-tag,it,gs,,e,,VELOPURO
cleanse-tag,de,gs,,e,,SCHUTZBAND
cleanse-tag,de,dp,,la,,Schutzband
cleanse-tag,es,gs,,e,,AMULETO
cleanse-tag,ko,gs,,gs,,순결의 부적
clear-bell,en,c,,c,,CLEAR BELL
clear-bell,fr,c,,c,,GLAS TRANSP.
clear-bell,fr,hgss,,b2w2,,Glas Transp.
clear-bell,it,c,,c,,CAMP.CHIARA
clear-bell,it,hgss,,b2w2,,Camp. Chiara
clear-bell,it,xy,,la,,Campana Chiara
clear-bell,de,c,,c,,KLARGLOCKE
clear-bell,es,c,,c,,CAMP. CLARA
clear-bell,es,hgss,,b2w2,,Camp. Clara
clear-bell,es,xy,,lgpe,,Campana Clara
clever-feather,en,bw,,lgpe,,Clever Wing
clever-feather,fr,bw,,lgpe,,Aile Mental
clever-feather,es,bw,,b2w2,,P. Mente
clever-feather,ko,bw,,la,,정신력날개
coin-case,en,rb,,e,,COIN CASE
coin-case,fr,rb,,c,,BOITE JETON
coin-case,fr,rs,,e,,BOITE JETONS
coin-case,it,rb,,e,,SALVADANAIO
coin-case,de,rb,,e,,MÜNZKORB
coin-case,es,rb,,e,,MONEDERO
coin-case,ko,gs,,gs,,동전 케이스
colress-machine,en,b2w2,,b2w2,,Colress MCHN
comet-shard,fr,bw,,b2w2,,Morc. Comète
comet-shard,it,bw,,la,,Pezzo Cometa
comet-shard,es,bw,,b2w2,,Frag. Cometa
contest-pass,en,rs,,e,,CONTEST PASS
contest-pass,fr,rs,,e,,PASSECONCOUR
contest-pass,fr,dp,,b2w2,,Passeconcour
contest-pass,it,rs,,e,,TESSERA GARE
contest-pass,de,rs,,e,,WETTB.-KARTE
contest-pass,de,dp,,xy,,Wettb.-Karte
contest-pass,es,rs,,e,,PASE CONCUR.
contest-pass,es,dp,,b2w2,,Pase Concur.
contest-pass,es,xy,,la,,Pase Concurso
cornn-berry,en,rs,,e,,CORNN BERRY
cornn-berry,fr,rs,,e,,BAIE SIAM
cornn-berry,it,rs,,e,,BACCAVENA
cornn-berry,de,rs,,e,,SAIMBEERE
cornn-berry,es,rs,,e,,BAYA MAIS
coupon-1,de,dp,,ss,,Kupon 1
coupon-2,de,dp,,ss,,Kupon 2
coupon-3,de,dp,,ss,,Kupon 3
courage-candy-l,zh-simp,lgpe,,lgpe,,心灵糖果L
courage-candy-l,zh-trad,lgpe,,lgpe,,心靈糖果L
courage-candy-xl,zh-simp,lgpe,,lgpe,,心灵糖果XL
courage-candy-xl,zh-trad,lgpe,,lgpe,,心靈糖果XL
cover-fossil,fr,bw,,b2w2,,Foss. Plaque
dark-gem,fr,bw,,b2w2,,Joyau Ténèbr
dark-gem,es,bw,,b2w2,,G. Siniestra
dark-gem,es,xy,,la,,Gema Siniestra
data-card-01,it,hgss,,b2w2,,Sch. Dati 01
data-card-01,it,xy,,la,,Scheda Dati 01
data-card-01,es,hgss,,b2w2,,T. Datos 01
data-card-01,zh-simp,lgpe,,lgpe,,数据卡01
data-card-01,zh-trad,lgpe,,lgpe,,資料卡01
data-card-02,it,hgss,,b2w2,,Sch. Dati 02
data-card-02,it,xy,,la,,Scheda Dati 02
data-card-02,es,hgss,,b2w2,,T. Datos 02
data-card-02,zh-simp,lgpe,,lgpe,,数据卡02
data-card-02,zh-trad,lgpe,,lgpe,,資料卡02
data-card-03,it,hgss,,b2w2,,Sch. Dati 03
data-card-03,it,xy,,la,,Scheda Dati 03
data-card-03,es,hgss,,b2w2,,T. Datos 03
data-card-03,zh-simp,lgpe,,lgpe,,数据卡03
data-card-03,zh-trad,lgpe,,lgpe,,資料卡03
data-card-04,it,hgss,,b2w2,,Sch. Dati 04
data-card-04,it,xy,,la,,Scheda Dati 04
data-card-04,es,hgss,,b2w2,,T. Datos 04
data-card-04,zh-simp,lgpe,,lgpe,,数据卡04
data-card-04,zh-trad,lgpe,,lgpe,,資料卡04
data-card-05,it,hgss,,b2w2,,Sch. Dati 05
data-card-05,it,xy,,la,,Scheda Dati 05
data-card-05,es,hgss,,b2w2,,T. Datos 05
data-card-05,zh-simp,lgpe,,lgpe,,数据卡05
data-card-05,zh-trad,lgpe,,lgpe,,資料卡05
data-card-06,it,hgss,,b2w2,,Sch. Dati 06
data-card-06,it,xy,,la,,Scheda Dati 06
data-card-06,es,hgss,,b2w2,,T. Datos 06
data-card-06,zh-simp,lgpe,,lgpe,,数据卡06
data-card-06,zh-trad,lgpe,,lgpe,,資料卡06
data-card-07,it,hgss,,b2w2,,Sch. Dati 07
data-card-07,it,xy,,la,,Scheda Dati 07
data-card-07,es,hgss,,b2w2,,T. Datos 07
data-card-07,zh-simp,lgpe,,lgpe,,数据卡07
data-card-07,zh-trad,lgpe,,lgpe,,資料卡07
data-card-08,it,hgss,,b2w2,,Sch. Dati 08
data-card-08,it,xy,,la,,Scheda Dati 08
data-card-08,es,hgss,,b2w2,,T. Datos 08
data-card-08,zh-simp,lgpe,,lgpe,,数据卡08
data-card-08,zh-trad,lgpe,,lgpe,,資料卡08
data-card-09,it,hgss,,b2w2,,Sch. Dati 09
data-card-09,it,xy,,la,,Scheda Dati 09
data-card-09,es,hgss,,b2w2,,T. Datos 09
data-card-09,zh-simp,lgpe,,lgpe,,数据卡09
data-card-09,zh-trad,lgpe,,lgpe,,資料卡09
data-card-10,it,hgss,,b2w2,,Sch. Dati 10
data-card-10,it,xy,,la,,Scheda Dati 10
data-card-10,es,hgss,,b2w2,,T. Datos 10
data-card-10,zh-simp,lgpe,,lgpe,,数据卡10
data-card-10,zh-trad,lgpe,,lgpe,,資料卡10
data-card-11,it,hgss,,b2w2,,Sch. Dati 11
data-card-11,it,xy,,la,,Scheda Dati 11
data-card-11,es,hgss,,b2w2,,T. Datos 11
data-card-11,zh-simp,lgpe,,lgpe,,数据卡11
data-card-11,zh-trad,lgpe,,lgpe,,資料卡11
data-card-12,it,hgss,,b2w2,,Sch. Dati 12
data-card-12,it,xy,,la,,Scheda Dati 12
data-card-12,es,hgss,,b2w2,,T. Datos 12
data-card-12,zh-simp,lgpe,,lgpe,,数据卡12
data-card-12,zh-trad,lgpe,,lgpe,,資料卡12
data-card-13,it,hgss,,b2w2,,Sch. Dati 13
data-card-13,it,xy,,la,,Scheda Dati 13
data-card-13,es,hgss,,b2w2,,T. Datos 13
data-card-13,zh-simp,lgpe,,lgpe,,数据卡13
data-card-13,zh-trad,lgpe,,lgpe,,資料卡13
data-card-14,it,hgss,,b2w2,,Sch. Dati 14
data-card-14,it,xy,,la,,Scheda Dati 14
data-card-14,es,hgss,,b2w2,,T. Datos 14
data-card-14,zh-simp,lgpe,,lgpe,,数据卡14
data-card-14,zh-trad,lgpe,,lgpe,,資料卡14
data-card-15,it,hgss,,b2w2,,Sch. Dati 15
data-card-15,it,xy,,la,,Scheda Dati 15
data-card-15,es,hgss,,b2w2,,T. Datos 15
data-card-15,zh-simp,lgpe,,lgpe,,数据卡15
data-card-15,zh-trad,lgpe,,lgpe,,資料卡15
data-card-16,it,hgss,,b2w2,,Sch. Dati 16
data-card-16,it,xy,,la,,Scheda Dati 16
data-card-16,es,hgss,,b2w2,,T. Datos 16
data-card-16,zh-simp,lgpe,,lgpe,,数据卡16
data-card-16,zh-trad,lgpe,,lgpe,,資料卡16
data-card-17,it,hgss,,b2w2,,Sch. Dati 17
data-card-17,it,xy,,la,,Scheda Dati 17
data-card-17,es,hgss,,b2w2,,T. Datos 17
data-card-17,zh-simp,lgpe,,lgpe,,数据卡17
data-card-17,zh-trad,lgpe,,lgpe,,資料卡17
data-card-18,it,hgss,,b2w2,,Sch. Dati 18
data-card-18,it,xy,,la,,Scheda Dati 18
data-card-18,es,hgss,,b2w2,,T. Datos 18
data-card-18,zh-simp,lgpe,,lgpe,,数据卡18
data-card-18,zh-trad,lgpe,,lgpe,,資料卡18
data-card-19,it,hgss,,b2w2,,Sch. Dati 19
data-card-19,it,xy,,la,,Scheda Dati 19
data-card-19,es,hgss,,b2w2,,T. Datos 19
data-card-19,zh-simp,lgpe,,lgpe,,数据卡19
data-card-19,zh-trad,lgpe,,lgpe,,資料卡19
data-card-20,it,hgss,,b2w2,,Sch. Dati 20
data-card-20,it,xy,,la,,Scheda Dati 20
data-card-20,es,hgss,,b2w2,,T. Datos 20
data-card-20,zh-simp,lgpe,,lgpe,,数据卡20
data-card-20,zh-trad,lgpe,,lgpe,,資料卡20
data-card-21,it,hgss,,b2w2,,Sch. Dati 21
data-card-21,it,xy,,la,,Scheda Dati 21
data-card-21,es,hgss,,b2w2,,T. Datos 21
data-card-21,zh-simp,lgpe,,lgpe,,数据卡21
data-card-21,zh-trad,lgpe,,lgpe,,資料卡21
data-card-22,it,hgss,,b2w2,,Sch. Dati 22
data-card-22,it,xy,,la,,Scheda Dati 22
data-card-22,es,hgss,,b2w2,,T. Datos 22
data-card-22,zh-simp,lgpe,,lgpe,,数据卡22
data-card-22,zh-trad,lgpe,,lgpe,,資料卡22
data-card-23,it,hgss,,b2w2,,Sch. Dati 23
data-card-23,it,xy,,la,,Scheda Dati 23
data-card-23,es,hgss,,b2w2,,T. Datos 23
data-card-23,zh-simp,lgpe,,lgpe,,数据卡23
data-card-23,zh-trad,lgpe,,lgpe,,資料卡23
data-card-24,it,hgss,,b2w2,,Sch. Dati 24
data-card-24,it,xy,,la,,Scheda Dati 24
data-card-24,es,hgss,,b2w2,,T. Datos 24
data-card-24,zh-simp,lgpe,,lgpe,,数据卡24
data-card-24,zh-trad,lgpe,,lgpe,,資料卡24
data-card-25,it,hgss,,b2w2,,Sch. Dati 25
data-card-25,it,xy,,la,,Scheda Dati 25
data-card-25,es,hgss,,b2w2,,T. Datos 25
data-card-25,zh-simp,lgpe,,lgpe,,数据卡25
data-card-25,zh-trad,lgpe,,lgpe,,資料卡25
data-card-26,it,hgss,,b2w2,,Sch. Dati 26
data-card-26,it,xy,,la,,Scheda Dati 26
data-card-26,es,hgss,,b2w2,,T. Datos 26
data-card-26,zh-simp,lgpe,,lgpe,,数据卡26
data-card-26,zh-trad,lgpe,,lgpe,,資料卡26
data-card-27,it,hgss,,b2w2,,Sch. Dati 27
data-card-27,it,xy,,la,,Scheda Dati 27
data-card-27,es,hgss,,b2w2,,T. Datos 27
data-card-27,zh-simp,lgpe,,lgpe,,数据卡27
data-card-27,zh-trad,lgpe,,lgpe,,資料卡27
deep-sea-scale,en,rs,,e,,DEEPSEASCALE
deep-sea-scale,en,dp,,b2w2,,DeepSeaScale
deep-sea-scale,fr,rs,,e,,ECAILLEOCEAN
deep-sea-scale,fr,dp,,hgss,,Ecailleocéan
deep-sea-scale,fr,bw,,b2w2,,Écailleocéan
deep-sea-scale,it,rs,,e,,SQUAMABISSI
deep-sea-scale,de,rs,,e,,ABYSSPLATTE
deep-sea-scale,de,dp,,la,,Abyssplatte
deep-sea-scale,es,rs,,e,,ESCAMA MAR.
deep-sea-scale,es,dp,,b2w2,,Escama Mar.
deep-sea-tooth,en,rs,,e,,DEEPSEATOOTH
deep-sea-tooth,en,dp,,b2w2,,DeepSeaTooth
deep-sea-tooth,fr,rs,,e,,DENT OCEAN
deep-sea-tooth,it,rs,,e,,DENTE ABISSI
deep-sea-tooth,it,dp,,la,,Dente Abissi
deep-sea-tooth,de,rs,,e,,ABYSSZAHN
deep-sea-tooth,es,rs,,e,,DIENTE MAR.
deep-sea-tooth,es,dp,,b2w2,,Diente Mar.
destiny-knot,fr,dp,,hgss,,Noeud Destin
devon-parts,en,rs,,e,,DEVON GOODS
devon-parts,fr,rs,,e,,PACK DEVON
devon-parts,it,rs,,e,,MERCE DEVON
devon-parts,de,rs,,e,,DEVON-WAREN
devon-parts,es,rs,,e,,PIEZAS DEVON
devon-scope,en,rs,,e,,DEVON SCOPE
devon-scope,fr,rs,,e,,DEVON SCOPE
devon-scope,it,rs,,e,,DEVONSCOPIO
devon-scope,de,rs,,e,,DEVON-SCOPE
devon-scope,es,rs,,e,,DETEC. DEVON
dire-hit,jp-kana,rb,,hgss,,クリティカッター
dire-hit,en,rb,,e,,DIRE HIT
dire-hit,fr,rb,,e,,MUSCLE +
dire-hit,it,rb,,e,,SUPERCOLPO
dire-hit,de,rb,,e,,ANGRIFFPLUS
dire-hit,de,dp,,bdsp,,Angriffplus
dire-hit,de,la,,la,,Treffervitamine
dire-hit,es,rb,,e,,DIRECTO
dire-hit,es,dp,,lgpe,,Directo
dire-hit,es,la,,la,,Gragea Crítica
dire-hit,ko,gs,,gs,,크리티컬 커터
dire-hit-2,de,bw,,la,,Angriffplus2
