game_group_identifier,pokemon_identifier,stat_identifier,base_value,ev_yield
rb,nidoking,speed,85,0
rb,nidoking,special,75,0
rb,clefairy,hp,70,0
rb,clefairy,attack,45,0
rb,clefairy,defense,48,0
rb,clefairy,speed,35,0
rb,clefairy,special,60,0
rb,clefable,hp,95,0
rb,clefable,attack,70,0
rb,clefable,defense,73,0
rb,clefable,speed,60,0
rb,clefable,special,85,0
rb,vulpix,hp,38,0
rb,vulpix,attack,41,0
rb,vulpix,defense,40,0
rb,vulpix,speed,65,0
rb,vulpix,special,65,0
rb,ninetales,hp,73,0
rb,ninetales,attack,76,0
rb,ninetales,defense,75,0
rb,ninetales,speed,100,0
rb,ninetales,special,100,0
rb,jigglypuff,hp,115,0
rb,jigglypuff,attack,45,0
rb,jigglypuff,defense,20,0
rb,jigglypuff,speed,20,0
rb,jigglypuff,special,25,0
rb,wigglytuff,hp,140,0
rb,wigglytuff,attack,70,0
rb,wigglytuff,defense,45,0
rb,wigglytuff,speed,45,0
rb,wigglytuff,special,50,0
rb,zubat,hp,40,0
rb,zubat,attack,45,0
rb,zubat,defense,35,0
rb,zubat,speed,55,0
rb,zubat,special,40,0
rb,golbat,hp,75,0
rb,golbat,attack,80,0
rb,golbat,defense,70,0
rb,golbat,speed,90,0
rb,golbat,special,75,0
rb,oddish,hp,45,0
rb,oddish,attack,50,0
rb,oddish,defense,55,0
rb,oddish,speed,30,0
rb,oddish,special,75,0
rb,gloom,hp,60,0
rb,gloom,attack,65,0
rb,gloom,defense,70,0
rb,gloom,speed,40,0
rb,gloom,special,85,0
rb,vileplume,hp,75,0
rb,vileplume,attack,80,0
rb,vileplume,defense,85,0
rb,vileplume,speed,50,0
rb,vileplume,special,100,0
rb,paras,hp,35,0
rb,paras,attack,70,0
rb,paras,defense,55,0
rb,paras,speed,25,0
rb,paras,special,55,0
rb,parasect,hp,60,0
rb,parasect,attack,95,0
rb,parasect,defense,80,0
rb,parasect,speed,30,0
rb,parasect,special,80,0
rb,venonat,hp,60,0
rb,venonat,attack,55,0
rb,venonat,defense,50,0
rb,venonat,speed,45,0
rb,venonat,special,40,0
rb,venomoth,hp,70,0
rb,venomoth,attack,65,0
rb,venomoth,defense,60,0
rb,venomoth,speed,90,0
rb,venomoth,special,90,0
rb,diglett,hp,10,0
rb,diglett,attack,55,0
rb,diglett,defense,25,0
rb,diglett,speed,95,0
rb,diglett,special,45,0
rb,dugtrio,hp,35,0
rb,dugtrio,attack,80,0
rb,dugtrio,defense,50,0
rb,dugtrio,speed,120,0
rb,dugtrio,special,70,0
rb,meowth,hp,40,0
rb,meowth,attack,45,0
rb,meowth,defense,35,0
rb,meowth,speed,90,0
rb,meowth,special,40,0
rb,persian,hp,65,0
rb,persian,attack,70,0
rb,persian,defense,60,0
rb,persian,speed,115,0
rb,persian,special,65,0
rb,psyduck,hp,50,0
rb,psyduck,attack,52,0
rb,psyduck,defense,48,0
rb,psyduck,speed,55,0
rb,psyduck,special,50,0
rb,golduck,hp,80,0
rb,golduck,attack,82,0
rb,golduck,defense,78,0
rb,golduck,speed,85,0
rb,golduck,special,80,0
rb,mankey,hp,40,0
rb,mankey,attack,80,0
rb,mankey,defense,35,0
rb,mankey,speed,70,0
rb,mankey,special,35,0
rb,primeape,hp,65,0
rb,primeape,attack,105,0
rb,primeape,defense,60,0
rb,primeape,speed,95,0
rb,primeape,special,60,0
rb,growlithe,hp,55,0
rb,growlithe,attack,70,0
rb,growlithe,defense,45,0
rb,growlithe,speed,60,0
rb,growlithe,special,50,0
rb,arcanine,hp,90,0
rb,arcanine,attack,110,0
rb,arcanine,defense,80,0
rb,arcanine,speed,95,0
rb,arcanine,special,80,0
rb,poliwag,hp,40,0
rb,poliwag,attack,50,0
rb,poliwag,defense,40,0
rb,poliwag,speed,90,0
rb,poliwag,special,40,0
rb,poliwhirl,hp,65,0
rb,poliwhirl,attack,65,0
rb,poliwhirl,defense,65,0
rb,poliwhirl,speed,90,0
rb,poliwhirl,special,50,0
rb,poliwrath,hp,90,0
rb,poliwrath,attack,85,0
rb,poliwrath,defense,95,0
rb,poliwrath,speed,70,0
rb,poliwrath,special,70,0
rb,abra,hp,25,0
rb,abra,attack,20,0
rb,abra,defense,15,0
rb,abra,speed,90,0
rb,abra,special,105,0
rb,kadabra,hp,40,0
rb,kadabra,attack,35,0
rb,kadabra,defense,30,0
rb,kadabra,speed,105,0
rb,kadabra,special,120,0
rb,alakazam,hp,55,0
rb,alakazam,attack,50,0
rb,alakazam,defense,45,0
rb,alakazam,speed,120,0
rb,alakazam,special,135,0
rb,machop,hp,70,0
rb,machop,attack,80,0
rb,machop,defense,50,0
rb,machop,speed,35,0
rb,machop,special,35,0
rb,machoke,hp,80,0
rb,machoke,attack,100,0
rb,machoke,defense,70,0
rb,machoke,speed,45,0
rb,machoke,special,50,0
rb,machamp,hp,90,0
rb,machamp,attack,130,0
rb,machamp,defense,80,0
rb,machamp,speed,55,0
rb,machamp,special,65,0
rb,bellsprout,hp,50,0
rb,bellsprout,attack,75,0
rb,bellsprout,defense,35,0
rb,bellsprout,speed,40,0
rb,bellsprout,special,70,0
rb,weepinbell,hp,65,0
rb,weepinbell,attack,90,0
rb,weepinbell,defense,50,0
rb,weepinbell,speed,55,0
rb,weepinbell,special,85,0
rb,victreebel,hp,80,0
rb,victreebel,attack,105,0
rb,victreebel,defense,65,0
rb,victreebel,speed,70,0
rb,victreebel,special,100,0
rb,tentacool,hp,40,0
rb,tentacool,attack,40,0
rb,tentacool,defense,35,0
rb,tentacool,speed,70,0
rb,tentacool,special,100,0
rb,tentacruel,hp,80,0
rb,tentacruel,attack,70,0
rb,tentacruel,defense,65,0
rb,tentacruel,speed,100,0
rb,tentacruel,special,120,0
rb,geodude,hp,40,0
rb,geodude,attack,80,0
rb,geodude,defense,100,0
rb,geodude,speed,20,0
rb,geodude,special,30,0
rb,graveler,hp,55,0
rb,graveler,attack,95,0
rb,graveler,defense,115,0
rb,graveler,speed,35,0
rb,graveler,special,45,0
rb,golem,hp,80,0
rb,golem,attack,110,0
rb,golem,defense,130,0
rb,golem,speed,45,0
rb,golem,special,55,0
rb,ponyta,hp,50,0
rb,ponyta,attack,85,0
rb,ponyta,defense,55,0
rb,ponyta,speed,90,0
rb,ponyta,special,65,0
rb,rapidash,hp,65,0
rb,rapidash,attack,100,0
rb,rapidash,defense,70,0
rb,rapidash,speed,105,0
rb,rapidash,special,80,0
rb,slowpoke,hp,90,0
rb,slowpoke,attack,65,0
rb,slowpoke,defense,65,0
rb,slowpoke,speed,15,0
rb,slowpoke,special,40,0
rb,slowbro,hp,95,0
rb,slowbro,attack,75,0
rb,slowbro,defense,110,0
rb,slowbro,speed,30,0
rb,slowbro,special,80,0
rb,magnemite,hp,25,0
rb,magnemite,attack,35,0
rb,magnemite,defense,70,0
rb,magnemite,speed,45,0
rb,magnemite,special,95,0
rb,magneton,hp,50,0
rb,magneton,attack,60,0
rb,magneton,defense,95,0
rb,magneton,speed,70,0
rb,magneton,special,120,0
rb,farfetchd,hp,52,0
rb,farfetchd,attack,65,0
rb,farfetchd,defense,55,0
rb,farfetchd,speed,60,0
rb,farfetchd,special,58,0
rb,doduo,hp,35,0
rb,doduo,attack,85,0
rb,doduo,defense,45,0
rb,doduo,speed,75,0
rb,doduo,special,35,0
rb,dodrio,hp,60,0
rb,dodrio,attack,110,0
rb,dodrio,defense,70,0
rb,dodrio,speed,100,0
rb,dodrio,special,60,0
rb,seel,hp,65,0
rb,seel,attack,45,0
rb,seel,defense,55,0
rb,seel,speed,45,0
rb,seel,special,70,0
rb,dewgong,hp,90,0
rb,dewgong,attack,70,0
rb,dewgong,defense,80,0
rb,dewgong,speed,70,0
rb,dewgong,special,95,0
rb,grimer,hp,80,0
rb,grimer,attack,80,0
rb,grimer,defense,50,0
rb,grimer,speed,25,0
rb,grimer,special,40,0
rb,muk,hp,105,0
rb,muk,attack,105,0
rb,muk,defense,75,0
rb,muk,speed,50,0
rb,muk,special,65,0
rb,shellder,hp,30,0
rb,shellder,attack,65,0
rb,shellder,defense,100,0
rb,shellder,speed,40,0
rb,shellder,special,45,0
rb,cloyster,hp,50,0
rb,cloyster,attack,95,0
rb,cloyster,defense,180,0
rb,cloyster,speed,70,0
rb,cloyster,special,85,0
rb,gastly,hp,30,0
rb,gastly,attack,35,0
rb,gastly,defense,30,0
rb,gastly,speed,80,0
rb,gastly,special,100,0
rb,haunter,hp,45,0
rb,haunter,attack,50,0
rb,haunter,defense,45,0
rb,haunter,speed,95,0
rb,haunter,special,115,0
rb,gengar,hp,60,0
rb,gengar,attack,65,0
rb,gengar,defense,60,0
rb,gengar,speed,110,0
rb,gengar,special,130,0
rb,onix,hp,35,0
rb,onix,attack,45,0
rb,onix,defense,160,0
rb,onix,speed,70,0
rb,onix,special,30,0
rb,drowzee,hp,60,0
rb,drowzee,attack,48,0
rb,drowzee,defense,45,0
rb,drowzee,speed,42,0
rb,drowzee,special,90,0
rb,hypno,hp,85,0
rb,hypno,attack,73,0
rb,hypno,defense,70,0
rb,hypno,speed,67,0
rb,hypno,special,115,0
rb,krabby,hp,30,0
rb,krabby,attack,105,0
rb,krabby,defense,90,0
rb,krabby,speed,50,0
rb,krabby,special,25,0
rb,kingler,hp,55,0
rb,kingler,attack,130,0
rb,kingler,defense,115,0
rb,kingler,speed,75,0
rb,kingler,special,50,0
rb,voltorb,hp,40,0
rb,voltorb,attack,30,0
rb,voltorb,defense,50,0
rb,voltorb,speed,100,0
rb,voltorb,special,55,0
rb,electrode,hp,60,0
rb,electrode,attack,50,0
rb,electrode,defense,70,0
rb,electrode,speed,140,0
rb,electrode,special,80,0
rb,exeggcute,hp,60,0
rb,exeggcute,attack,40,0
rb,exeggcute,defense,80,0
rb,exeggcute,speed,40,0
rb,exeggcute,special,60,0
rb,exeggutor,hp,95,0
rb,exeggutor,attack,95,0
rb,exeggutor,defense,85,0
rb,exeggutor,speed,55,0
rb,exeggutor,special,125,0
rb,cubone,hp,50,0
rb,cubone,attack,50,0
rb,cubone,defense,95,0
rb,cubone,speed,35,0
rb,cubone,special,40,0
rb,marowak,hp,60,0
rb,marowak,attack,80,0
rb,marowak,defense,110,0
rb,marowak,speed,45,0
rb,marowak,special,50,0
rb,hitmonlee,hp,50,0
rb,hitmonlee,attack,120,0
rb,hitmonlee,defense,53,0
rb,hitmonlee,speed,87,0
rb,hitmonlee,special,35,0
rb,hitmonchan,hp,50,0
rb,hitmonchan,attack,105,0
rb,hitmonchan,defense,79,0
rb,hitmonchan,speed,76,0
rb,hitmonchan,special,35,0
rb,lickitung,hp,90,0
rb,lickitung,attack,55,0
rb,lickitung,defense,75,0
rb,lickitung,speed,30,0
rb,lickitung,special,60,0
rb,koffing,hp,40,0
rb,koffing,attack,65,0
rb,koffing,defense,95,0
rb,koffing,speed,35,0
rb,koffing,special,60,0
rb,weezing,hp,65,0
rb,weezing,attack,90,0
rb,weezing,defense,120,0
rb,weezing,speed,60,0
rb,weezing,special,85,0
rb,rhyhorn,hp,80,0
rb,rhyhorn,attack,85,0
rb,rhyhorn,defense,95,0
rb,rhyhorn,speed,25,0
rb,rhyhorn,special,30,0
rb,rhydon,hp,105,0
rb,rhydon,attack,130,0
rb,rhydon,defense,120,0
rb,rhydon,speed,40,0
rb,rhydon,special,45,0
rb,chansey,hp,250,0
rb,chansey,attack,5,0
rb,chansey,defense,5,0
rb,chansey,speed,50,0
rb,chansey,special,105,0
rb,tangela,hp,65,0
rb,tangela,attack,55,0
rb,tangela,defense,115,0
rb,tangela,speed,60,0
rb,tangela,special,100,0
rb,kangaskhan,hp,105,0
rb,kangaskhan,attack,95,0
rb,kangaskhan,defense,80,0
rb,kangaskhan,speed,90,0
rb,kangaskhan,special,40,0
rb,horsea,hp,30,0
rb,horsea,attack,40,0
rb,horsea,defense,70,0
rb,horsea,speed,60,0
rb,horsea,special,70,0
rb,seadra,hp,55,0
rb,seadra,attack,65,0
rb,seadra,defense,95,0
rb,seadra,speed,85,0
rb,seadra,special,95,0
rb,goldeen,hp,45,0
rb,goldeen,attack,67,0
rb,goldeen,defense,60,0
rb,goldeen,speed,63,0
rb,goldeen,special,50,0
rb,seaking,hp,80,0
rb,seaking,attack,92,0
rb,seaking,defense,65,0
rb,seaking,speed,68,0
rb,seaking,special,80,0
rb,staryu,hp,30,0
rb,staryu,attack,45,0
rb,staryu,defense,55,0
rb,staryu,speed,85,0
rb,staryu,special,70,0
rb,starmie,hp,60,0
rb,starmie,attack,75,0
rb,starmie,defense,85,0
rb,starmie,speed,115,0
rb,starmie,special,100,0
rb,mr-mime,hp,40,0
rb,mr-mime,attack,45,0
rb,mr-mime,defense,65,0
rb,mr-mime,speed,90,0
rb,mr-mime,special,100,0
rb,scyther,hp,70,0
rb,scyther,attack,110,0
rb,scyther,defense,80,0
rb,scyther,speed,105,0
rb,scyther,special,55,0
rb,jynx,hp,65,0
rb,jynx,attack,50,0
rb,jynx,defense,35,0
rb,jynx,speed,95,0
rb,jynx,special,95,0
rb,electabuzz,hp,65,0
rb,electabuzz,attack,83,0
rb,electabuzz,defense,57,0
rb,electabuzz,speed,105,0
rb,electabuzz,special,85,0
rb,magmar,hp,65,0
rb,magmar,attack,95,0
rb,magmar,defense,57,0
rb,magmar,speed,93,0
rb,magmar,special,85,0
rb,pinsir,hp,65,0
rb,pinsir,attack,125,0
rb,pinsir,defense,100,0
rb,pinsir,speed,85,0
rb,pinsir,special,55,0
rb,tauros,hp,75,0
rb,tauros,attack,100,0
rb,tauros,defense,95,0
rb,tauros,speed,110,0
rb,tauros,special,70,0
rb,magikarp,hp,20,0
rb,magikarp,attack,10,0
rb,magikarp,defense,55,0
rb,magikarp,speed,80,0
rb,magikarp,special,20,0
rb,gyarados,hp,95,0
rb,gyarados,attack,125,0
rb,gyarados,defense,79,0
rb,gyarados,speed,81,0
rb,gyarados,special,100,0
rb,lapras,hp,130,0
rb,lapras,attack,85,0
rb,lapras,defense,80,0
rb,lapras,speed,60,0
rb,lapras,special,95,0
rb,ditto,hp,48,0
rb,ditto,attack,48,0
rb,ditto,defense,48,0
rb,ditto,speed,48,0
rb,ditto,special,48,0
rb,eevee,hp,55,0
rb,eevee,attack,55,0
rb,eevee,defense,50,0
rb,eevee,speed,55,0
rb,eevee,special,65,0
rb,vaporeon,hp,130,0
rb,vaporeon,attack,65,0
rb,vaporeon,defense,60,0
rb,vaporeon,speed,65,0
rb,vaporeon,special,110,0
rb,jolteon,hp,65,0
rb,jolteon,attack,65,0
rb,jolteon,defense,60,0
rb,jolteon,speed,130,0
rb,jolteon,special,110,0
rb,flareon,hp,65,0
rb,flareon,attack,130,0
rb,flareon,defense,60,0
rb,flareon,speed,65,0
rb,flareon,special,110,0
rb,porygon,hp,65,0
rb,porygon,attack,60,0
rb,porygon,defense,70,0
rb,porygon,speed,40,0
rb,porygon,special,75,0
rb,omanyte,hp,35,0
rb,omanyte,attack,40,0
rb,omanyte,defense,100,0
rb,omanyte,speed,35,0
rb,omanyte,special,90,0
rb,omastar,hp,70,0
rb,omastar,attack,60,0
rb,omastar,defense,125,0
rb,omastar,speed,55,0
rb,omastar,special,115,0
rb,kabuto,hp,30,0
rb,kabuto,attack,80,0
rb,kabuto,defense,90,0
rb,kabuto,speed,55,0
rb,kabuto,special,45,0
rb,kabutops,hp,60,0
rb,kabutops,attack,115,0
rb,kabutops,defense,105,0
rb,kabutops,speed,80,0
rb,kabutops,special,70,0
rb,aerodactyl,hp,80,0
rb,aerodactyl,attack,105,0
rb,aerodactyl,defense,65,0
rb,aerodactyl,speed,130,0
rb,aerodactyl,special,60,0
rb,snorlax,hp,160,0
rb,snorlax,attack,110,0
rb,snorlax,defense,65,0
rb,snorlax,speed,30,0
rb,snorlax,special,65,0
rb,articuno,hp,90,0
rb,articuno,attack,85,0
rb,articuno,defense,100,0
rb,articuno,speed,85,0
rb,articuno,special,125,0
rb,zapdos,hp,90,0
rb,zapdos,attack,90,0
rb,zapdos,defense,85,0
rb,zapdos,speed,100,0
rb,zapdos,special,125,0
rb,moltres,hp,90,0
rb,moltres,attack,100,0
rb,moltres,defense,90,0
rb,moltres,speed,90,0
rb,moltres,special,125,0
rb,dratini,hp,41,0
rb,dratini,attack,64,0
rb,dratini,defense,45,0
rb,dratini,speed,50,0
rb,dratini,special,50,0
rb,dragonair,hp,61,0
rb,dragonair,attack,84,0
rb,dragonair,defense,65,0
rb,dragonair,speed,70,0
rb,dragonair,special,70,0
rb,dragonite,hp,91,0
rb,dragonite,attack,134,0
rb,dragonite,defense,95,0
rb,dragonite,speed,80,0
rb,dragonite,special,100,0
rb,mewtwo,hp,106,0
rb,mewtwo,attack,110,0
rb,mewtwo,defense,90,0
rb,mewtwo,speed,130,0
rb,mewtwo,special,154,0
rb,mew,hp,100,0
rb,mew,attack,100,0
rb,mew,defense,100,0
rb,mew,speed,100,0
rb,mew,special,100,0
y,bulbasaur,hp,45,0
y,bulbasaur,attack,49,0
y,bulbasaur,defense,49,0
y,bulbasaur,speed,45,0
y,bulbasaur,special,65,0
y,ivysaur,hp,60,0
y,ivysaur,attack,62,0
y,ivysaur,defense,63,0
y,ivysaur,speed,60,0
y,ivysaur,special,80,0
y,venusaur,hp,80,0
y,venusaur,attack,82,0
y,venusaur,defense,83,0
y,venusaur,speed,80,0
y,venusaur,special,100,0
y,charmander,hp,39,0
y,charmander,attack,52,0
y,charmander,defense,43,0
y,charmander,speed,65,0
y,charmander,special,50,0
y,charmeleon,hp,58,0
y,charmeleon,attack,64,0
y,charmeleon,defense,58,0
y,charmeleon,speed,80,0
y,charmeleon,special,65,0
y,charizard,hp,78,0
y,charizard,attack,84,0
y,charizard,defense,78,0
y,charizard,speed,100,0
y,charizard,special,85,0
y,squirtle,hp,44,0
y,squirtle,attack,48,0
y,squirtle,defense,65,0
y,squirtle,speed,43,0
y,squirtle,special,50,0
y,wartortle,hp,59,0
y,wartortle,attack,63,0
y,wartortle,defense,80,0
y,wartortle,speed,58,0
y,wartortle,special,65,0
y,blastoise,hp,79,0
y,blastoise,attack,83,0
y,blastoise,defense,100,0
y,blastoise,speed,78,0
y,blastoise,special,85,0
y,caterpie,hp,45,0
y,caterpie,attack,30,0
y,caterpie,defense,35,0
y,caterpie,speed,45,0
y,caterpie,special,20,0
y,metapod,hp,50,0
y,metapod,attack,20,0
y,metapod,defense,55,0
y,metapod,speed,30,0
y,metapod,special,25,0
y,butterfree,hp,60,0
y,butterfree,attack,45,0
y,butterfree,defense,50,0
y,butterfree,speed,70,0
y,butterfree,special,80,0
y,weedle,hp,40,0
y,weedle,attack,35,0
y,weedle,defense,30,0
y,weedle,speed,50,0
y,weedle,special,20,0
y,kakuna,hp,45,0
y,kakuna,attack,25,0
y,kakuna,defense,50,0
y,kakuna,speed,35,0
y,kakuna,special,25,0
y,beedrill,hp,65,0
y,beedrill,attack,80,0
y,beedrill,defense,40,0
y,beedrill,speed,75,0
y,beedrill,special,45,0
y,pidgey,hp,40,0
y,pidgey,attack,45,0
y,pidgey,defense,40,0
y,pidgey,speed,56,0
y,pidgey,special,35,0
y,pidgeotto,hp,63,0
y,pidgeotto,attack,60,0
y,pidgeotto,defense,55,0
y,pidgeotto,speed,71,0
y,pidgeotto,special,50,0
y,pidgeot,hp,83,0
y,pidgeot,attack,80,0
y,pidgeot,defense,75,0
y,pidgeot,speed,91,0
y,pidgeot,special,70,0
y,rattata,hp,30,0
y,rattata,attack,56,0
y,rattata,defense,35,0
y,rattata,speed,72,0
y,rattata,special,25,0
y,raticate,hp,55,0
y,raticate,attack,81,0
y,raticate,defense,60,0
y,raticate,speed,97,0
y,raticate,special,50,0
y,spearow,hp,40,0
y,spearow,attack,60,0
y,spearow,defense,30,0
y,spearow,speed,70,0
y,spearow,special,31,0
y,fearow,hp,65,0
y,fearow,attack,90,0
y,fearow,defense,65,0
y,fearow,speed,100,0
y,fearow,special,61,0
y,ekans,hp,35,0
y,ekans,attack,60,0
y,ekans,defense,44,0
y,ekans,speed,55,0
y,ekans,special,40,0
y,arbok,hp,60,0
y,arbok,attack,85,0
y,arbok,defense,69,0
y,arbok,speed,80,0
y,arbok,special,65,0
y,pikachu,hp,35,0
y,pikachu,attack,55,0
y,pikachu,defense,30,0
y,pikachu,speed,90,0
y,pikachu,special,50,0
y,raichu,hp,60,0
y,raichu,attack,90,0
y,raichu,defense,55,0
y,raichu,speed,100,0
y,raichu,special,90,0
y,sandshrew,hp,50,0
y,sandshrew,attack,75,0
y,sandshrew,defense,85,0
y,sandshrew,speed,40,0
y,sandshrew,special,30,0
y,sandslash,hp,75,0
y,sandslash,attack,100,0
y,sandslash,defense,110,0
y,sandslash,speed,65,0
y,sandslash,special,55,0
y,nidoran-f,hp,55,0
y,nidoran-f,attack,47,0
y,nidoran-f,defense,52,0
y,nidoran-f,speed,41,0
y,nidoran-f,special,40,0
y,nidorina,hp,70,0
y,nidorina,attack,62,0
y,nidorina,defense,67,0
y,nidorina,speed,56,0
y,nidorina,special,55,0
y,nidoqueen,hp,90,0
y,nidoqueen,attack,82,0
y,nidoqueen,defense,87,0
y,nidoqueen,speed,76,0
y,nidoqueen,special,75,0
y,nidoran-m,hp,46,0
y,nidoran-m,attack,57,0
y,nidoran-m,defense,40,0
y,nidoran-m,speed,50,0
y,nidoran-m,special,40,0
y,nidorino,hp,61,0
y,nidorino,attack,72,0
y,nidorino,defense,57,0
y,nidorino,speed,65,0
y,nidorino,special,55,0
y,nidoking,hp,81,0
y,nidoking,attack,92,0
y,nidoking,defense,77,0
y,nidoking,speed,85,0
y,nidoking,special,75,0
y,clefairy,hp,70,0
y,clefairy,attack,45,0
y,clefairy,defense,48,0
y,clefairy,speed,35,0
y,clefairy,special,60,0
y,clefable,hp,95,0
y,clefable,attack,70,0
y,clefable,defense,73,0
y,clefable,speed,60,0
y,clefable,special,85,0
y,vulpix,hp,38,0
y,vulpix,attack,41,0
y,vulpix,defense,40,0
y,vulpix,speed,65,0
y,vulpix,special,65,0
y,ninetales,hp,73,0
y,ninetales,attack,76,0
y,ninetales,defense,75,0
y,ninetales,speed,100,0
y,ninetales,special,100,0
y,jigglypuff,hp,115,0
y,jigglypuff,attack,45,0
y,jigglypuff,defense,20,0
y,jigglypuff,speed,20,0
y,jigglypuff,special,25,0
y,wigglytuff,hp,140,0
y,wigglytuff,attack,70,0
y,wigglytuff,defense,45,0
y,wigglytuff,speed,45,0
y,wigglytuff,special,50,0
y,zubat,hp,40,0
y,zubat,attack,45,0
y,zubat,defense,35,0
y,zubat,speed,55,0
y,zubat,special,40,0
y,golbat,hp,75,0
y,golbat,attack,80,0
y,golbat,defense,70,0
y,golbat,speed,90,0
y,golbat,special,75,0
y,oddish,hp,45,0
