game_group_identifier,move_identifier,language_identifier,name
rb,mist,es,NEBLINA
rb,night-shade,jp-kana,ナイトヘッド
rb,night-shade,en,NIGHT SHADE
rb,night-shade,fr,TENEBRES
rb,night-shade,it,OMBRA NOTT.
rb,night-shade,de,NACHTNEBEL
rb,night-shade,es,TINIEBLAS
rb,pay-day,jp-kana,ネコにこばん
rb,pay-day,en,PAY DAY
rb,pay-day,fr,JACKPOT
rb,pay-day,it,GIORNO-PAGA
rb,pay-day,de,ZAHLTAG
rb,pay-day,es,DíA DE PAGO
rb,peck,jp-kana,つつく
rb,peck,en,PECK
rb,peck,fr,PICPIC
rb,peck,it,BECCATA
rb,peck,de,SCHNABEL
rb,peck,es,PICOTAZO
rb,petal-dance,jp-kana,はなびらのまい
rb,petal-dance,en,PETAL DANCE
rb,petal-dance,fr,DANSE-FLEUR
rb,petal-dance,it,PETALODANZA
rb,petal-dance,de,BLÄTTERTANZ
rb,petal-dance,es,DANZA PÉTALO
rb,pin-missile,jp-kana,ミサイルばり
rb,pin-missile,en,PIN MISSILE
rb,pin-missile,fr,DARD-NUEE
rb,pin-missile,it,MISSILSPILLO
rb,pin-missile,de,NADELRAKETE
rb,pin-missile,es,PIN MISIL
rb,poison-gas,jp-kana,どくガス
rb,poison-gas,en,POISON GAS
rb,poison-gas,fr,GAZ TOXIK
rb,poison-gas,it,VELENOGAS
rb,poison-gas,de,GIFTWOLKE
rb,poison-gas,es,GAS VENENOSO
rb,poison-powder,jp-kana,どくのこな
rb,poison-powder,en,POISONPOWDER
rb,poison-powder,fr,POUDRE TOXIK
rb,poison-powder,it,VELENPOLVERE
rb,poison-powder,de,GIFTPUDER
rb,poison-powder,es,POLVO VENENO
rb,poison-sting,jp-kana,どくばり
rb,poison-sting,en,POISON STING
rb,poison-sting,fr,DARD-VENIN
rb,poison-sting,it,VELENOSPINA
rb,poison-sting,de,GIFTSTACHEL
rb,poison-sting,es,PICOTAZO VEN.
rb,pound,jp-kana,はたく
rb,pound,en,POUND
rb,pound,fr,ECRAS’FACE
rb,pound,it,LIBBRA
rb,pound,de,PFUND
rb,pound,es,DESTRUCTOR
rb,psybeam,jp-kana,サイケこうせん
rb,psybeam,en,PSYBEAM
rb,psybeam,fr,RAFALE PSY
rb,psybeam,it,PSICORAGGIO
rb,psybeam,de,PSYSTRAHL
rb,psybeam,es,PSICO-RAYO
rb,psychic,jp-kana,サイコキネシス
rb,psychic,en,PSYCHIC
rb,psychic,fr,PSYKO
rb,psychic,it,PSICHICO
rb,psychic,de,PSYCHOKINESE
rb,psychic,es,PSÍQUICO
rb,psywave,jp-kana,サイコウェーブ
rb,psywave,en,PSYWAVE
rb,psywave,fr,VAGUE PSY
rb,psywave,it,PSICO-ONDA
rb,psywave,de,PSYWELLE
rb,psywave,es,PSICO-ONDA
rb,quick-attack,jp-kana,でんこうせっか
rb,quick-attack,en,QUICK ATTACK
rb,quick-attack,fr,VIVE-ATTAQUE
rb,quick-attack,it,ATT. RAPIDO
rb,quick-attack,de,RUCKZUCKHIEB
rb,quick-attack,es,ATA. RÁPIDO
rb,rage,jp-kana,いかり
rb,rage,en,RAGE
rb,rage,fr,FRENESIE
rb,rage,it,IRA
rb,rage,de,RASEREI
rb,rage,es,FURIA
rb,razor-leaf,jp-kana,はっぱカッター
rb,razor-leaf,en,RAZOR LEAF
rb,razor-leaf,fr,TRANCH’HERBE
rb,razor-leaf,it,FOGLIELAMA
rb,razor-leaf,de,RASIERBLATT
rb,razor-leaf,es,HOJA AFILADA
rb,razor-wind,jp-kana,かまいたち
rb,razor-wind,en,RAZOR WIND
rb,razor-wind,fr,COUPE-VENT
rb,razor-wind,it,VENTAGLIENTE
rb,razor-wind,de,KLINGENSTURM
rb,razor-wind,es,V. CORTANTE
rb,recover,jp-kana,じこさいせい
rb,recover,en,RECOVER
rb,recover,fr,SOIN
rb,recover,it,RIPRESA
rb,recover,de,GENESUNG
rb,recover,es,RECUPERACIÓN
rb,reflect,jp-kana,リフレクター
rb,reflect,en,REFLECT
rb,reflect,fr,PROTECTION
rb,reflect,it,RIFLESSO
rb,reflect,de,REFLEKTOR
rb,reflect,es,REFLEJO
rb,rest,jp-kana,ねむる
rb,rest,en,REST
rb,rest,fr,REPOS
rb,rest,it,RIPOSO
rb,rest,de,ERHOLUNG
rb,rest,es,DESCANSO
rb,roar,jp-kana,ほえる
rb,roar,en,ROAR
rb,roar,fr,HURLEMENT
rb,roar,it,BOATO
rb,roar,de,BRÜLLER
rb,roar,es,RUGIDO
rb,rock-slide,jp-kana,いわなだれ
rb,rock-slide,en,ROCK SLIDE
rb,rock-slide,fr,EBOULEMENT
rb,rock-slide,it,FRANA
rb,rock-slide,de,STEINHAGEL
rb,rock-slide,es,AVALANCHA
rb,rock-throw,jp-kana,いわおとし
rb,rock-throw,en,ROCK THROW
rb,rock-throw,fr,JET-PIERRES
rb,rock-throw,it,SASSATA
rb,rock-throw,de,STEINWURF
rb,rock-throw,es,LANZA ROCAS
rb,rolling-kick,jp-kana,まわしげり
rb,rolling-kick,en,ROLLING KICK
rb,rolling-kick,fr,MAWASHI GERI
rb,rolling-kick,it,CALCIO-RULLO
rb,rolling-kick,de,FEGEKICK
rb,rolling-kick,es,PATADA GIRO
rb,sand-attack,jp-kana,すなかけ
rb,sand-attack,en,SAND-ATTACK
rb,sand-attack,fr,JET DE SABLE
rb,sand-attack,it,TURBOSABBIA
rb,sand-attack,de,SANDWIRBEL
rb,sand-attack,es,ATAQUE-ARENA
rb,scratch,jp-kana,ひっかく
rb,scratch,en,SCRATCH
rb,scratch,fr,GRIFFE
rb,scratch,it,GRAFFIO
rb,scratch,de,KRATZER
rb,scratch,es,ARAñAZO
rb,screech,jp-kana,いやなおと
rb,screech,en,SCREECH
rb,screech,fr,GRINCEMENT
rb,screech,it,STRIDIO
rb,screech,de,KREIDESCHREI
rb,screech,es,CHIRRIDO
rb,seismic-toss,jp-kana,ちきゅうなげ
rb,seismic-toss,en,SEISMIC TOSS
rb,seismic-toss,fr,FRAPPE ATLAS
rb,seismic-toss,it,MOV. SISMICO
rb,seismic-toss,de,GEOWURF
rb,seismic-toss,es,MOV. SÍSMICO
rb,self-destruct,jp-kana,じばく
rb,self-destruct,en,SELFDESTRUCT
rb,self-destruct,fr,DESTRUCTION
rb,self-destruct,it,AUTODISTRUZ.
rb,self-destruct,de,FINALE
rb,self-destruct,es,AUTODESTRUC.
rb,sharpen,jp-kana,かくばる
rb,sharpen,en,SHARPEN
rb,sharpen,fr,AFFUTAGE
rb,sharpen,it,AFFILATORE
rb,sharpen,de,SCHÄRFER
rb,sharpen,es,AFILAR
rb,sing,jp-kana,うたう
rb,sing,en,SING
rb,sing,fr,BERCEUSE
rb,sing,it,CANTO
rb,sing,de,GESANG
rb,sing,es,CANTO
rb,skull-bash,jp-kana,ロケットずつき
rb,skull-bash,en,SKULL BASH
rb,skull-bash,fr,COUD’KRANE
rb,skull-bash,it,CAPOCCIATA
rb,skull-bash,de,SCHÄDELWUMME
rb,skull-bash,es,CABEZAZO
rb,sky-attack,jp-kana,ゴッドバード
rb,sky-attack,en,SKY ATTACK
rb,sky-attack,fr,PIQUE
rb,sky-attack,it,AEROATTACCO
rb,sky-attack,de,HIMMELSFEGER
rb,sky-attack,es,ATAQUE AÉREO
rb,slam,jp-kana,たたきつける
rb,slam,en,SLAM
rb,slam,fr,SOUPLESSE
rb,slam,it,SCHIANTO
rb,slam,de,SLAM
rb,slam,es,PORTAZO
rb,slash,jp-kana,きりさく
rb,slash,en,SLASH
rb,slash,fr,TRANCHE
rb,slash,it,LACERAZIONE
rb,slash,de,SCHLITZER
rb,slash,es,CUCHILLADA
rb,sleep-powder,jp-kana,ねむりごな
rb,sleep-powder,en,SLEEP POWDER
rb,sleep-powder,fr,POUDRE DODO
rb,sleep-powder,it,SONNIFERO
rb,sleep-powder,de,SCHLAFPUDER
rb,sleep-powder,es,SOMNÍFERO
rb,sludge,jp-kana,ヘドロこうげき
rb,sludge,en,SLUDGE
