game_group_identifier,pokemon_identifier,slot,type_identifier
rb,weepinbell,1,grass
rb,weepinbell,2,poison
rb,victreebel,1,grass
rb,victreebel,2,poison
rb,tentacool,1,water
rb,tentacool,2,poison
rb,tentacruel,1,water
rb,tentacruel,2,poison
rb,geodude,1,rock
rb,geodude,2,ground
rb,graveler,1,rock
rb,graveler,2,ground
rb,golem,1,rock
rb,golem,2,ground
rb,ponyta,1,fire
rb,rapidash,1,fire
rb,slowpoke,1,water
rb,slowpoke,2,psychic
rb,slowbro,1,water
rb,slowbro,2,psychic
rb,magnemite,1,electric
rb,magneton,1,electric
rb,farfetchd,1,normal
rb,farfetchd,2,flying
rb,doduo,1,normal
rb,doduo,2,flying
rb,dodrio,1,normal
rb,dodrio,2,flying
rb,seel,1,water
rb,dewgong,1,water
rb,dewgong,2,ice
rb,grimer,1,poison
rb,muk,1,poison
rb,shellder,1,water
rb,cloyster,1,water
rb,cloyster,2,ice
rb,gastly,1,ghost
rb,gastly,2,poison
rb,haunter,1,ghost
rb,haunter,2,poison
rb,gengar,1,ghost
rb,gengar,2,poison
rb,onix,1,rock
rb,onix,2,ground
rb,drowzee,1,psychic
rb,hypno,1,psychic
rb,krabby,1,water
rb,kingler,1,water
rb,voltorb,1,electric
rb,electrode,1,electric
rb,exeggcute,1,grass
rb,exeggcute,2,psychic
rb,exeggutor,1,grass
rb,exeggutor,2,psychic
rb,cubone,1,ground
rb,marowak,1,ground
rb,hitmonlee,1,fighting
rb,hitmonchan,1,fighting
rb,lickitung,1,normal
rb,koffing,1,poison
rb,weezing,1,poison
rb,rhyhorn,1,ground
rb,rhyhorn,2,rock
rb,rhydon,1,ground
rb,rhydon,2,rock
rb,chansey,1,normal
rb,tangela,1,grass
rb,kangaskhan,1,normal
rb,horsea,1,water
rb,seadra,1,water
rb,goldeen,1,water
rb,seaking,1,water
rb,staryu,1,water
rb,starmie,1,water
rb,starmie,2,psychic
rb,mr-mime,1,psychic
rb,scyther,1,bug
rb,scyther,2,flying
rb,jynx,1,ice
rb,jynx,2,psychic
rb,electabuzz,1,electric
rb,magmar,1,fire
rb,pinsir,1,bug
rb,tauros,1,normal
rb,magikarp,1,water
rb,gyarados,1,water
rb,gyarados,2,flying
rb,lapras,1,water
rb,lapras,2,ice
rb,ditto,1,normal
rb,eevee,1,normal
rb,vaporeon,1,water
rb,jolteon,1,electric
rb,flareon,1,fire
rb,porygon,1,normal
rb,omanyte,1,rock
rb,omanyte,2,water
rb,omastar,1,rock
rb,omastar,2,water
rb,kabuto,1,rock
rb,kabuto,2,water
rb,kabutops,1,rock
rb,kabutops,2,water
rb,aerodactyl,1,rock
rb,aerodactyl,2,flying
rb,snorlax,1,normal
rb,articuno,1,ice
rb,articuno,2,flying
rb,zapdos,1,electric
rb,zapdos,2,flying
rb,moltres,1,fire
rb,moltres,2,flying
rb,dratini,1,dragon
rb,dragonair,1,dragon
rb,dragonite,1,dragon
rb,dragonite,2,flying
rb,mewtwo,1,psychic
rb,mew,1,psychic
y,bulbasaur,1,grass
y,bulbasaur,2,poison
y,ivysaur,1,grass
y,ivysaur,2,poison
y,venusaur,1,grass
y,venusaur,2,poison
y,charmander,1,fire
y,charmeleon,1,fire
y,charizard,1,fire
y,charizard,2,flying
y,squirtle,1,water
y,wartortle,1,water
y,blastoise,1,water
y,caterpie,1,bug
y,metapod,1,bug
y,butterfree,1,bug
y,butterfree,2,flying
y,weedle,1,bug
y,weedle,2,poison
y,kakuna,1,bug
y,kakuna,2,poison
y,beedrill,1,bug
y,beedrill,2,poison
y,pidgey,1,normal
y,pidgey,2,flying
y,pidgeotto,1,normal
y,pidgeotto,2,flying
y,pidgeot,1,normal
y,pidgeot,2,flying
y,rattata,1,normal
y,raticate,1,normal
y,spearow,1,normal
y,spearow,2,flying
y,fearow,1,normal
y,fearow,2,flying
y,ekans,1,poison
y,arbok,1,poison
y,pikachu,1,electric
y,raichu,1,electric
y,sandshrew,1,ground
y,sandslash,1,ground
y,nidoran-f,1,poison
y,nidorina,1,poison
y,nidoqueen,1,poison
y,nidoqueen,2,ground
y,nidoran-m,1,poison
y,nidorino,1,poison
y,nidoking,1,poison
y,nidoking,2,ground
y,clefairy,1,normal
y,clefable,1,normal
y,vulpix,1,fire
y,ninetales,1,fire
y,jigglypuff,1,normal
y,wigglytuff,1,normal
y,zubat,1,poison
y,zubat,2,flying
y,golbat,1,poison
y,golbat,2,flying
y,oddish,1,grass
y,oddish,2,poison
y,gloom,1,grass
y,gloom,2,poison
y,vileplume,1,grass
y,vileplume,2,poison
y,paras,1,bug
y,paras,2,grass
y,parasect,1,bug
y,parasect,2,grass
y,venonat,1,bug
y,venonat,2,poison
y,venomoth,1,bug
y,venomoth,2,poison
y,diglett,1,ground
y,dugtrio,1,ground
y,meowth,1,normal
y,persian,1,normal
y,psyduck,1,water
y,golduck,1,water
y,mankey,1,fighting
y,primeape,1,fighting
y,growlithe,1,fire
y,arcanine,1,fire
y,poliwag,1,water
y,poliwhirl,1,water
y,poliwrath,1,water
y,poliwrath,2,fighting
y,abra,1,psychic
y,kadabra,1,psychic
y,alakazam,1,psychic
y,machop,1,fighting
y,machoke,1,fighting
y,machamp,1,fighting
y,bellsprout,1,grass
y,bellsprout,2,poison
y,weepinbell,1,grass
y,weepinbell,2,poison
y,victreebel,1,grass
y,victreebel,2,poison
y,tentacool,1,water
y,tentacool,2,poison
y,tentacruel,1,water
y,tentacruel,2,poison
y,geodude,1,rock
y,geodude,2,ground
y,graveler,1,rock
y,graveler,2,ground
y,golem,1,rock
y,golem,2,ground
y,ponyta,1,fire
y,rapidash,1,fire
y,slowpoke,1,water
y,slowpoke,2,psychic
y,slowbro,1,water
y,slowbro,2,psychic
y,magnemite,1,electric
y,magneton,1,electric
y,farfetchd,1,normal
y,farfetchd,2,flying
y,doduo,1,normal
y,doduo,2,flying
y,dodrio,1,normal
y,dodrio,2,flying
y,seel,1,water
y,dewgong,1,water
y,dewgong,2,ice
y,grimer,1,poison
y,muk,1,poison
y,shellder,1,water
y,cloyster,1,water
y,cloyster,2,ice
y,gastly,1,ghost
y,gastly,2,poison
y,haunter,1,ghost
y,haunter,2,poison
y,gengar,1,ghost
y,gengar,2,poison
y,onix,1,rock
y,onix,2,ground
y,drowzee,1,psychic
y,hypno,1,psychic
y,krabby,1,water
y,kingler,1,water
y,voltorb,1,electric
y,electrode,1,electric
y,exeggcute,1,grass
y,exeggcute,2,psychic
y,exeggutor,1,grass
y,exeggutor,2,psychic
y,cubone,1,ground
y,marowak,1,ground
y,hitmonlee,1,fighting
y,hitmonchan,1,fighting
y,lickitung,1,normal
y,koffing,1,poison
y,weezing,1,poison
y,rhyhorn,1,ground
y,rhyhorn,2,rock
y,rhydon,1,ground
y,rhydon,2,rock
y,chansey,1,normal
y,tangela,1,grass
y,kangaskhan,1,normal
y,horsea,1,water
y,seadra,1,water
y,goldeen,1,water
y,seaking,1,water
y,staryu,1,water
y,starmie,1,water
y,starmie,2,psychic
y,mr-mime,1,psychic
y,scyther,1,bug
y,scyther,2,flying
y,jynx,1,ice
y,jynx,2,psychic
y,electabuzz,1,electric
y,magmar,1,fire
y,pinsir,1,bug
y,tauros,1,normal
y,magikarp,1,water
y,gyarados,1,water
y,gyarados,2,flying
y,lapras,1,water
y,lapras,2,ice
y,ditto,1,normal
y,eevee,1,normal
y,vaporeon,1,water
y,jolteon,1,electric
y,flareon,1,fire
y,porygon,1,normal
y,omanyte,1,rock
y,omanyte,2,water
y,omastar,1,rock
y,omastar,2,water
y,kabuto,1,rock
y,kabuto,2,water
y,kabutops,1,rock
y,kabutops,2,water
y,aerodactyl,1,rock
y,aerodactyl,2,flying
y,snorlax,1,normal
y,articuno,1,ice
y,articuno,2,flying
y,zapdos,1,electric
y,zapdos,2,flying
y,moltres,1,fire
y,moltres,2,flying
y,dratini,1,dragon
y,dragonair,1,dragon
y,dragonite,1,dragon
y,dragonite,2,flying
y,mewtwo,1,psychic
y,mew,1,psychic
gs,bulbasaur,1,grass
gs,bulbasaur,2,poison
gs,ivysaur,1,grass
gs,ivysaur,2,poison
gs,venusaur,1,grass
gs,venusaur,2,poison
gs,charmander,1,fire
gs,charmeleon,1,fire
gs,charizard,1,fire
gs,charizard,2,flying
gs,squirtle,1,water
gs,wartortle,1,water
gs,blastoise,1,water
gs,caterpie,1,bug
gs,metapod,1,bug
gs,butterfree,1,bug
gs,butterfree,2,flying
gs,weedle,1,bug
gs,weedle,2,poison
gs,kakuna,1,bug
gs,kakuna,2,poison
gs,beedrill,1,bug
gs,beedrill,2,poison
gs,pidgey,1,normal
gs,pidgey,2,flying
gs,pidgeotto,1,normal
gs,pidgeotto,2,flying
gs,pidgeot,1,normal
gs,pidgeot,2,flying
gs,rattata,1,normal
gs,raticate,1,normal
gs,spearow,1,normal
gs,spearow,2,flying
gs,fearow,1,normal
gs,fearow,2,flying
gs,ekans,1,poison
gs,arbok,1,poison
gs,pikachu,1,electric
gs,raichu,1,electric
gs,sandshrew,1,ground
gs,sandslash,1,ground
gs,nidoran-f,1,poison
gs,nidorina,1,poison
gs,nidoqueen,1,poison
gs,nidoqueen,2,ground
gs,nidoran-m,1,poison
gs,nidorino,1,poison
gs,nidoking,1,poison
gs,nidoking,2,ground
gs,clefairy,1,normal
gs,clefable,1,normal
gs,vulpix,1,fire
gs,ninetales,1,fire
gs,jigglypuff,1,normal
gs,wigglytuff,1,normal
gs,zubat,1,poison
gs,zubat,2,flying
gs,golbat,1,poison
gs,golbat,2,flying
gs,oddish,1,grass
gs,oddish,2,poison
gs,gloom,1,grass
gs,gloom,2,poison
gs,vileplume,1,grass
gs,vileplume,2,poison
gs,paras,1,bug
gs,paras,2,grass
gs,parasect,1,bug
gs,parasect,2,grass
gs,venonat,1,bug
gs,venonat,2,poison
gs,venomoth,1,bug
gs,venomoth,2,poison
gs,diglett,1,ground
gs,dugtrio,1,ground
gs,meowth,1,normal
gs,persian,1,normal
gs,psyduck,1,water
gs,golduck,1,water
gs,mankey,1,fighting
gs,primeape,1,fighting
gs,growlithe,1,fire
gs,arcanine,1,fire
gs,poliwag,1,water
gs,poliwhirl,1,water
gs,poliwrath,1,water
gs,poliwrath,2,fighting
gs,abra,1,psychic
gs,kadabra,1,psychic
gs,alakazam,1,psychic
gs,machop,1,fighting
gs,machoke,1,fighting
gs,machamp,1,fighting
gs,bellsprout,1,grass
gs,bellsprout,2,poison
gs,weepinbell,1,grass
gs,weepinbell,2,poison
gs,victreebel,1,grass
gs,victreebel,2,poison
gs,tentacool,1,water
gs,tentacool,2,poison
gs,tentacruel,1,water
gs,tentacruel,2,poison
gs,geodude,1,rock
gs,geodude,2,ground
gs,graveler,1,rock
gs,graveler,2,ground
gs,golem,1,rock
gs,golem,2,ground
gs,ponyta,1,fire
gs,rapidash,1,fire
gs,slowpoke,1,water
gs,slowpoke,2,psychic
gs,slowbro,1,water
gs,slowbro,2,psychic
gs,magnemite,1,electric
gs,magnemite,2,steel
gs,magneton,1,electric
gs,magneton,2,steel
gs,farfetchd,1,normal
gs,farfetchd,2,flying
gs,doduo,1,normal
gs,doduo,2,flying
gs,dodrio,1,normal
gs,dodrio,2,flying
gs,seel,1,water
gs,dewgong,1,water
gs,dewgong,2,ice
gs,grimer,1,poison
gs,muk,1,poison
gs,shellder,1,water
gs,cloyster,1,water
gs,cloyster,2,ice
gs,gastly,1,ghost
gs,gastly,2,poison
gs,haunter,1,ghost
gs,haunter,2,poison
gs,gengar,1,ghost
gs,gengar,2,poison
gs,onix,1,rock
gs,onix,2,ground
gs,drowzee,1,psychic
gs,hypno,1,psychic
gs,krabby,1,water
gs,kingler,1,water
gs,voltorb,1,electric
gs,electrode,1,electric
gs,exeggcute,1,grass
gs,exeggcute,2,psychic
gs,exeggutor,1,grass
gs,exeggutor,2,psychic
gs,cubone,1,ground
gs,marowak,1,ground
gs,hitmonlee,1,fighting
gs,hitmonchan,1,fighting
gs,lickitung,1,normal
gs,koffing,1,poison
gs,weezing,1,poison
gs,rhyhorn,1,ground
gs,rhyhorn,2,rock
gs,rhydon,1,ground
gs,rhydon,2,rock
gs,chansey,1,normal
gs,tangela,1,grass
gs,kangaskhan,1,normal
gs,horsea,1,water
gs,seadra,1,water
gs,goldeen,1,water
gs,seaking,1,water
gs,staryu,1,water
gs,starmie,1,water
gs,starmie,2,psychic
gs,mr-mime,1,psychic
gs,scyther,1,bug
gs,scyther,2,flying
gs,jynx,1,ice
gs,jynx,2,psychic
gs,electabuzz,1,electric
gs,magmar,1,fire
gs,pinsir,1,bug
gs,tauros,1,normal
gs,magikarp,1,water
gs,gyarados,1,water
gs,gyarados,2,flying
gs,lapras,1,water
gs,lapras,2,ice
gs,ditto,1,normal
gs,eevee,1,normal
gs,vaporeon,1,water
gs,jolteon,1,electric
gs,flareon,1,fire
gs,porygon,1,normal
gs,omanyte,1,rock
gs,omanyte,2,water
gs,omastar,1,rock
gs,omastar,2,water
gs,kabuto,1,rock
gs,kabuto,2,water
gs,kabutops,1,rock
gs,kabutops,2,water
gs,aerodactyl,1,rock
gs,aerodactyl,2,flying
gs,snorlax,1,normal
gs,articuno,1,ice
gs,articuno,2,flying
gs,zapdos,1,electric
gs,zapdos,2,flying
gs,moltres,1,fire
gs,moltres,2,flying
gs,dratini,1,dragon
gs,dragonair,1,dragon
gs,dragonite,1,dragon
gs,dragonite,2,flying
gs,mewtwo,1,psychic
gs,mew,1,psychic
gs,chikorita,1,grass
gs,bayleef,1,grass
gs,meganium,1,grass
gs,cyndaquil,1,fire
gs,quilava,1,fire
gs,typhlosion,1,fire
gs,totodile,1,water
gs,croconaw,1,water
gs,feraligatr,1,water
gs,sentret,1,normal
gs,furret,1,normal
gs,hoothoot,1,normal
gs,hoothoot,2,flying
gs,noctowl,1,normal
gs,noctowl,2,flying
gs,ledyba,1,bug
gs,ledyba,2,flying
gs,ledian,1,bug
gs,ledian,2,flying
gs,spinarak,1,bug
gs,spinarak,2,poison
gs,ariados,1,bug
gs,ariados,2,poison
gs,crobat,1,poison
gs,crobat,2,flying
gs,chinchou,1,water
gs,chinchou,2,electric
gs,lanturn,1,water
gs,lanturn,2,electric
gs,pichu,1,electric
gs,cleffa,1,normal
gs,igglybuff,1,normal
gs,togepi,1,normal
gs,togetic,1,normal
gs,togetic,2,flying
gs,natu,1,psychic
gs,natu,2,flying
gs,xatu,1,psychic
gs,xatu,2,flying
gs,mareep,1,electric
gs,flaaffy,1,electric
gs,ampharos,1,electric
gs,bellossom,1,grass
gs,marill,1,water
gs,azumarill,1,water
gs,sudowoodo,1,rock
gs,politoed,1,water
gs,hoppip,1,grass
gs,hoppip,2,flying
gs,skiploom,1,grass
gs,skiploom,2,flying
gs,jumpluff,1,grass
gs,jumpluff,2,flying
gs,aipom,1,normal
gs,sunkern,1,grass
gs,sunflora,1,grass
gs,yanma,1,bug
gs,yanma,2,flying
gs,wooper,1,water
gs,wooper,2,ground
gs,quagsire,1,water
gs,quagsire,2,ground
gs,espeon,1,psychic
gs,umbreon,1,dark
gs,murkrow,1,dark
gs,murkrow,2,flying
gs,slowking,1,water
gs,slowking,2,psychic
gs,misdreavus,1,ghost
gs,unown-a,1,psychic
gs,unown-b,1,psychic
gs,unown-c,1,psychic
gs,unown-d,1,psychic
gs,unown-e,1,psychic
gs,unown-f,1,psychic
gs,unown-g,1,psychic
gs,unown-h,1,psychic
gs,unown-i,1,psychic
gs,unown-j,1,psychic
gs,unown-k,1,psychic
gs,unown-l,1,psychic
gs,unown-m,1,psychic
gs,unown-n,1,psychic
gs,unown-o,1,psychic
gs,unown-p,1,psychic
gs,unown-q,1,psychic
gs,unown-r,1,psychic
gs,unown-s,1,psychic
gs,unown-t,1,psychic
gs,unown-u,1,psychic
gs,unown-v,1,psychic
gs,unown-w,1,psychic
gs,unown-x,1,psychic
gs,unown-y,1,psychic
gs,unown-z,1,psychic
gs,wobbuffet,1,psychic
gs,girafarig,1,normal
gs,girafarig,2,psychic
gs,pineco,1,bug
gs,forretress,1,bug
gs,forretress,2,steel
gs,dunsparce,1,normal
gs,gligar,1,ground
gs,gligar,2,flying
gs,steelix,1,steel
gs,steelix,2,ground
gs,snubbull,1,normal
gs,granbull,1,normal
gs,qwilfish,1,water
gs,qwilfish,2,poison
gs,scizor,1,bug
gs,scizor,2,steel
gs,shuckle,1,bug
gs,shuckle,2,rock
gs,heracross,1,bug
gs,heracross,2,fighting
gs,sneasel,1,dark
gs,sneasel,2,ice
gs,teddiursa,1,normal
gs,ursaring,1,normal
gs,slugma,1,fire
gs,magcargo,1,fire
gs,magcargo,2,rock
gs,swinub,1,ice
gs,swinub,2,ground
gs,piloswine,1,ice
gs,piloswine,2,ground
gs,corsola,1,water
gs,corsola,2,rock
gs,remoraid,1,water
gs,octillery,1,water
gs,delibird,1,ice
gs,delibird,2,flying
gs,mantine,1,water
gs,mantine,2,flying
gs,skarmory,1,steel
gs,skarmory,2,flying
gs,houndour,1,dark
gs,houndour,2,fire
gs,houndoom,1,dark
gs,houndoom,2,fire
gs,kingdra,1,water
gs,kingdra,2,dragon
gs,phanpy,1,ground
gs,donphan,1,ground
gs,porygon2,1,normal
gs,stantler,1,normal
gs,smeargle,1,normal
gs,tyrogue,1,fighting
gs,hitmontop,1,fighting
gs,smoochum,1,ice
gs,smoochum,2,psychic
gs,elekid,1,electric
gs,magby,1,fire
gs,miltank,1,normal
gs,blissey,1,normal
gs,raikou,1,electric
gs,entei,1,fire
gs,suicune,1,water
gs,larvitar,1,rock
gs,larvitar,2,ground
gs,pupitar,1,rock
gs,pupitar,2,ground
gs,tyranitar,1,rock
gs,tyranitar,2,dark
gs,lugia,1,psychic
gs,lugia,2,flying
gs,ho-oh,1,fire
gs,ho-oh,2,flying
gs,celebi,1,psychic
gs,celebi,2,grass
c,bulbasaur,1,grass
c,bulbasaur,2,poison
c,ivysaur,1,grass
c,ivysaur,2,poison
c,venusaur,1,grass
c,venusaur,2,poison
c,charmander,1,fire
c,charmeleon,1,fire
c,charizard,1,fire
c,charizard,2,flying
c,squirtle,1,water
c,wartortle,1,water
c,blastoise,1,water
c,caterpie,1,bug
c,metapod,1,bug
c,butterfree,1,bug
c,butterfree,2,flying
c,weedle,1,bug
c,weedle,2,poison
c,kakuna,1,bug
c,kakuna,2,poison
c,beedrill,1,bug
c,beedrill,2,poison
c,pidgey,1,normal
c,pidgey,2,flying
c,pidgeotto,1,normal
c,pidgeotto,2,flying
c,pidgeot,1,normal
c,pidgeot,2,flying
c,rattata,1,normal
c,raticate,1,normal
c,spearow,1,normal
c,spearow,2,flying
c,fearow,1,normal
c,fearow,2,flying
c,ekans,1,poison
c,arbok,1,poison
c,pikachu,1,electric
c,raichu,1,electric
c,sandshrew,1,ground
c,sandslash,1,ground
c,nidoran-f,1,poison
c,nidorina,1,poison
c,nidoqueen,1,poison
c,nidoqueen,2,ground
c,nidoran-m,1,poison
c,nidorino,1,poison
c,nidoking,1,poison
c,nidoking,2,ground
c,clefairy,1,normal
c,clefable,1,normal
c,vulpix,1,fire
c,ninetales,1,fire
c,jigglypuff,1,normal
c,wigglytuff,1,normal
c,zubat,1,poison
c,zubat,2,flying
c,golbat,1,poison
c,golbat,2,flying
c,oddish,1,grass
c,oddish,2,poison
c,gloom,1,grass
c,gloom,2,poison
c,vileplume,1,grass
c,vileplume,2,poison
c,paras,1,bug
c,paras,2,grass
c,parasect,1,bug
c,parasect,2,grass
c,venonat,1,bug
c,venonat,2,poison
c,venomoth,1,bug
c,venomoth,2,poison
c,diglett,1,ground
c,dugtrio,1,ground
c,meowth,1,normal
c,persian,1,normal
c,psyduck,1,water
c,golduck,1,water
c,mankey,1,fighting
c,primeape,1,fighting
c,growlithe,1,fire
c,arcanine,1,fire
c,poliwag,1,water
c,poliwhirl,1,water
c,poliwrath,1,water
c,poliwrath,2,fighting
c,abra,1,psychic
c,kadabra,1,psychic
c,alakazam,1,psychic
c,machop,1,fighting
c,machoke,1,fighting
c,machamp,1,fighting
c,bellsprout,1,grass
c,bellsprout,2,poison
c,weepinbell,1,grass
c,weepinbell,2,poison
c,victreebel,1,grass
c,victreebel,2,poison
c,tentacool,1,water
c,tentacool,2,poison
c,tentacruel,1,water
c,tentacruel,2,poison
c,geodude,1,rock
c,geodude,2,ground
c,graveler,1,rock
c,graveler,2,ground
c,golem,1,rock
c,golem,2,ground
c,ponyta,1,fire
c,rapidash,1,fire
c,slowpoke,1,water
c,slowpoke,2,psychic
c,slowbro,1,water
c,slowbro,2,psychic
c,magnemite,1,electric
c,magnemite,2,steel
c,magneton,1,electric
c,magneton,2,steel
c,farfetchd,1,normal
c,farfetchd,2,flying
c,doduo,1,normal
c,doduo,2,flying
c,dodrio,1,normal
c,dodrio,2,flying
c,seel,1,water
c,dewgong,1,water
c,dewgong,2,ice
c,grimer,1,poison
c,muk,1,poison
c,shellder,1,water
c,cloyster,1,water
c,cloyster,2,ice
c,gastly,1,ghost
c,gastly,2,poison
c,haunter,1,ghost
c,haunter,2,poison
c,gengar,1,ghost
c,gengar,2,poison
c,onix,1,rock
c,onix,2,ground
c,drowzee,1,psychic
c,hypno,1,psychic
c,krabby,1,water
c,kingler,1,water
c,voltorb,1,electric
c,electrode,1,electric
c,exeggcute,1,grass
c,exeggcute,2,psychic
c,exeggutor,1,grass
c,exeggutor,2,psychic
c,cubone,1,ground
c,marowak,1,ground
c,hitmonlee,1,fighting
c,hitmonchan,1,fighting
c,lickitung,1,normal
c,koffing,1,poison
c,weezing,1,poison
c,rhyhorn,1,ground
c,rhyhorn,2,rock
c,rhydon,1,ground
c,rhydon,2,rock
c,chansey,1,normal
c,tangela,1,grass
c,kangaskhan,1,normal
c,horsea,1,water
c,seadra,1,water
c,goldeen,1,water
c,seaking,1,water
c,staryu,1,water
c,starmie,1,water
c,starmie,2,psychic
c,mr-mime,1,psychic
c,scyther,1,bug
c,scyther,2,flying
c,jynx,1,ice
c,jynx,2,psychic
c,electabuzz,1,electric
c,magmar,1,fire
c,pinsir,1,bug
c,tauros,1,normal
c,magikarp,1,water
c,gyarados,1,water
c,gyarados,2,flying
c,lapras,1,water
c,lapras,2,ice
c,ditto,1,normal
c,eevee,1,normal
c,vaporeon,1,water
c,jolteon,1,electric
c,flareon,1,fire
c,porygon,1,normal
c,omanyte,1,rock
c,omanyte,2,water
c,omastar,1,rock
c,omastar,2,water
c,kabuto,1,rock
c,kabuto,2,water
c,kabutops,1,rock
c,kabutops,2,water
c,aerodactyl,1,rock
c,aerodactyl,2,flying
c,snorlax,1,normal
c,articuno,1,ice
c,articuno,2,flying
c,zapdos,1,electric
c,zapdos,2,flying
c,moltres,1,fire
c,moltres,2,flying
c,dratini,1,dragon
c,dragonair,1,dragon
c,dragonite,1,dragon
c,dragonite,2,flying
c,mewtwo,1,psychic
c,mew,1,psychic
c,chikorita,1,grass
c,bayleef,1,grass
c,meganium,1,grass
c,cyndaquil,1,fire
c,quilava,1,fire
c,typhlosion,1,fire
c,totodile,1,water
c,croconaw,1,water
c,feraligatr,1,water
c,sentret,1,normal
c,furret,1,normal
c,hoothoot,1,normal
c,hoothoot,2,flying
c,noctowl,1,normal
c,noctowl,2,flying
c,ledyba,1,bug
c,ledyba,2,flying
c,ledian,1,bug
c,ledian,2,flying
c,spinarak,1,bug
c,spinarak,2,poison
c,ariados,1,bug
c,ariados,2,poison
c,crobat,1,poison
c,crobat,2,flying
c,chinchou,1,water
c,chinchou,2,electric
c,lanturn,1,water
c,lanturn,2,electric
c,pichu,1,electric
c,cleffa,1,normal
c,igglybuff,1,normal
c,togepi,1,normal
c,togetic,1,normal
c,togetic,2,flying
c,natu,1,psychic
c,natu,2,flying
c,xatu,1,psychic
c,xatu,2,flying
c,mareep,1,electric
c,flaaffy,1,electric
c,ampharos,1,electric
c,bellossom,1,grass
c,marill,1,water
c,azumarill,1,water
c,sudowoodo,1,rock
c,politoed,1,water
c,hoppip,1,grass
c,hoppip,2,flying
c,skiploom,1,grass
c,skiploom,2,flying
c,jumpluff,1,grass
c,jumpluff,2,flying
c,aipom,1,normal
c,sunkern,1,grass
c,sunflora,1,grass
c,yanma,1,bug
c,yanma,2,flying
c,wooper,1,water
c,wooper,2,ground
c,quagsire,1,water
c,quagsire,2,ground
c,espeon,1,psychic
c,umbreon,1,dark
c,murkrow,1,dark
c,murkrow,2,flying
c,slowking,1,water
c,slowking,2,psychic
c,misdreavus,1,ghost
c,unown-a,1,psychic
c,unown-b,1,psychic
c,unown-c,1,psychic
c,unown-d,1,psychic
c,unown-e,1,psychic
c,unown-f,1,psychic
c,unown-g,1,psychic
c,unown-h,1,psychic
c,unown-i,1,psychic
c,unown-j,1,psychic
c,unown-k,1,psychic
c,unown-l,1,psychic
c,unown-m,1,psychic
c,unown-n,1,psychic
c,unown-o,1,psychic
c,unown-p,1,psychic
c,unown-q,1,psychic
c,unown-r,1,psychic
c,unown-s,1,psychic
c,unown-t,1,psychic
c,unown-u,1,psychic
c,unown-v,1,psychic
c,unown-w,1,psychic
c,unown-x,1,psychic
c,unown-y,1,psychic
c,unown-z,1,psychic
c,wobbuffet,1,psychic
c,girafarig,1,normal
c,girafarig,2,psychic
c,pineco,1,bug
c,forretress,1,bug
c,forretress,2,steel
c,dunsparce,1,normal
c,gligar,1,ground
c,gligar,2,flying
