game_identifier,pokemon_identifier,language_identifier,game_revision,flavor_text
shield,liepard,zh-simp,upd-111,"和狐大盗争抢地盘。
能够悄无声息地
从背后偷偷靠近猎物。"
shield,liepard,zh-simp,upd-120,"和狐大盗争抢地盘。
能够悄无声息地
从背后偷偷靠近猎物。"
shield,liepard,zh-simp,upd-121,"和狐大盗争抢地盘。
能够悄无声息地
从背后偷偷靠近猎物。"
shield,cofagrigus,zh-simp,base,"死神棺象征着国王的财富，
因此许多古墓里
都有它的壁画。"
shield,cofagrigus,zh-simp,upd-110,"死神棺象征着国王的财富，
因此许多古墓里
都有它的壁画。"
shield,cofagrigus,zh-simp,upd-111,"死神棺象征着国王的财富，
因此许多古墓里
都有它的壁画。"
shield,cofagrigus,zh-simp,upd-120,"死神棺象征着国王的财富，
因此许多古墓里
都有它的壁画。"
shield,cofagrigus,zh-simp,upd-121,"死神棺象征着国王的财富，
因此许多古墓里
都有它的壁画。"
shield,keldeo-ordinary-form,zh-trad,base,"據說當牠挺過了艱難的戰鬥，
額頭上的角就能得到鍛鍊，
從而激發出自己真正的力量。"
shield,keldeo-resolute-form,jp-kana,base,"からだの　おくそこで　ねむっていた
ちからが　ひたいの　ツノに　まとい
すべてを　きりさく　つるぎとなった。"
shield,keldeo-resolute-form,jp-kanji,base,"体の　奥底で　眠っていた
力が　額の　ツノに　まとい
すべてを　切り裂く　剣となった。"
shield,keldeo-resolute-form,zh-trad,base,"沉睡在身體深處的力量
包裹住了牠額頭上的角，
形成了能撕裂一切的劍。"
shield,clawitzer,zh-trad,upd-120,"右臂是能夠發射海水
砲彈的大砲。威力之強，
甚至能夠擊沈油輪。"
shield,clawitzer,zh-trad,upd-121,"右臂是能夠發射海水
砲彈的大砲。威力之強，
甚至能夠擊沈油輪。"
brilliant-diamond,uxie,zh-simp,base,"被称为知识之神。
据说拥有消除与之目光交汇者的
记忆的力量。"
scarlet,pikachu,jp-kana,base,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kana,upd-101,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kana,upd-110,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kana,upd-120,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kana,upd-130,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kana,upd-131,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kanji,base,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kanji,upd-101,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kanji,upd-110,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kanji,upd-120,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kanji,upd-130,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,pikachu,jp-kanji,upd-131,"￹両頬￺りょうほお￻には　￹電気￺でんき￻を　￹溜￺た￻めこむ
￹袋￺ふくろ￻がある。　￹怒￺おこ￻ると　￹溜￺た￻めこんだ
￹電気￺でんき￻を　￹一気￺いっき￻に　￹放￺はな￻ってくる。"
scarlet,primeape,it,base,"Diventa furioso se si sente osservato. Insegue
chiunque incontri il suo sguardo."
scarlet,primeape,es,base,"Se pone furioso si nota que alguien lo está
mirando. Persigue a cualquiera que establezca
contacto visual con él."
scarlet,grimer,it,base,"Un Pokémon nato dalla melma. Predilige i posti
sporchi perché gli permettono di aumentare
la sua carica batterica."
scarlet,grimer,es,base,"Formados a partir de lodo, los Grimer se juntan
en lugares sucios para aumentar el número de
gérmenes de su cuerpo."
scarlet,muk,en,base,"It’s thickly covered with a filthy, vile sludge. It is
so toxic, even its footprints contain poison."
scarlet,muk,it,base,"Coperto di melma sudicia, è così tossico che
persino le sue impronte sono velenose."
scarlet,muk,es,base,"Está cubierto por un repugnante lodo. Es tan
tóxico que hasta su rastro es venenoso."
scarlet,cloyster,es,base,"A los Cloyster que viven en las fuertes corrientes
marinas les crecen largas y afiladas púas en
la concha."
scarlet,haunter,it,base,"Adora stare in agguato nei luoghi bui e toccare
le spalle delle vittime con le sue mani gassose.
Il suo tocco causa brividi incontenibili."
scarlet,gengar,en,base,"To steal the life of its target, it slips into the prey’s
shadow and silently waits for an opportunity."
scarlet,hypno,it,base,"Quando cattura lo sguardo del nemico, usa
una varietà di poteri psichici come, ad esempio,
l’ipnosi."
scarlet,electrode,en,base,"The more energy it charges up, the faster it gets.
But this also makes it more likely to explode."
scarlet,electrode,it,base,"L’energia Elettro che immagazzina lo fa andare
sempre più veloce, ma lo fa anche esplodere più
facilmente."
scarlet,electrode,es,base,"Cuanta más energía almacena, mayor velocidad
alcanza, aunque aumenta también el riesgo de
que explote."
scarlet,electrode-hisuian-form,en,base,"The more energy it charges up, the faster it gets.
But this also makes it more likely to explode."
scarlet,electrode-hisuian-form,it,base,"L’energia Elettro che immagazzina lo fa andare
sempre più veloce, ma lo fa anche esplodere più
facilmente."
scarlet,electrode-hisuian-form,es,base,"Cuanta más energía almacena, mayor velocidad
alcanza, aunque aumenta también el riesgo de
que explote."
scarlet,exeggutor-alolan-form,jp-kana,upd-120,"ながいくびを　ムチのように　しならせ
あたまを　あいてに　たたきつける。
じぶんも　すこしクラクラしてしまう。。"
scarlet,exeggutor-alolan-form,jp-kanji,upd-120,"ながいくびを　ムチのように　しならせ
あたまを　あいてに　たたきつける。
じぶんも　すこしクラクラしてしまう。。"
scarlet,exeggutor-alolan-form,en,upd-120,"Blazing sunlight has brought out the true form
and powers of this Pokémon."
scarlet,exeggutor-alolan-form,fr,upd-120,Il utilise son grand cou comme un fouet et assène des coups de tête à son adversaire. Ces attaques l’étourdissent aussi un peu.
scarlet,exeggutor-alolan-form,de,upd-120,"Es greift mit seinen harten Köpfen an, indem es seinen langen Hals wie eine Peitsche schwingt. Dabei wird ihm jedoch leicht schwindlig."
scarlet,exeggutor-alolan-form,es,upd-120,Golpea al oponente a cabezazos chasqueando el cuello como un látigo. Se marea un poco al hacerlo.
scarlet,scyther,en,base,"It slashes through grass with its sharp scythes,
moving too fast for the human eye to track."
scarlet,scyther,it,base,"Si fa strada tra l’erba grazie alle lame affilate,
muovendosi troppo velocemente per l’occhio
umano."
scarlet,scyther,es,base,"Avanza por la hierba con sus afiladas guadañas,
más rápido de lo que el ojo humano puede
percibir."
scarlet,tauros,de,base,"Wenn Tauros Beute ins Visier genommen hat,
stürmt es direkt auf sie zu und benutzt seine
Schweife als Peitsche, um sich anzutreiben."
scarlet,tauros,de,upd-101,"Wenn Tauros Beute ins Visier genommen hat,
stürmt es direkt auf sie zu und benutzt seine
Schweife als Peitsche, um sich anzutreiben."
scarlet,tauros,de,upd-110,"Wenn Tauros Beute ins Visier genommen hat,
stürmt es direkt auf sie zu und benutzt seine
Schweife als Peitsche, um sich anzutreiben."
scarlet,tauros,de,upd-120,"Wenn Tauros Beute ins Visier genommen hat,
stürmt es direkt auf sie zu und benutzt seine
Schweife als Peitsche, um sich anzutreiben."
scarlet,tauros-paldean-form-aqua-breed,en,base,"This Pokémon blasts water from holes on the tips
of its horns—the high-pressure jets pierce right
through Tauros’s enemies."
scarlet,gyarados,en,base,"Once it appears, it goes on a rampage. It remains
enraged until it demolishes everything around it."
scarlet,gyarados,it,base,"Quando esce allo scoperto in preda alla furia,
non si placa finché non ha raso al suolo ogni
cosa."
scarlet,gyarados,es,base,"Cuando aparece, monta en cólera. No deja de
estar furioso hasta que lo destruye todo."
scarlet,vaporeon,en,base,"It lives close to water. Its long tail is ridged with a
fin, which is often mistaken for a mermaid’s."
scarlet,azumarill,en,base,"Its long ears are superb sensors. It can distinguish
the movements of things in water and tell what
they are."
scarlet,forretress,es,base,"Se le suele ver enganchado al tronco de un árbol
grande. Cuando comienza la acción, dispara
trozos de su coraza."
scarlet,dunsparce,es,base,"Construye laberintos en lugares oscuros.
Si alguien lo descubre, huye cavando un agujero
con la cola."
scarlet,scizor,en,base,"This Pokémon’s pincers, which contain steel, can
crush any hard object they get ahold of into bits."
scarlet,scizor,it,base,"Le chele, che contengono acciaio, possono fare
a pezzi qualsiasi oggetto afferrino, anche se
durissimo."
scarlet,scizor,es,base,"Las pinzas que posee contienen acero y pueden
hacer trizas cualquier objeto por duro que sea."
scarlet,heracross,es,base,"Le encanta la savia dulce y usa su cuerno para
lanzar por los aires a cualquiera que se acerque
a ella."
scarlet,ursaring,en,base,"It usually wears a hardened expression, but when
it’s licking up honey—which it loves—the joy it
feels will cause it to break into a wide grin."
scarlet,ursaring,it,base,"Ha un’aria temeraria, ma quando lecca il miele
di cui è ghiotto gli si dipinge un sorriso sul muso."
scarlet,ursaring,es,base,"Su expresión dura y adusta se convierte en una
sonrisa rebosante de felicidad en cuanto saborea
la miel que tanto le gusta."
scarlet,donphan,en,base,"Donphan is covered in tough hide, so even being
hit by a car won’t faze this Pokémon. However, it
is extremely susceptible to rain."
scarlet,donphan,it,base,"La sua pelle è così dura che anche se sbatte
contro una macchina non si fa un graffio.
La pioggia è il suo punto debole."
scarlet,donphan,es,base,"Su dura piel podría resistir el choque contra
un coche sin sufrir un rasguño. La lluvia, sin
embargo, es su punto débil."
scarlet,blissey,it,base,"Basta un solo assaggio di una delle uova deposte
da Blissey per diventare gentili e premurosi
nei confronti di chiunque."
scarlet,blissey,de,base,"Jeder, der von einem Ei kostet, das Heiteira
gelegt hat, wird anderen gegenüber sorgsam und
höflich."
scarlet,blissey,es,base,"Cualquiera que pruebe un poco de huevo de
Blissey, se volverá más amable y agradable con
todos."
scarlet,tyranitar,es,base,"Tiene tanta fuerza que puede cambiar el paisaje.
Su naturaleza insolente le hace ser muy egoísta."
scarlet,wingull,it,base,"Si lascia trasportare ad alta quota dalle correnti
ascensionali, librandosi nel cielo come un aliante
e trasportando il cibo nel becco."
scarlet,wingull,es,base,"Aprovecha las corrientes ascendentes para ganar
altura como si de un planeador se tratase. Suele
llevar comida en el pico."
scarlet,pelipper,it,base,"Un fattorino volante capace di trasportare piccoli
Pokémon nel becco. Quando è stanco, scivola
sulle onde per riposare le ali."
scarlet,surskit,es,base,"Vive en estanques, pero, cuando se desata una
tormenta, puede aparecer en los charcos que se
forman en las ciudades."
scarlet,vigoroth,de,base,"Wenn es sich nicht bewegt, steigt sein Stresslevel
ins Unermessliche und es geht ihm schlecht."
scarlet,slaking,en,base,"It is the world’s most slothful Pokémon. However,
it can exert horrifying power by releasing pent-up
energy all at once."
scarlet,slaking,fr,base,"C’est le Pokémon le plus paresseux du monde.
Il est cependant capable de libérer une puissance
phénoménale en une seule attaque."
scarlet,slaking,it,base,"È il Pokémon più pigro del mondo, ma può
sprigionare di colpo una potenza spaventosa
grazie all’energia accumulata."
scarlet,slaking,es,base,"Es el Pokémon más vago que hay. Aun así, puede
liberar de una vez una cantidad tremenda de
energía acumulada."
scarlet,makuhita,en,base,"It grows stronger by enduring harsh training. It is
a gutsy Pokémon that can withstand any attack."
scarlet,makuhita,it,base,"Si rafforza allenandosi duramente. La sua grande
forza di volontà gli permette di resistere
a qualsiasi attacco."
scarlet,makuhita,es,base,"A base de duro entrenamiento se hace cada vez
más fuerte. Es tan resistente que puede soportar
cualquier ataque."
scarlet,hariyama,en,base,"It loves challenging others to tests of strength.
It has the power to stop a train with a slap."
scarlet,hariyama,it,base,"Adora le gare di forza. Sarebbe capace
di fermare un treno in corsa con un colpo
della mano."
scarlet,hariyama,es,base,"Le encanta medir sus fuerzas. Es tan fuerte
que puede detener un tren en marcha de un
manotazo."
scarlet,swalot,en,base,"It gulps anything that fits in its mouth. Its special
enzymes can dissolve anything."
scarlet,swalot,it,base,"Inghiotte qualunque cosa che possa infilarsi
in bocca. Non c’è nulla che i suoi succhi gastrici
speciali non riescano a digerire."
scarlet,camerupt,en,base,"It lives in the crater of a volcano. It is well known
that the humps on its back erupt every 10 years."
scarlet,camerupt,de,base,"Es lebt in Vulkankratern und ist bekannt dafür,
dass die Höcker auf seinem Rücken alle zehn
Jahre heftig ausbrechen."
scarlet,camerupt,es,base,"Vive en cráteres de volcanes. Es famoso por las
jorobas de su lomo, que entran en erupción cada
diez años."
scarlet,grumpig,es,base,"Para controlar a su rival usa unos curiosos pasos
de baile, antaño muy populares en el extranjero."
scarlet,cacnea,fr,base,"Ce Pokémon préfère les endroits hostiles, comme
le désert. Il peut survivre trente jours grâce à l’eau
emmagasinée dans son corps."
scarlet,cacnea,it,base,"Predilige ambienti ostili come i deserti. Grazie
all’acqua immagazzinata nel corpo, può resistere
30 giorni senza bere."
scarlet,swablu,en,base,"It constantly grooms its cotton-like wings. It takes
a shower to clean itself if it becomes dirty."
scarlet,swablu,es,base,"Está continuamente acicalándose las alas de
algodón que tiene. Si se ensucia, se da un baño
para limpiarse enseguida."
scarlet,altaria,en,base,"If it bonds with a person, it will gently envelop
the friend with its soft wings, then hum."
scarlet,altaria,it,base,"Quando si affeziona a una persona, la avvolge
nelle sue soffici ali e inizia a canticchiare."
scarlet,altaria,es,base,"Si establece un vínculo con una persona,
la envuelve con sus alas suaves y bellas y
le canta en susurros."
scarlet,shelgon,fr,base,"À l’intérieur de sa carapace, ses cellules changent
à une vitesse vertigineuse. Il se prépare ainsi
à son évolution."
scarlet,salamence,it,base,"Volteggia nel cielo con le grandi ali cresciutegli
con l’evoluzione, sputando fuoco dalla gioia e
incenerendo ogni cosa."
scarlet,starly,en,base,"They flock around mountains and fields, chasing
after bug Pokémon. Their singing is noisy and
annoying."
scarlet,staravia,en,base,"Recognizing their own weakness, they always live
in a group. When alone, a Staravia cries noisily."
scarlet,staravia,it,base,"Conscio della propria debolezza, forma grandi
gruppi con i propri simili. Quando si ritrova solo,
canta con voce insistente e fastidiosa."
scarlet,staraptor,en,base,"When Staravia evolve into Staraptor, they leave
the flock to live alone. They have sturdy wings."
scarlet,staraptor,it,base,"Non appena si evolve, lascia lo stormo e affronta
la vita da solo. Le sue ali sono estremamente
robuste."
scarlet,vespiquen,it,base,"Nell’addome ospita la sua progenie, sulla quale
esercita un controllo assoluto tramite i feromoni
che rilascia."
scarlet,vespiquen,es,base,"Cría larvas en los panales de su cuerpo y segrega
diversas feromonas para controlarlas."
scarlet,honchkrow,en,base,"It is merciless by nature. It is said that it never
forgives the mistakes of its Murkrow followers."
scarlet,honchkrow,it,base,"Ha un carattere spietato. Pare che non perdoni
il minimo errore commesso dai Murkrow suoi
seguaci."
scarlet,skuntank,en,base,"It attacks by spraying a horribly smelly fluid from
the tip of its tail. Attacks from above confound it."
scarlet,skuntank,it,base,"Attacca spruzzando un fluido puzzolente
dalla punta della coda. Gli attacchi dall’alto
lo confondono."
scarlet,skuntank,de,base,"Es greift mit einer übel riechenden Substanz an,
die es aus der Spitze seines Schweifs versprüht.
Angriffe von oben verblüffen es."
scarlet,skuntank,es,base,"Ataca emitiendo un fluido maloliente por
la punta de la cola. Los ataques aéreos lo
confunden."
scarlet,spiritomb,it,base,"A causa del suo comportamento molesto è stato
imprigionato in una Roccianima con un misterioso
incantesimo."
scarlet,spiritomb,es,base,"Por sus constantes fechorías se le acabó uniendo
a una Piedra Espíritu con un misterioso hechizo."
scarlet,garchomp,it,base,"Si dice che, quando va a tutta velocità, le sue ali
creino lame d’aria in grado di abbattere gli alberi
vicini."
scarlet,hippopotas,en,base,"It shuts its nostrils tight, then travels through sand
as if walking. They form colonies of around 10."
scarlet,hippopotas,fr,base,"Ce Pokémon peut obturer ses narines et avancer
dans le sable avec aisance. Il vit en colonies
d’environ dix individus."
scarlet,hippopotas,it,base,"Chiude le narici e poi avanza nella sabbia in
tutta tranquillità. Vive in gruppi di una decina
di esemplari."
scarlet,hippopotas,es,base,"Cierra los orificios nasales y luego se desplaza
por la arena con total tranquilidad. Suele formar
colonias de diez individuos."
scarlet,hippowdon,en,base,"It is surprisingly quick to anger. It holds its mouth
agape as a display of its strength."
scarlet,hippowdon,it,base,"Si infuria molto facilmente. Per mostrare la sua
forza tiene la bocca spalancata."
scarlet,hippowdon,es,base,"Mantiene la boca abierta para mostrar su fuerza.
Se enfada con sorprendente rapidez."
scarlet,toxicroak,it,base,"Con il suo corpo flessibile schiva l’attacco del
nemico e lo trafigge al volo con spine velenose."
scarlet,snover,it,base,"In inverno scende fino ai piedi delle montagne,
ma in primavera se ne torna sulle cime montuose
dove c’è ancora neve."
scarlet,snover,es,base,"En las estaciones frías baja al pie de la montaña,
pero regresa a las cimas nevadas en primavera."
scarlet,abomasnow,en,base,"It lives a quiet life on mountains that are
perpetually covered in snow. It hides itself
by whipping up blizzards."
scarlet,abomasnow,it,base,"Vive nella pace delle cime montuose tra le nevi
perenni. Si nasconde scatenando bufere di neve."
scarlet,abomasnow,de,base,"Es führt ein ruhiges Leben im Gebirge, wo ewiger
Schnee liegt, und löst Blizzards aus, um sich
zu verstecken."
scarlet,abomasnow,es,base,"Vive en paz en cordilleras de nieves eternas.
Genera ventiscas para ocultarse."
scarlet,magnezone,it,base,"Vola per il cielo inviando misteriose onde
elettromagnetiche e ricevendo onde sconosciute."
scarlet,magnezone,es,base,"Se dice que mientras vuela emite unas ondas
eléctricas misteriosas, a la vez que recibe otras
ondas desconocidas."
scarlet,zoroark,en,base,"Stories say those who tried to catch Zoroark were
trapped in an illusion and punished."
scarlet,zoroark-hisuian-form,en,base,"Stories say those who tried to catch Zoroark were
trapped in an illusion and punished."
scarlet,eelektross,it,base,"Striscia fuori dal mare con la sola forza dei propri
arti. Poi attacca la preda a riva e con un guizzo la
trascina con sé in acqua."
