game_group_identifier,pokemon_identifier,slot_identifier,item_identifier
rb,vileplume,rare,bitter-berry
rb,paras,common,berry
rb,paras,rare,berry
rb,parasect,common,gold-leaf
rb,parasect,rare,gold-leaf
rb,venonat,common,berry
rb,venonat,rare,berry
rb,venomoth,common,gold-leaf
rb,venomoth,rare,gold-leaf
rb,diglett,common,berry
rb,diglett,rare,berry
rb,dugtrio,common,gold-berry
rb,dugtrio,rare,gold-berry
rb,meowth,common,berry
rb,meowth,rare,berry
rb,persian,common,berry
rb,persian,rare,berry
rb,psyduck,common,berry
rb,psyduck,rare,berry
rb,golduck,common,gold-leaf
rb,golduck,rare,gold-leaf
rb,mankey,common,berry
rb,mankey,rare,berry
rb,primeape,common,gold-leaf
rb,primeape,rare,gold-leaf
rb,growlithe,common,berry
rb,growlithe,rare,berry
rb,arcanine,common,gold-leaf
rb,arcanine,rare,gold-leaf
rb,poliwag,common,berry
rb,poliwag,rare,berry
rb,poliwhirl,common,berry
rb,poliwhirl,rare,berry
rb,poliwrath,common,bitter-berry
rb,poliwrath,rare,bitter-berry
rb,abra,common,tm009
rb,abra,rare,tm009
rb,kadabra,common,berry
rb,kadabra,rare,berry
rb,alakazam,common,gold-berry
rb,alakazam,rare,gold-berry
rb,machop,common,brick-piece
rb,machop,rare,brick-piece
rb,machoke,common,berry
rb,machoke,rare,berry
rb,machamp,common,bitter-berry
rb,machamp,rare,bitter-berry
rb,bellsprout,common,berry
rb,bellsprout,rare,berry
rb,weepinbell,common,berry
rb,weepinbell,rare,berry
rb,victreebel,common,bitter-berry
rb,victreebel,rare,bitter-berry
rb,tentacool,common,berry
rb,tentacool,rare,berry
rb,tentacruel,common,silver-leaf
rb,tentacruel,rare,silver-leaf
rb,geodude,common,berry
rb,geodude,rare,berry
rb,graveler,common,berry
rb,graveler,rare,berry
rb,golem,common,bitter-berry
rb,golem,rare,bitter-berry
rb,ponyta,common,berry
rb,ponyta,rare,berry
rb,rapidash,common,silver-leaf
rb,rapidash,rare,silver-leaf
rb,slowpoke,common,berry
rb,slowpoke,rare,berry
rb,slowbro,common,gold-leaf
rb,slowbro,rare,gold-leaf
rb,magnemite,common,berry
rb,magnemite,rare,berry
rb,magneton,common,silver-leaf
rb,magneton,rare,silver-leaf
rb,farfetchd,common,bitter-berry
rb,farfetchd,rare,bitter-berry
rb,doduo,common,berry
rb,doduo,rare,berry
rb,dodrio,common,bitter-berry
rb,dodrio,rare,bitter-berry
rb,seel,common,berry
rb,seel,rare,berry
rb,dewgong,common,gold-leaf
rb,dewgong,rare,gold-leaf
rb,grimer,common,berry
rb,grimer,rare,berry
rb,muk,common,gold-leaf
rb,muk,rare,gold-leaf
rb,shellder,common,berry
rb,shellder,rare,berry
rb,cloyster,common,silver-leaf
rb,cloyster,rare,silver-leaf
rb,gastly,common,berry
rb,gastly,rare,berry
rb,haunter,common,berry
rb,haunter,rare,berry
rb,gengar,common,bitter-berry
rb,gengar,rare,bitter-berry
rb,onix,common,bitter-berry
rb,onix,rare,bitter-berry
rb,drowzee,common,berry
rb,drowzee,rare,berry
rb,hypno,common,gold-leaf
rb,hypno,rare,gold-leaf
rb,krabby,common,tm033
rb,krabby,rare,tm033
rb,kingler,common,silver-leaf
rb,kingler,rare,silver-leaf
rb,voltorb,common,berry
rb,voltorb,rare,berry
rb,electrode,common,silver-leaf
rb,electrode,rare,silver-leaf
rb,exeggcute,common,berry
rb,exeggcute,rare,berry
rb,exeggutor,common,bitter-berry
rb,exeggutor,rare,bitter-berry
rb,cubone,common,berry
rb,cubone,rare,berry
rb,marowak,common,gold-leaf
rb,marowak,rare,gold-leaf
rb,hitmonlee,common,bitter-berry
rb,hitmonlee,rare,bitter-berry
rb,hitmonchan,common,bitter-berry
rb,hitmonchan,rare,bitter-berry
rb,lickitung,common,bitter-berry
rb,lickitung,rare,bitter-berry
rb,koffing,common,berry
rb,koffing,rare,berry
rb,weezing,common,silver-leaf
rb,weezing,rare,silver-leaf
rb,rhyhorn,common,berry
rb,rhyhorn,rare,berry
rb,rhydon,common,silver-leaf
rb,rhydon,rare,silver-leaf
rb,chansey,common,lucky-punch
rb,chansey,rare,lucky-punch
rb,tangela,common,bitter-berry
rb,tangela,rare,bitter-berry
rb,kangaskhan,common,bitter-berry
rb,kangaskhan,rare,bitter-berry
rb,horsea,common,tm033
rb,horsea,rare,tm033
rb,seadra,common,gold-leaf
rb,seadra,rare,gold-leaf
rb,goldeen,common,tm033
rb,goldeen,rare,tm033
rb,seaking,common,silver-leaf
rb,seaking,rare,silver-leaf
rb,staryu,common,tm033
rb,staryu,rare,tm033
rb,starmie,common,silver-leaf
rb,starmie,rare,silver-leaf
rb,mr-mime,common,bitter-berry
rb,mr-mime,rare,bitter-berry
rb,scyther,common,bitter-berry
rb,scyther,rare,bitter-berry
rb,jynx,common,bitter-berry
rb,jynx,rare,bitter-berry
rb,electabuzz,common,bitter-berry
rb,electabuzz,rare,bitter-berry
rb,magmar,common,bitter-berry
rb,magmar,rare,bitter-berry
rb,pinsir,common,bitter-berry
rb,pinsir,rare,bitter-berry
rb,tauros,common,bitter-berry
rb,tauros,rare,bitter-berry
rb,magikarp,common,berry
rb,magikarp,rare,berry
rb,gyarados,common,bitter-berry
rb,gyarados,rare,bitter-berry
rb,lapras,common,bitter-berry
rb,lapras,rare,bitter-berry
rb,ditto,common,metal-powder
rb,ditto,rare,metal-powder
rb,eevee,common,bitter-berry
rb,eevee,rare,bitter-berry
rb,vaporeon,common,bitter-berry
rb,vaporeon,rare,bitter-berry
rb,jolteon,common,bitter-berry
rb,jolteon,rare,bitter-berry
rb,flareon,common,bitter-berry
rb,flareon,rare,bitter-berry
rb,porygon,common,bitter-berry
rb,porygon,rare,bitter-berry
rb,omanyte,common,bitter-berry
rb,omanyte,rare,bitter-berry
rb,omastar,common,bitter-berry
rb,omastar,rare,bitter-berry
rb,kabuto,common,bitter-berry
rb,kabuto,rare,bitter-berry
rb,kabutops,common,bitter-berry
rb,kabutops,rare,bitter-berry
rb,aerodactyl,common,bitter-berry
rb,aerodactyl,rare,bitter-berry
rb,snorlax,common,leftovers
rb,snorlax,rare,leftovers
rb,articuno,common,bright-powder
rb,articuno,rare,bright-powder
rb,zapdos,common,bright-powder
rb,zapdos,rare,bright-powder
rb,moltres,common,bright-powder
rb,moltres,rare,bright-powder
rb,dratini,common,bitter-berry
rb,dratini,rare,bitter-berry
rb,dragonair,common,bitter-berry
rb,dragonair,rare,bitter-berry
rb,dragonite,common,bitter-berry
rb,dragonite,rare,bitter-berry
rb,mewtwo,common,bright-powder
rb,mewtwo,rare,bright-powder
rb,mew,common,bitter-berry
rb,mew,rare,bitter-berry
y,bulbasaur,common,bitter-berry
y,bulbasaur,rare,bitter-berry
y,ivysaur,common,bitter-berry
y,ivysaur,rare,bitter-berry
y,venusaur,common,bitter-berry
y,venusaur,rare,bitter-berry
y,charmander,common,bitter-berry
y,charmander,rare,bitter-berry
y,charmeleon,common,bitter-berry
y,charmeleon,rare,bitter-berry
y,charizard,common,bitter-berry
y,charizard,rare,bitter-berry
y,squirtle,common,bitter-berry
y,squirtle,rare,bitter-berry
y,wartortle,common,bitter-berry
y,wartortle,rare,bitter-berry
y,blastoise,common,bitter-berry
y,blastoise,rare,bitter-berry
y,caterpie,common,berry
y,caterpie,rare,berry
y,metapod,common,berry
y,metapod,rare,berry
y,butterfree,common,bitter-berry
y,butterfree,rare,bitter-berry
y,weedle,common,berry
y,weedle,rare,berry
y,kakuna,common,berry
y,kakuna,rare,berry
y,beedrill,common,bitter-berry
y,beedrill,rare,bitter-berry
y,pidgey,common,berry
y,pidgey,rare,berry
y,pidgeotto,common,berry
y,pidgeotto,rare,berry
y,pidgeot,common,bitter-berry
y,pidgeot,rare,bitter-berry
y,rattata,common,berry
y,rattata,rare,berry
y,raticate,common,berry
y,raticate,rare,berry
y,spearow,common,berry
y,spearow,rare,berry
y,fearow,common,berry
y,fearow,rare,berry
y,ekans,common,berry
y,ekans,rare,berry
y,arbok,common,berry
y,arbok,rare,berry
y,pikachu,common,light-ball
y,pikachu,rare,light-ball
y,raichu,common,gold-leaf
y,raichu,rare,gold-leaf
y,sandshrew,common,berry
y,sandshrew,rare,berry
y,sandslash,common,berry
y,sandslash,rare,berry
y,nidoran-f,common,tm043
y,nidoran-f,rare,tm043
y,nidorina,common,berry
y,nidorina,rare,berry
y,nidoqueen,common,bitter-berry
y,nidoqueen,rare,bitter-berry
y,nidoran-m,common,tm043
y,nidoran-m,rare,tm043
y,nidorino,common,berry
y,nidorino,rare,berry
y,nidoking,common,bitter-berry
y,nidoking,rare,bitter-berry
y,clefairy,common,mysteryberry
y,clefairy,rare,mysteryberry
y,clefable,common,leftovers
y,clefable,rare,leftovers
y,vulpix,common,berry
y,vulpix,rare,berry
y,ninetales,common,gold-leaf
y,ninetales,rare,gold-leaf
y,jigglypuff,common,polkadot-bow
y,jigglypuff,rare,polkadot-bow
y,wigglytuff,common,gold-berry
y,wigglytuff,rare,gold-berry
y,zubat,common,berry
y,zubat,rare,berry
y,golbat,common,berry
y,golbat,rare,berry
y,oddish,common,berry
y,oddish,rare,berry
y,gloom,common,berry
y,gloom,rare,berry
y,vileplume,common,bitter-berry
y,vileplume,rare,bitter-berry
y,paras,common,berry
y,paras,rare,berry
y,parasect,common,gold-leaf
y,parasect,rare,gold-leaf
y,venonat,common,berry
y,venonat,rare,berry
y,venomoth,common,gold-leaf
y,venomoth,rare,gold-leaf
y,diglett,common,berry
y,diglett,rare,berry
y,dugtrio,common,gold-berry
y,dugtrio,rare,gold-berry
y,meowth,common,berry
y,meowth,rare,berry
y,persian,common,berry
y,persian,rare,berry
y,psyduck,common,berry
y,psyduck,rare,berry
y,golduck,common,gold-leaf
y,golduck,rare,gold-leaf
y,mankey,common,berry
y,mankey,rare,berry
y,primeape,common,gold-leaf
y,primeape,rare,gold-leaf
y,growlithe,common,berry
y,growlithe,rare,berry
y,arcanine,common,gold-leaf
y,arcanine,rare,gold-leaf
y,poliwag,common,berry
y,poliwag,rare,berry
y,poliwhirl,common,berry
y,poliwhirl,rare,berry
y,poliwrath,common,bitter-berry
y,poliwrath,rare,bitter-berry
y,abra,common,tm009
y,abra,rare,tm009
y,kadabra,common,twisted-spoon
y,kadabra,rare,twisted-spoon
y,alakazam,common,gold-berry
y,alakazam,rare,gold-berry
y,machop,common,brick-piece
y,machop,rare,brick-piece
y,machoke,common,berry
y,machoke,rare,berry
y,machamp,common,bitter-berry
y,machamp,rare,bitter-berry
y,bellsprout,common,berry
y,bellsprout,rare,berry
y,weepinbell,common,berry
y,weepinbell,rare,berry
y,victreebel,common,bitter-berry
y,victreebel,rare,bitter-berry
y,tentacool,common,berry
y,tentacool,rare,berry
y,tentacruel,common,silver-leaf
y,tentacruel,rare,silver-leaf
y,geodude,common,berry
y,geodude,rare,berry
y,graveler,common,berry
y,graveler,rare,berry
y,golem,common,bitter-berry
y,golem,rare,bitter-berry
y,ponyta,common,berry
y,ponyta,rare,berry
y,rapidash,common,silver-leaf
y,rapidash,rare,silver-leaf
y,slowpoke,common,berry
y,slowpoke,rare,berry
y,slowbro,common,gold-leaf
y,slowbro,rare,gold-leaf
y,magnemite,common,berry
y,magnemite,rare,berry
y,magneton,common,silver-leaf
y,magneton,rare,silver-leaf
y,farfetchd,common,bitter-berry
y,farfetchd,rare,bitter-berry
y,doduo,common,berry
y,doduo,rare,berry
y,dodrio,common,bitter-berry
y,dodrio,rare,bitter-berry
y,seel,common,berry
y,seel,rare,berry
y,dewgong,common,gold-leaf
y,dewgong,rare,gold-leaf
y,grimer,common,berry
y,grimer,rare,berry
y,muk,common,gold-leaf
y,muk,rare,gold-leaf
y,shellder,common,berry
y,shellder,rare,berry
y,cloyster,common,silver-leaf
y,cloyster,rare,silver-leaf
y,gastly,common,berry
y,gastly,rare,berry
y,haunter,common,berry
y,haunter,rare,berry
y,gengar,common,bitter-berry
y,gengar,rare,bitter-berry
y,onix,common,bitter-berry
y,onix,rare,bitter-berry
y,drowzee,common,berry
y,drowzee,rare,berry
y,hypno,common,gold-leaf
y,hypno,rare,gold-leaf
y,krabby,common,tm033
y,krabby,rare,tm033
y,kingler,common,silver-leaf
y,kingler,rare,silver-leaf
y,voltorb,common,berry
y,voltorb,rare,berry
y,electrode,common,silver-leaf
y,electrode,rare,silver-leaf
y,exeggcute,common,berry
y,exeggcute,rare,berry
y,exeggutor,common,bitter-berry
y,exeggutor,rare,bitter-berry
y,cubone,common,berry
y,cubone,rare,berry
y,marowak,common,gold-leaf
y,marowak,rare,gold-leaf
y,hitmonlee,common,bitter-berry
y,hitmonlee,rare,bitter-berry
y,hitmonchan,common,bitter-berry
y,hitmonchan,rare,bitter-berry
y,lickitung,common,bitter-berry
y,lickitung,rare,bitter-berry
y,koffing,common,berry
y,koffing,rare,berry
y,weezing,common,silver-leaf
y,weezing,rare,silver-leaf
y,rhyhorn,common,berry
y,rhyhorn,rare,berry
y,rhydon,common,silver-leaf
y,rhydon,rare,silver-leaf
y,chansey,common,lucky-punch
y,chansey,rare,lucky-punch
y,tangela,common,bitter-berry
y,tangela,rare,bitter-berry
y,kangaskhan,common,bitter-berry
y,kangaskhan,rare,bitter-berry
y,horsea,common,tm033
y,horsea,rare,tm033
y,seadra,common,gold-leaf
y,seadra,rare,gold-leaf
y,goldeen,common,tm033
y,goldeen,rare,tm033
y,seaking,common,silver-leaf
y,seaking,rare,silver-leaf
y,staryu,common,tm033
y,staryu,rare,tm033
y,starmie,common,silver-leaf
y,starmie,rare,silver-leaf
y,mr-mime,common,bitter-berry
y,mr-mime,rare,bitter-berry
y,scyther,common,bitter-berry
y,scyther,rare,bitter-berry
y,jynx,common,bitter-berry
y,jynx,rare,bitter-berry
y,electabuzz,common,bitter-berry
y,electabuzz,rare,bitter-berry
y,magmar,common,bitter-berry
y,magmar,rare,bitter-berry
y,pinsir,common,bitter-berry
y,pinsir,rare,bitter-berry
y,tauros,common,bitter-berry
y,tauros,rare,bitter-berry
y,magikarp,common,berry
y,magikarp,rare,berry
y,gyarados,common,bitter-berry
y,gyarados,rare,bitter-berry
y,lapras,common,bitter-berry
y,lapras,rare,bitter-berry
y,ditto,common,metal-powder
y,ditto,rare,metal-powder
y,eevee,common,bitter-berry
y,eevee,rare,bitter-berry
y,vaporeon,common,bitter-berry
y,vaporeon,rare,bitter-berry
y,jolteon,common,bitter-berry
y,jolteon,rare,bitter-berry
y,flareon,common,bitter-berry
y,flareon,rare,bitter-berry
y,porygon,common,bitter-berry
y,porygon,rare,bitter-berry
y,omanyte,common,bitter-berry
y,omanyte,rare,bitter-berry
y,omastar,common,bitter-berry
y,omastar,rare,bitter-berry
y,kabuto,common,bitter-berry
y,kabuto,rare,bitter-berry
y,kabutops,common,bitter-berry
y,kabutops,rare,bitter-berry
y,aerodactyl,common,bitter-berry
y,aerodactyl,rare,bitter-berry
y,snorlax,common,leftovers
y,snorlax,rare,leftovers
y,articuno,common,bright-powder
y,articuno,rare,bright-powder
y,zapdos,common,bright-powder
y,zapdos,rare,bright-powder
y,moltres,common,bright-powder
y,moltres,rare,bright-powder
y,dratini,common,bitter-berry
y,dratini,rare,bitter-berry
y,dragonair,common,protein
y,dragonair,rare,protein
y,dragonite,common,antidote
y,dragonite,rare,antidote
y,mewtwo,common,bright-powder
y,mewtwo,rare,bright-powder
y,mew,common,bitter-berry
y,mew,rare,bitter-berry
gs,butterfree,rare,silver-powder
gs,beedrill,rare,poison-barb
gs,fearow,rare,sharp-beak
gs,pikachu,rare,berry
gs,raichu,rare,berry
gs,clefairy,common,mysteryberry
gs,clefairy,rare,moon-stone
gs,clefable,common,mysteryberry
gs,clefable,rare,moon-stone
gs,vulpix,common,burnt-berry
gs,vulpix,rare,burnt-berry
gs,ninetales,common,burnt-berry
gs,ninetales,rare,burnt-berry
gs,paras,common,tiny-mushroom
gs,paras,rare,big-mushroom
gs,parasect,common,tiny-mushroom
gs,parasect,rare,big-mushroom
gs,growlithe,common,burnt-berry
gs,growlithe,rare,burnt-berry
gs,arcanine,common,burnt-berry
gs,arcanine,rare,burnt-berry
gs,poliwhirl,rare,kings-rock
gs,poliwrath,rare,kings-rock
gs,geodude,rare,everstone
gs,graveler,rare,everstone
gs,golem,rare,everstone
gs,slowpoke,rare,kings-rock
gs,slowbro,rare,kings-rock
gs,magnemite,rare,metal-coat
gs,magneton,rare,metal-coat
gs,farfetchd,rare,leek
gs,dodrio,rare,sharp-beak
gs,grimer,rare,nugget
gs,muk,rare,nugget
gs,shellder,common,pearl
gs,shellder,rare,big-pearl
gs,cloyster,common,pearl
gs,cloyster,rare,big-pearl
gs,cubone,rare,thick-club
gs,marowak,rare,thick-club
gs,chansey,rare,lucky-egg
gs,horsea,rare,dragon-scale
gs,seadra,rare,dragon-scale
gs,staryu,common,stardust
gs,staryu,rare,star-piece
gs,starmie,common,stardust
gs,starmie,rare,star-piece
gs,mr-mime,rare,mysteryberry
gs,jynx,common,ice-berry
gs,jynx,rare,ice-berry
gs,magmar,common,burnt-berry
gs,magmar,rare,burnt-berry
gs,snorlax,common,leftovers
gs,snorlax,rare,leftovers
gs,dratini,rare,dragon-scale
gs,dragonair,rare,dragon-scale
gs,dragonite,rare,dragon-scale
gs,mewtwo,rare,berserk-gene
gs,mew,rare,miracleberry
gs,sentret,rare,berry
gs,furret,common,berry
gs,furret,rare,gold-berry
gs,pichu,rare,berry
gs,cleffa,common,mysteryberry
gs,cleffa,rare,moon-stone
gs,politoed,rare,kings-rock
gs,slowking,rare,kings-rock
gs,misdreavus,rare,spell-tag
gs,steelix,rare,metal-coat
gs,shuckle,common,berry
gs,shuckle,rare,berry
gs,sneasel,rare,quick-claw
gs,kingdra,rare,dragon-scale
gs,smoochum,common,ice-berry
gs,smoochum,rare,ice-berry
gs,magby,common,burnt-berry
gs,magby,rare,burnt-berry
gs,miltank,common,moomoo-milk
gs,miltank,rare,moomoo-milk
gs,blissey,rare,lucky-egg
gs,ho-oh,common,sacred-ash
gs,ho-oh,rare,sacred-ash
gs,celebi,rare,miracleberry
c,butterfree,rare,silver-powder
c,beedrill,rare,poison-barb
c,fearow,rare,sharp-beak
c,pikachu,rare,berry
c,raichu,rare,berry
c,clefairy,common,mysteryberry
c,clefairy,rare,moon-stone
c,clefable,common,mysteryberry
c,clefable,rare,moon-stone
c,vulpix,common,burnt-berry
c,vulpix,rare,burnt-berry
c,ninetales,common,burnt-berry
c,ninetales,rare,burnt-berry
c,paras,common,tiny-mushroom
c,paras,rare,big-mushroom
c,parasect,common,tiny-mushroom
c,parasect,rare,big-mushroom
c,growlithe,common,burnt-berry
c,growlithe,rare,burnt-berry
c,arcanine,common,burnt-berry
c,arcanine,rare,burnt-berry
c,poliwhirl,rare,kings-rock
c,poliwrath,rare,kings-rock
c,geodude,rare,everstone
c,graveler,rare,everstone
c,golem,rare,everstone
c,slowpoke,rare,kings-rock
c,slowbro,rare,kings-rock
c,magnemite,rare,metal-coat
c,magneton,rare,metal-coat
c,farfetchd,rare,leek
c,dodrio,rare,sharp-beak
c,grimer,rare,nugget
c,muk,rare,nugget
c,shellder,common,pearl
c,shellder,rare,big-pearl
c,cloyster,common,pearl
c,cloyster,rare,big-pearl
c,cubone,rare,thick-club
c,marowak,rare,thick-club
c,chansey,rare,lucky-egg
c,horsea,rare,dragon-scale
c,seadra,rare,dragon-scale
c,staryu,common,stardust
c,staryu,rare,star-piece
c,starmie,common,stardust
c,starmie,rare,star-piece
c,mr-mime,rare,mysteryberry
c,jynx,common,ice-berry
c,jynx,rare,ice-berry
c,magmar,common,burnt-berry
c,magmar,rare,burnt-berry
c,snorlax,common,leftovers
c,snorlax,rare,leftovers
c,dratini,rare,dragon-scale
c,dragonair,rare,dragon-scale
c,dragonite,rare,dragon-scale
c,mewtwo,rare,berserk-gene
c,mew,rare,miracleberry
c,sentret,rare,berry
c,furret,common,berry
c,furret,rare,gold-berry
c,pichu,rare,berry
c,cleffa,common,mysteryberry
c,cleffa,rare,moon-stone
c,politoed,rare,kings-rock
c,slowking,rare,kings-rock
c,misdreavus,rare,spell-tag
c,steelix,rare,metal-coat
c,shuckle,common,berry
c,shuckle,rare,berry
c,sneasel,rare,quick-claw
c,kingdra,rare,dragon-scale
c,smoochum,common,ice-berry
c,smoochum,rare,ice-berry
c,magby,common,burnt-berry
c,magby,rare,burnt-berry
c,miltank,common,moomoo-milk
c,miltank,rare,moomoo-milk
c,blissey,rare,lucky-egg
c,ho-oh,common,sacred-ash
c,ho-oh,rare,sacred-ash
c,celebi,rare,miracleberry
rs,butterfree,rare,silver-powder
rs,beedrill,rare,poison-barb
rs,fearow,rare,sharp-beak
rs,pikachu,common,oran-berry
rs,pikachu,rare,light-ball
rs,raichu,rare,oran-berry
rs,sandshrew,rare,quick-claw
rs,sandslash,rare,quick-claw
rs,clefairy,common,leppa-berry
rs,clefairy,rare,moon-stone
rs,clefable,common,leppa-berry
rs,clefable,rare,moon-stone
rs,vulpix,common,rawst-berry
rs,vulpix,rare,rawst-berry
rs,ninetales,common,rawst-berry
rs,ninetales,rare,rawst-berry
rs,paras,common,tiny-mushroom
rs,paras,rare,big-mushroom
rs,parasect,common,tiny-mushroom
rs,parasect,rare,big-mushroom
rs,growlithe,common,rawst-berry
rs,growlithe,rare,rawst-berry
rs,arcanine,common,rawst-berry
rs,arcanine,rare,rawst-berry
rs,poliwhirl,rare,kings-rock
rs,poliwrath,rare,kings-rock
rs,abra,rare,twisted-spoon
rs,kadabra,rare,twisted-spoon
rs,alakazam,rare,twisted-spoon
rs,geodude,rare,everstone
rs,graveler,rare,everstone
rs,golem,rare,everstone
rs,slowpoke,rare,kings-rock
rs,slowbro,rare,kings-rock
rs,magnemite,rare,metal-coat
rs,magneton,rare,metal-coat
rs,farfetchd,rare,leek
rs,doduo,rare,sharp-beak
rs,dodrio,rare,sharp-beak
rs,grimer,rare,nugget
rs,muk,rare,nugget
rs,shellder,common,pearl
rs,shellder,rare,big-pearl
rs,cloyster,common,pearl
rs,cloyster,rare,big-pearl
rs,cubone,rare,thick-club
rs,marowak,rare,thick-club
rs,koffing,rare,smoke-ball
rs,weezing,rare,smoke-ball
rs,chansey,rare,lucky-egg
rs,horsea,rare,dragon-scale
rs,seadra,rare,dragon-scale
rs,staryu,common,stardust
rs,staryu,rare,star-piece
rs,starmie,common,stardust
rs,starmie,rare,star-piece
rs,mr-mime,rare,leppa-berry
rs,jynx,common,aspear-berry
rs,jynx,rare,aspear-berry
rs,magmar,common,rawst-berry
rs,magmar,rare,rawst-berry
rs,ditto,rare,metal-powder
rs,snorlax,common,leftovers
rs,snorlax,rare,leftovers
rs,dratini,rare,dragon-scale
rs,dragonair,rare,dragon-scale
rs,dragonite,rare,dragon-scale
rs,mew,common,lum-berry
rs,mew,rare,lum-berry
rs,sentret,rare,oran-berry
rs,furret,common,oran-berry
rs,furret,rare,sitrus-berry
rs,chinchou,rare,yellow-shard
rs,lanturn,rare,yellow-shard
rs,pichu,rare,oran-berry
rs,cleffa,common,leppa-berry
rs,cleffa,rare,moon-stone
rs,politoed,rare,kings-rock
rs,slowking,rare,kings-rock
rs,misdreavus,rare,spell-tag
rs,girafarig,rare,persim-berry
rs,steelix,rare,metal-coat
rs,shuckle,common,oran-berry
rs,shuckle,rare,oran-berry
rs,sneasel,rare,quick-claw
rs,corsola,rare,red-shard
rs,kingdra,rare,dragon-scale
rs,smoochum,common,aspear-berry
rs,smoochum,rare,aspear-berry
rs,magby,common,rawst-berry
rs,magby,rare,rawst-berry
rs,miltank,common,moomoo-milk
rs,miltank,rare,moomoo-milk
rs,blissey,rare,lucky-egg
rs,ho-oh,common,sacred-ash
rs,ho-oh,rare,sacred-ash
rs,celebi,common,lum-berry
rs,celebi,rare,lum-berry
rs,poochyena,rare,pecha-berry
rs,mightyena,rare,pecha-berry
rs,zigzagoon,rare,oran-berry
rs,linoone,common,oran-berry
rs,linoone,rare,sitrus-berry
rs,beautifly,rare,silver-powder
rs,dustox,rare,silver-powder
rs,masquerain,rare,silver-powder
rs,whismur,rare,chesto-berry
rs,loudred,rare,chesto-berry
rs,exploud,rare,chesto-berry
rs,hariyama,rare,kings-rock
rs,skitty,rare,leppa-berry
rs,delcatty,rare,leppa-berry
rs,aron,rare,hard-stone
rs,lairon,rare,hard-stone
rs,aggron,rare,hard-stone
rs,roselia,rare,poison-barb
rs,gulpin,rare,big-pearl
rs,swalot,rare,big-pearl
rs,numel,common,rawst-berry
rs,numel,rare,rawst-berry
rs,camerupt,common,rawst-berry
rs,camerupt,rare,rawst-berry
rs,spinda,rare,chesto-berry
rs,trapinch,rare,soft-sand
rs,cacnea,rare,poison-barb
rs,cacturne,rare,poison-barb
rs,lunatone,rare,moon-stone
rs,solrock,rare,sun-stone
rs,castform-normal,common,mystic-water
rs,castform-normal,rare,mystic-water
rs,castform-sunny-form,common,mystic-water
rs,castform-sunny-form,rare,mystic-water
rs,castform-rainy-form,common,mystic-water
rs,castform-rainy-form,rare,mystic-water
