id,identifier,category_id,cost,fling_power,fling_effect_id
529,wailmer-pail,21,0,,
530,devon-goods,22,0,,
531,soot-sack,21,0,,
532,pokeblock-case,21,0,,
533,letter,22,0,,
534,eon-ticket,20,0,,
535,scanner,22,0,,
536,go-goggles,21,0,,
537,meteorite,22,0,,
538,rm-1-key,22,0,,
539,rm-2-key,22,0,,
540,rm-4-key,22,0,,
541,rm-6-key,22,0,,
542,devon-scope,21,0,,
543,oaks-parcel,22,0,,
544,poke-flute,22,0,,
545,bike-voucher,22,0,,
546,gold-teeth,22,0,,
547,lift-key,22,0,,
548,silph-scope,22,0,,
549,fame-checker,21,0,,
550,tm-case,21,0,,
551,berry-pouch,21,0,,
552,teachy-tv,21,0,,
553,tri-pass,22,0,,
554,rainbow-pass,22,0,,
555,tea,22,0,,
556,mysticticket,20,0,,
557,auroraticket,20,0,,
558,powder-jar,21,0,,
559,ruby,22,0,,
560,sapphire,22,0,,
561,magma-emblem,22,0,,
562,old-sea-map,20,0,,
563,douse-drive,18,0,70,
564,shock-drive,18,0,70,
565,burn-drive,18,0,70,
566,chill-drive,18,0,70,
567,sweet-heart,27,3000,30,
568,greet-mail,25,50,,
569,favored-mail,25,50,,
570,rsvp-mail,25,50,,
571,thanks-mail,25,50,,
572,inquiry-mail,25,50,,
573,like-mail,25,50,,
574,reply-mail,25,50,,
575,bridge-mail-s,25,50,,
576,bridge-mail-d,25,50,,
577,bridge-mail-t,25,50,,
578,bridge-mail-v,25,50,,
579,bridge-mail-m,25,50,,
580,prism-scale,10,2000,30,
581,eviolite,12,4000,40,
582,float-stone,12,4000,30,
583,rocky-helmet,12,4000,60,
584,air-balloon,12,4000,10,
585,red-card,12,4000,10,
586,ring-target,12,4000,10,
587,binding-band,12,4000,30,
588,absorb-bulb,12,4000,30,
589,cell-battery,12,4000,30,
590,eject-button,12,4000,30,
591,fire-gem,42,200,,
592,water-gem,42,200,,
593,electric-gem,42,200,,
594,grass-gem,42,200,,
595,ice-gem,42,200,,
596,fighting-gem,42,200,,
597,poison-gem,42,200,,
598,ground-gem,42,200,,
599,flying-gem,42,200,,
600,psychic-gem,42,200,,
601,bug-gem,42,200,,
602,rock-gem,42,200,,
603,ghost-gem,42,200,,
604,dark-gem,42,200,,
605,steel-gem,42,200,,
606,health-feather,26,300,20,
607,muscle-feather,26,300,20,
608,resist-feather,26,300,20,
609,genius-feather,26,300,20,
610,clever-feather,26,300,20,
611,swift-feather,26,300,20,
612,pretty-feather,24,1000,20,
613,cover-fossil,35,7000,100,
614,plume-fossil,35,7000,100,
615,liberty-pass,20,0,,
616,pass-orb,12,200,30,
617,dream-ball,33,0,,
618,poke-toy,11,100,30,
619,prop-case,21,0,,
620,dragon-skull,22,0,,
621,balm-mushroom,24,15000,30,
622,big-nugget,24,40000,130,
623,pearl-string,24,20000,30,
624,comet-shard,24,25000,30,
625,relic-copper,24,0,30,
626,relic-silver,24,0,30,
627,relic-gold,24,60000,30,
628,relic-vase,24,0,30,
629,relic-band,24,0,30,
630,relic-statue,24,0,30,
631,relic-crown,24,0,30,
632,casteliacone,30,350,30,
633,dire-hit-2,43,0,,
634,x-speed-2,43,0,,
635,x-sp-atk-2,43,0,,
636,x-sp-def-2,43,0,,
637,x-defense-2,43,0,,
638,x-attack-2,43,0,,
639,x-accuracy-2,43,0,,
640,x-speed-3,43,0,,
641,x-sp-atk-3,43,0,,
642,x-sp-def-3,43,0,,
643,x-defense-3,43,0,,
644,x-attack-3,43,0,,
645,x-accuracy-3,43,0,,
646,x-speed-6,43,0,,
647,x-sp-atk-6,43,0,,
648,x-sp-def-6,43,0,,
649,x-defense-6,43,0,,
650,x-attack-6,43,0,,
651,x-accuracy-6,43,0,,
652,ability-urge,43,0,,
653,item-drop,43,0,,
654,item-urge,43,0,,
655,reset-urge,43,0,,
656,dire-hit-3,43,0,,
657,light-stone,22,0,,
658,dark-stone,22,0,,
659,tm93,37,1000,,
660,tm94,37,10000,,
661,tm95,37,1000,,
662,xtransceiver,21,0,,
663,god-stone,23,0,,
664,gram-1,22,0,,
665,gram-2,22,0,,
666,gram-3,22,0,,
668,dragon-gem,42,200,,
669,normal-gem,42,4000,,
670,medal-box,21,0,,
671,dna-splicers,21,0,,
673,permit,21,0,,
674,oval-charm,21,0,,
675,shiny-charm,21,0,,
676,plasma-card,22,0,,
677,grubby-hanky,22,0,,
678,colress-machine,22,0,,
679,dropped-item,22,0,,
681,reveal-glass,21,0,,
682,weakness-policy,12,1000,80,
683,assault-vest,12,1000,80,
684,pixie-plate,17,1000,90,
685,ability-capsule,26,10000,,
686,whipped-dream,10,2000,80,
687,sachet,10,2000,80,
688,luminous-moss,12,4000,30,
689,snowball,12,4000,30,
690,safety-goggles,12,4000,80,
691,rich-mulch,32,200,30,
692,surprise-mulch,32,200,30,
693,boost-mulch,32,200,30,
694,amaze-mulch,32,200,30,
695,gengarite,44,0,80,
696,gardevoirite,44,0,80,
697,ampharosite,44,0,80,
698,venusaurite,44,0,80,
699,charizardite-x,44,0,80,
700,blastoisinite,44,0,80,
701,mewtwonite-x,44,0,80,
702,mewtwonite-y,44,0,80,
703,blazikenite,44,0,80,
704,medichamite,44,0,80,
705,houndoominite,44,0,80,
706,aggronite,44,0,80,
707,banettite,44,0,80,
708,tyranitarite,44,0,80,
709,scizorite,44,0,80,
710,pinsirite,44,0,80,
711,aerodactylite,44,0,80,
712,lucarionite,44,0,80,
713,abomasite,44,0,80,
714,kangaskhanite,44,0,80,
715,gyaradosite,44,0,80,
716,absolite,44,0,80,
717,charizardite-y,44,0,80,
718,alakazite,44,0,80,
719,heracronite,44,0,80,
720,mawilite,44,0,80,
721,manectite,44,0,80,
722,garchompite,44,0,80,
723,roseli-berry,7,80,10,
724,kee-berry,4,80,10,3
725,maranga-berry,4,80,10,3
726,discount-coupon,24,20,10,
727,strange-souvenir,24,3000,30,
728,lumiose-galette,30,350,30,
729,jaw-fossil,35,7000,100,
730,sail-fossil,35,7000,100,
731,fairy-gem,42,200,,
732,adventure-guide,21,0,,
733,elevator-key,22,0,,
734,holo-caster,21,0,,
735,honor-of-kalos,22,0,,
736,intriguing-stone,22,0,,
737,lens-case,21,0,,
738,looker-ticket,22,0,,
739,mega-ring,21,0,,
740,power-plant-pass,22,0,,
741,profs-letter,22,0,,
742,roller-skates,21,0,,
743,sprinklotad,21,0,,
744,tmv-pass,21,0,,
745,tm96,37,1000,,
746,tm97,37,1000,,
747,tm98,37,1000,,
748,tm99,37,1000,,
749,tm100,37,5000,,
760,latiasite,44,0,80,
761,latiosite,44,0,80,
762,common-stone,23,0,,
763,makeup-bag,21,0,,
764,travel-trunk,23,0,,
765,shalour-sable,30,350,30,
768,mega-charm,23,0,,
769,mega-glove,23,0,,
770,devon-parts,22,0,,
772,pokeblock-kit,21,0,,
773,key-to-room-1,22,0,,
774,key-to-room-2,22,0,,
775,key-to-room-4,22,0,,
776,key-to-room-6,22,0,,
779,devon-scuba-gear,22,0,,
780,contest-costume--jacket,21,0,,
782,magma-suit,22,0,,
783,aqua-suit,22,0,,
784,pair-of-tickets,22,0,,
785,mega-bracelet,21,0,,
786,mega-pendant,23,0,,
787,mega-glasses,23,0,,
788,mega-anchor,23,0,,
789,mega-stickpin,23,0,,
790,mega-tiara,23,0,,
791,mega-anklet,23,0,,
793,swampertite,44,0,80,
794,sceptilite,44,0,80,
795,sablenite,44,0,80,
796,altarianite,44,0,80,
797,galladite,44,0,80,
798,audinite,44,0,80,
799,metagrossite,44,0,80,
800,sharpedonite,44,0,80,
801,slowbronite,44,0,80,
802,steelixite,44,0,80,
803,pidgeotite,44,0,80,
804,glalitite,44,0,80,
805,diancite,44,0,80,
806,prison-bottle,21,0,,
807,mega-cuff,23,0,,
808,cameruptite,44,0,80,
809,lopunnite,44,0,80,
810,salamencite,44,0,80,
811,beedrillite,44,0,80,
814,key-stone,21,0,,
815,meteorite-shard,22,0,,
816,eon-flute,21,0,,
817,normalium-z--held,46,0,,
818,firium-z--held,46,0,,
819,waterium-z--held,46,0,,
820,electrium-z--held,46,0,,
821,grassium-z--held,46,0,,
822,icium-z--held,46,0,,
823,fightinium-z--held,46,0,,
824,poisonium-z--held,46,0,,
825,groundium-z--held,46,0,,
826,flyinium-z--held,46,0,,
827,psychium-z--held,46,0,,
828,buginium-z--held,46,0,,
829,rockium-z--held,46,0,,
830,ghostium-z--held,46,0,,
831,dragonium-z--held,46,0,,
832,darkinium-z--held,46,0,,
833,steelium-z--held,46,0,,
834,fairium-z--held,46,0,,
835,pikanium-z--held,46,0,,
836,bottle-cap,24,5000,30,
837,gold-bottle-cap,24,10000,30,
838,z-ring,21,0,,
839,decidium-z--held,46,0,,
840,incinium-z--held,46,0,,
841,primarium-z--held,46,0,,
842,tapunium-z--held,46,0,,
843,marshadium-z--held,46,0,,
844,aloraichium-z--held,46,0,,
845,snorlium-z--held,46,0,,
846,eevium-z--held,46,0,,
847,mewnium-z--held,46,0,,
877,pikashunium-z--held,46,0,,
878,forage-bag,21,0,,
879,fishing-rod,21,0,,
880,professors-mask,22,0,,
881,festival-ticket,21,10,,
882,sparkling-stone,22,0,,
883,adrenaline-orb,12,4000,30,
884,zygarde-cube,21,0,,
885,ice-stone,10,3000,30,
886,ride-pager,23,0,,
887,beast-ball,33,0,,
888,big-malasada,30,350,30,
889,red-nectar,18,300,10,
890,yellow-nectar,18,300,10,
891,pink-nectar,18,300,10,
892,purple-nectar,18,300,10,
893,sun-flute,22,0,,
894,moon-flute,22,0,,
895,enigmatic-card,22,0,,
896,terrain-extender,12,4000,60,
897,protective-pads,12,4000,30,
898,electric-seed,12,4000,10,
899,psychic-seed,12,4000,10,
900,misty-seed,12,4000,10,
901,grassy-seed,12,4000,10,
902,fighting-memory,45,1000,50,
903,flying-memory,45,1000,50,
904,poison-memory,45,1000,50,
905,ground-memory,45,1000,50,
906,rock-memory,45,1000,50,
907,bug-memory,45,1000,50,
908,ghost-memory,45,1000,50,
909,steel-memory,45,1000,50,
910,fire-memory,45,1000,50,
911,water-memory,45,1000,50,
912,grass-memory,45,1000,50,
913,electric-memory,45,1000,50,
914,psychic-memory,45,1000,50,
915,ice-memory,45,1000,50,
916,dragon-memory,45,1000,50,
917,dark-memory,45,1000,50,
918,fairy-memory,45,1000,50,
919,bike--green,23,0,,
920,storage-key--galactic-warehouse,23,0,,
921,basement-key--goldenrod,23,0,,
922,xtranceiver--red,23,0,,
923,xtranceiver--yellow,23,0,,
924,dna-splicers--merge,23,0,,
925,dna-splicers--split,23,0,,
926,dropped-item--red,23,0,,
927,dropped-item--yellow,23,0,,
928,holo-caster--green,23,0,,
929,bike--yellow,23,0,,
930,holo-caster--red,23,0,,
931,basement-key--new-mauville,23,0,,
932,storage-key--sea-mauville,23,0,,
933,ss-ticket--hoenn,23,0,,
934,contest-costume--dress,23,0,,
935,meteorite--2,23,0,,
936,meteorite--3,23,0,,
937,meteorite--4,23,0,,
938,normalium-z--bag,23,0,,
939,firium-z--bag,23,0,,
940,waterium-z--bag,23,0,,
941,electrium-z--bag,23,0,,
942,grassium-z--bag,23,0,,
943,icium-z--bag,23,0,,
944,fightinium-z--bag,23,0,,
945,poisonium-z--bag,23,0,,
946,groundium-z--bag,23,0,,
947,flyinium-z--bag,23,0,,
948,psychium-z--bag,23,0,,
949,buginium-z--bag,23,0,,
950,rockium-z--bag,23,0,,
951,ghostium-z--bag,23,0,,
952,dragonium-z--bag,23,0,,
953,darkinium-z--bag,23,0,,
954,steelium-z--bag,23,0,,
955,fairium-z--bag,23,0,,
956,pikanium-z--bag,23,0,,
957,decidium-z--bag,23,0,,
958,incinium-z--bag,23,0,,
959,primarium-z--bag,23,0,,
960,tapunium-z--bag,23,0,,
961,marshadium-z--bag,23,0,,
962,aloraichium-z--bag,23,0,,
963,snorlium-z--bag,23,0,,
964,eevium-z--bag,23,0,,
965,mewnium-z--bag,23,0,,
966,pikashunium-z--bag,23,0,,
967,solganium-z--held,23,0,,
968,lunalium-z--held,23,0,,
969,ultranecrozium-z--held,23,0,,
970,mimikium-z--held,23,0,,
971,lycanium-z--held,23,0,,
972,kommonium-z--held,23,0,,
973,solganium-z--bag,23,0,,
974,lunalium-z--bag,23,0,,
