pokemon_species_identifier,language,name
arbok,es,Arbok
arbok,ko,아보크
arbok,zh-simp,阿柏怪
arbok,zh-trad,阿柏怪
pikachu,jp-kana,ピカチュウ
pikachu,jp-kanji,ピカチュウ
pikachu,en,Pikachu
pikachu,fr,Pikachu
pikachu,it,Pikachu
pikachu,de,Pikachu
pikachu,es,Pikachu
pikachu,ko,피카츄
pikachu,zh-simp,皮卡丘
pikachu,zh-trad,皮卡丘
raichu,jp-kana,ライチュウ
raichu,jp-kanji,ライチュウ
raichu,en,Raichu
raichu,fr,Raichu
raichu,it,Raichu
raichu,de,Raichu
raichu,es,Raichu
raichu,ko,라이츄
raichu,zh-simp,雷丘
raichu,zh-trad,雷丘
sandshrew,jp-kana,サンド
sandshrew,jp-kanji,サンド
sandshrew,en,Sandshrew
sandshrew,fr,Sabelette
sandshrew,it,Sandshrew
sandshrew,de,Sandan
sandshrew,es,Sandshrew
sandshrew,ko,모래두지
sandshrew,zh-simp,穿山鼠
sandshrew,zh-trad,穿山鼠
sandslash,jp-kana,サンドパン
sandslash,jp-kanji,サンドパン
sandslash,en,Sandslash
sandslash,fr,Sablaireau
sandslash,it,Sandslash
sandslash,de,Sandamer
sandslash,es,Sandslash
sandslash,ko,고지
sandslash,zh-simp,穿山王
sandslash,zh-trad,穿山王
nidoran-f,jp-kana,ニドラン♀
nidoran-f,jp-kanji,ニドラン♀
nidoran-f,en,Nidoran♀
nidoran-f,fr,Nidoran♀
nidoran-f,it,Nidoran♀
nidoran-f,de,Nidoran♀
nidoran-f,es,Nidoran♀
nidoran-f,ko,니드런♀
nidoran-f,zh-simp,尼多兰
nidoran-f,zh-trad,尼多蘭
nidorina,jp-kana,ニドリーナ
nidorina,jp-kanji,ニドリーナ
nidorina,en,Nidorina
nidorina,fr,Nidorina
nidorina,it,Nidorina
nidorina,de,Nidorina
nidorina,es,Nidorina
nidorina,ko,니드리나
nidorina,zh-simp,尼多娜
nidorina,zh-trad,尼多娜
nidoqueen,jp-kana,ニドクイン
nidoqueen,jp-kanji,ニドクイン
nidoqueen,en,Nidoqueen
nidoqueen,fr,Nidoqueen
nidoqueen,it,Nidoqueen
nidoqueen,de,Nidoqueen
nidoqueen,es,Nidoqueen
nidoqueen,ko,니드퀸
nidoqueen,zh-simp,尼多后
nidoqueen,zh-trad,尼多后
nidoran-m,jp-kana,ニドラン♂
nidoran-m,jp-kanji,ニドラン♂
nidoran-m,en,Nidoran♂
nidoran-m,fr,Nidoran♂
nidoran-m,it,Nidoran♂
nidoran-m,de,Nidoran♂
nidoran-m,es,Nidoran♂
nidoran-m,ko,니드런♂
nidoran-m,zh-simp,尼多朗
nidoran-m,zh-trad,尼多朗
nidorino,jp-kana,ニドリーノ
nidorino,jp-kanji,ニドリーノ
nidorino,en,Nidorino
nidorino,fr,Nidorino
nidorino,it,Nidorino
nidorino,de,Nidorino
nidorino,es,Nidorino
nidorino,ko,니드리노
nidorino,zh-simp,尼多力诺
nidorino,zh-trad,尼多力諾
nidoking,jp-kana,ニドキング
nidoking,jp-kanji,ニドキング
nidoking,en,Nidoking
nidoking,fr,Nidoking
nidoking,it,Nidoking
nidoking,de,Nidoking
nidoking,es,Nidoking
nidoking,ko,니드킹
nidoking,zh-simp,尼多王
nidoking,zh-trad,尼多王
clefairy,jp-kana,ピッピ
clefairy,jp-kanji,ピッピ
clefairy,en,Clefairy
clefairy,fr,Mélofée
clefairy,it,Clefairy
clefairy,de,Piepi
clefairy,es,Clefairy
clefairy,ko,삐삐
clefairy,zh-simp,皮皮
clefairy,zh-trad,皮皮
clefable,jp-kana,ピクシー
clefable,jp-kanji,ピクシー
clefable,en,Clefable
clefable,fr,Mélodelfe
clefable,it,Clefable
clefable,de,Pixi
clefable,es,Clefable
clefable,ko,픽시
clefable,zh-simp,皮可西
clefable,zh-trad,皮可西
vulpix,jp-kana,ロコン
vulpix,jp-kanji,ロコン
vulpix,en,Vulpix
vulpix,fr,Goupix
vulpix,it,Vulpix
vulpix,de,Vulpix
vulpix,es,Vulpix
vulpix,ko,식스테일
vulpix,zh-simp,六尾
vulpix,zh-trad,六尾
ninetales,jp-kana,キュウコン
ninetales,jp-kanji,キュウコン
ninetales,en,Ninetales
ninetales,fr,Feunard
ninetales,it,Ninetales
ninetales,de,Vulnona
ninetales,es,Ninetales
ninetales,ko,나인테일
ninetales,zh-simp,九尾
ninetales,zh-trad,九尾
jigglypuff,jp-kana,プリン
jigglypuff,jp-kanji,プリン
jigglypuff,en,Jigglypuff
jigglypuff,fr,Rondoudou
jigglypuff,it,Jigglypuff
jigglypuff,de,Pummeluff
jigglypuff,es,Jigglypuff
jigglypuff,ko,푸린
jigglypuff,zh-simp,胖丁
jigglypuff,zh-trad,胖丁
wigglytuff,jp-kana,プクリン
wigglytuff,jp-kanji,プクリン
wigglytuff,en,Wigglytuff
wigglytuff,fr,Grodoudou
wigglytuff,it,Wigglytuff
wigglytuff,de,Knuddeluff
wigglytuff,es,Wigglytuff
wigglytuff,ko,푸크린
wigglytuff,zh-simp,胖可丁
wigglytuff,zh-trad,胖可丁
zubat,jp-kana,ズバット
zubat,jp-kanji,ズバット
zubat,en,Zubat
zubat,fr,Nosferapti
zubat,it,Zubat
zubat,de,Zubat
zubat,es,Zubat
zubat,ko,주뱃
zubat,zh-simp,超音蝠
zubat,zh-trad,超音蝠
golbat,jp-kana,ゴルバット
golbat,jp-kanji,ゴルバット
golbat,en,Golbat
golbat,fr,Nosferalto
golbat,it,Golbat
golbat,de,Golbat
golbat,es,Golbat
golbat,ko,골뱃
golbat,zh-simp,大嘴蝠
golbat,zh-trad,大嘴蝠
oddish,jp-kana,ナゾノクサ
oddish,jp-kanji,ナゾノクサ
oddish,en,Oddish
oddish,fr,Mystherbe
oddish,it,Oddish
oddish,de,Myrapla
oddish,es,Oddish
oddish,ko,뚜벅쵸
oddish,zh-simp,走路草
oddish,zh-trad,走路草
gloom,jp-kana,クサイハナ
gloom,jp-kanji,クサイハナ
gloom,en,Gloom
gloom,fr,Ortide
gloom,it,Gloom
gloom,de,Duflor
gloom,es,Gloom
gloom,ko,냄새꼬
gloom,zh-simp,臭臭花
gloom,zh-trad,臭臭花
vileplume,jp-kana,ラフレシア
vileplume,jp-kanji,ラフレシア
vileplume,en,Vileplume
vileplume,fr,Rafflesia
vileplume,it,Vileplume
vileplume,de,Giflor
vileplume,es,Vileplume
vileplume,ko,라플레시아
vileplume,zh-simp,霸王花
vileplume,zh-trad,霸王花
paras,jp-kana,パラス
paras,jp-kanji,パラス
paras,en,Paras
paras,fr,Paras
paras,it,Paras
paras,de,Paras
paras,es,Paras
paras,ko,파라스
paras,zh-simp,派拉斯
paras,zh-trad,派拉斯
parasect,jp-kana,パラセクト
parasect,jp-kanji,パラセクト
parasect,en,Parasect
parasect,fr,Parasect
parasect,it,Parasect
parasect,de,Parasek
parasect,es,Parasect
parasect,ko,파라섹트
parasect,zh-simp,派拉斯特
parasect,zh-trad,派拉斯特
venonat,jp-kana,コンパン
venonat,jp-kanji,コンパン
venonat,en,Venonat
venonat,fr,Mimitoss
venonat,it,Venonat
venonat,de,Bluzuk
venonat,es,Venonat
venonat,ko,콘팡
venonat,zh-simp,毛球
venonat,zh-trad,毛球
venomoth,jp-kana,モルフォン
venomoth,jp-kanji,モルフォン
venomoth,en,Venomoth
venomoth,fr,Aéromite
venomoth,it,Venomoth
venomoth,de,Omot
venomoth,es,Venomoth
venomoth,ko,도나리
venomoth,zh-simp,摩鲁蛾
venomoth,zh-trad,摩魯蛾
diglett,jp-kana,ディグダ
diglett,jp-kanji,ディグダ
diglett,en,Diglett
diglett,fr,Taupiqueur
diglett,it,Diglett
diglett,de,Digda
diglett,es,Diglett
diglett,ko,디그다
diglett,zh-simp,地鼠
diglett,zh-trad,地鼠
dugtrio,jp-kana,ダグトリオ
dugtrio,jp-kanji,ダグトリオ
dugtrio,en,Dugtrio
dugtrio,fr,Triopikeur
dugtrio,it,Dugtrio
dugtrio,de,Digdri
dugtrio,es,Dugtrio
dugtrio,ko,닥트리오
dugtrio,zh-simp,三地鼠
dugtrio,zh-trad,三地鼠
meowth,jp-kana,ニャース
meowth,jp-kanji,ニャース
meowth,en,Meowth
meowth,fr,Miaouss
meowth,it,Meowth
meowth,de,Mauzi
meowth,es,Meowth
meowth,ko,나옹
meowth,zh-simp,喵喵
meowth,zh-trad,喵喵
persian,jp-kana,ペルシアン
persian,jp-kanji,ペルシアン
persian,en,Persian
persian,fr,Persian
persian,it,Persian
persian,de,Snobilikat
persian,es,Persian
persian,ko,페르시온
persian,zh-simp,猫老大
persian,zh-trad,貓老大
psyduck,jp-kana,コダック
psyduck,jp-kanji,コダック
psyduck,en,Psyduck
psyduck,fr,Psykokwak
psyduck,it,Psyduck
psyduck,de,Enton
psyduck,es,Psyduck
psyduck,ko,고라파덕
psyduck,zh-simp,可达鸭
psyduck,zh-trad,可達鴨
golduck,jp-kana,ゴルダック
golduck,jp-kanji,ゴルダック
golduck,en,Golduck
golduck,fr,Akwakwak
golduck,it,Golduck
golduck,de,Entoron
golduck,es,Golduck
golduck,ko,골덕
golduck,zh-simp,哥达鸭
golduck,zh-trad,哥達鴨
mankey,jp-kana,マンキー
mankey,jp-kanji,マンキー
mankey,en,Mankey
mankey,fr,Férosinge
mankey,it,Mankey
mankey,de,Menki
mankey,es,Mankey
mankey,ko,망키
mankey,zh-simp,猴怪
mankey,zh-trad,猴怪
primeape,jp-kana,オコリザル
primeape,jp-kanji,オコリザル
primeape,en,Primeape
primeape,fr,Colossinge
primeape,it,Primeape
primeape,de,Rasaff
primeape,es,Primeape
primeape,ko,성원숭
primeape,zh-simp,火暴猴
primeape,zh-trad,火爆猴
growlithe,jp-kana,ガーディ
growlithe,jp-kanji,ガーディ
growlithe,en,Growlithe
growlithe,fr,Caninos
growlithe,it,Growlithe
growlithe,de,Fukano
growlithe,es,Growlithe
growlithe,ko,가디
growlithe,zh-simp,卡蒂狗
growlithe,zh-trad,卡蒂狗
arcanine,jp-kana,ウインディ
arcanine,jp-kanji,ウインディ
arcanine,en,Arcanine
arcanine,fr,Arcanin
arcanine,it,Arcanine
arcanine,de,Arkani
arcanine,es,Arcanine
arcanine,ko,윈디
arcanine,zh-simp,风速狗
arcanine,zh-trad,風速狗
poliwag,jp-kana,ニョロモ
poliwag,jp-kanji,ニョロモ
poliwag,en,Poliwag
poliwag,fr,Ptitard
poliwag,it,Poliwag
poliwag,de,Quapsel
poliwag,es,Poliwag
poliwag,ko,발챙이
poliwag,zh-simp,蚊香蝌蚪
poliwag,zh-trad,蚊香蝌蚪
poliwhirl,jp-kana,ニョロゾ
poliwhirl,jp-kanji,ニョロゾ
poliwhirl,en,Poliwhirl
poliwhirl,fr,Têtarte
poliwhirl,it,Poliwhirl
poliwhirl,de,Quaputzi
poliwhirl,es,Poliwhirl
poliwhirl,ko,슈륙챙이
poliwhirl,zh-simp,蚊香君
poliwhirl,zh-trad,蚊香君
poliwrath,jp-kana,ニョロボン
poliwrath,jp-kanji,ニョロボン
poliwrath,en,Poliwrath
poliwrath,fr,Tartard
poliwrath,it,Poliwrath
poliwrath,de,Quappo
poliwrath,es,Poliwrath
poliwrath,ko,강챙이
poliwrath,zh-simp,蚊香泳士
poliwrath,zh-trad,蚊香泳士
abra,jp-kana,ケーシィ
abra,jp-kanji,ケーシィ
abra,en,Abra
abra,fr,Abra
abra,it,Abra
abra,de,Abra
abra,es,Abra
abra,ko,캐이시
abra,zh-simp,凯西
abra,zh-trad,凱西
kadabra,jp-kana,ユンゲラー
kadabra,jp-kanji,ユンゲラー
kadabra,en,Kadabra
kadabra,fr,Kadabra
kadabra,it,Kadabra
kadabra,de,Kadabra
kadabra,es,Kadabra
kadabra,ko,윤겔라
kadabra,zh-simp,勇基拉
kadabra,zh-trad,勇基拉
alakazam,jp-kana,フーディン
alakazam,jp-kanji,フーディン
alakazam,en,Alakazam
alakazam,fr,Alakazam
alakazam,it,Alakazam
alakazam,de,Simsala
alakazam,es,Alakazam
alakazam,ko,후딘
alakazam,zh-simp,胡地
alakazam,zh-trad,胡地
machop,jp-kana,ワンリキー
machop,jp-kanji,ワンリキー
machop,en,Machop
machop,fr,Machoc
machop,it,Machop
machop,de,Machollo
machop,es,Machop
machop,ko,알통몬
machop,zh-simp,腕力
machop,zh-trad,腕力
machoke,jp-kana,ゴーリキー
machoke,jp-kanji,ゴーリキー
machoke,en,Machoke
machoke,fr,Machopeur
machoke,it,Machoke
machoke,de,Maschock
machoke,es,Machoke
machoke,ko,근육몬
machoke,zh-simp,豪力
machoke,zh-trad,豪力
machamp,jp-kana,カイリキー
machamp,jp-kanji,カイリキー
machamp,en,Machamp
machamp,fr,Mackogneur
machamp,it,Machamp
machamp,de,Machomei
machamp,es,Machamp
machamp,ko,괴력몬
machamp,zh-simp,怪力
machamp,zh-trad,怪力
bellsprout,jp-kana,マダツボミ
bellsprout,jp-kanji,マダツボミ
bellsprout,en,Bellsprout
bellsprout,fr,Chétiflor
bellsprout,it,Bellsprout
bellsprout,de,Knofensa
bellsprout,es,Bellsprout
bellsprout,ko,모다피
bellsprout,zh-simp,喇叭芽
bellsprout,zh-trad,喇叭芽
weepinbell,jp-kana,ウツドン
weepinbell,jp-kanji,ウツドン
weepinbell,en,Weepinbell
weepinbell,fr,Boustiflor
weepinbell,it,Weepinbell
weepinbell,de,Ultrigaria
weepinbell,es,Weepinbell
weepinbell,ko,우츠동
weepinbell,zh-simp,口呆花
weepinbell,zh-trad,口呆花
victreebel,jp-kana,ウツボット
victreebel,jp-kanji,ウツボット
victreebel,en,Victreebel
victreebel,fr,Empiflor
victreebel,it,Victreebel
victreebel,de,Sarzenia
victreebel,es,Victreebel
victreebel,ko,우츠보트
victreebel,zh-simp,大食花
victreebel,zh-trad,大食花
tentacool,jp-kana,メノクラゲ
tentacool,jp-kanji,メノクラゲ
tentacool,en,Tentacool
tentacool,fr,Tentacool
tentacool,it,Tentacool
tentacool,de,Tentacha
tentacool,es,Tentacool
tentacool,ko,왕눈해
tentacool,zh-simp,玛瑙水母
tentacool,zh-trad,瑪瑙水母
tentacruel,jp-kana,ドククラゲ
tentacruel,jp-kanji,ドククラゲ
tentacruel,en,Tentacruel
tentacruel,fr,Tentacruel
tentacruel,it,Tentacruel
tentacruel,de,Tentoxa
tentacruel,es,Tentacruel
tentacruel,ko,독파리
tentacruel,zh-simp,毒刺水母
tentacruel,zh-trad,毒刺水母
geodude,jp-kana,イシツブテ
geodude,jp-kanji,イシツブテ
geodude,en,Geodude
geodude,fr,Racaillou
geodude,it,Geodude
geodude,de,Kleinstein
geodude,es,Geodude
geodude,ko,꼬마돌
geodude,zh-simp,小拳石
geodude,zh-trad,小拳石
graveler,jp-kana,ゴローン
graveler,jp-kanji,ゴローン
graveler,en,Graveler
graveler,fr,Gravalanch
graveler,it,Graveler
graveler,de,Georok
graveler,es,Graveler
graveler,ko,데구리
graveler,zh-simp,隆隆石
graveler,zh-trad,隆隆石
golem,jp-kana,ゴローニャ
golem,jp-kanji,ゴローニャ
golem,en,Golem
golem,fr,Grolem
golem,it,Golem
golem,de,Geowaz
golem,es,Golem
golem,ko,딱구리
golem,zh-simp,隆隆岩
golem,zh-trad,隆隆岩
ponyta,jp-kana,ポニータ
ponyta,jp-kanji,ポニータ
ponyta,en,Ponyta
ponyta,fr,Ponyta
ponyta,it,Ponyta
ponyta,de,Ponita
ponyta,es,Ponyta
ponyta,ko,포니타
ponyta,zh-simp,小火马
ponyta,zh-trad,小火馬
rapidash,jp-kana,ギャロップ
rapidash,jp-kanji,ギャロップ
rapidash,en,Rapidash
rapidash,fr,Galopa
rapidash,it,Rapidash
rapidash,de,Gallopa
rapidash,es,Rapidash
rapidash,ko,날쌩마
rapidash,zh-simp,烈焰马
rapidash,zh-trad,烈焰馬
slowpoke,jp-kana,ヤドン
slowpoke,jp-kanji,ヤドン
slowpoke,en,Slowpoke
slowpoke,fr,Ramoloss
slowpoke,it,Slowpoke
slowpoke,de,Flegmon
slowpoke,es,Slowpoke
slowpoke,ko,야돈
slowpoke,zh-simp,呆呆兽
slowpoke,zh-trad,呆呆獸
slowbro,jp-kana,ヤドラン
slowbro,jp-kanji,ヤドラン
slowbro,en,Slowbro
slowbro,fr,Flagadoss
slowbro,it,Slowbro
slowbro,de,Lahmus
slowbro,es,Slowbro
slowbro,ko,야도란
slowbro,zh-simp,呆壳兽
slowbro,zh-trad,呆殼獸
magnemite,jp-kana,コイル
magnemite,jp-kanji,コイル
magnemite,en,Magnemite
magnemite,fr,Magnéti
magnemite,it,Magnemite
magnemite,de,Magnetilo
magnemite,es,Magnemite
magnemite,ko,코일
magnemite,zh-simp,小磁怪
magnemite,zh-trad,小磁怪
magneton,jp-kana,レアコイル
magneton,jp-kanji,レアコイル
magneton,en,Magneton
magneton,fr,Magnéton
magneton,it,Magneton
magneton,de,Magneton
magneton,es,Magneton
magneton,ko,레어코일
magneton,zh-simp,三合一磁怪
magneton,zh-trad,三合一磁怪
farfetchd,jp-kana,カモネギ
farfetchd,jp-kanji,カモネギ
farfetchd,en,Farfetch’d
farfetchd,fr,Canarticho
farfetchd,it,Farfetch’d
farfetchd,de,Porenta
farfetchd,es,Farfetch’d
farfetchd,ko,파오리
farfetchd,zh-simp,大葱鸭
farfetchd,zh-trad,大蔥鴨
doduo,jp-kana,ドードー
doduo,jp-kanji,ドードー
doduo,en,Doduo
doduo,fr,Doduo
doduo,it,Doduo
doduo,de,Dodu
doduo,es,Doduo
doduo,ko,두두
doduo,zh-simp,嘟嘟
doduo,zh-trad,嘟嘟
dodrio,jp-kana,ドードリオ
dodrio,jp-kanji,ドードリオ
dodrio,en,Dodrio
dodrio,fr,Dodrio
dodrio,it,Dodrio
dodrio,de,Dodri
dodrio,es,Dodrio
dodrio,ko,두트리오
dodrio,zh-simp,嘟嘟利
dodrio,zh-trad,嘟嘟利
seel,jp-kana,パウワウ
seel,jp-kanji,パウワウ
seel,en,Seel
seel,fr,Otaria
seel,it,Seel
seel,de,Jurob
seel,es,Seel
seel,ko,쥬쥬
seel,zh-simp,小海狮
seel,zh-trad,小海獅
dewgong,jp-kana,ジュゴン
dewgong,jp-kanji,ジュゴン
dewgong,en,Dewgong
dewgong,fr,Lamantine
dewgong,it,Dewgong
dewgong,de,Jugong
dewgong,es,Dewgong
dewgong,ko,쥬레곤
dewgong,zh-simp,白海狮
dewgong,zh-trad,白海獅
grimer,jp-kana,ベトベター
grimer,jp-kanji,ベトベター
grimer,en,Grimer
grimer,fr,Tadmorv
grimer,it,Grimer
grimer,de,Sleima
grimer,es,Grimer
grimer,ko,질퍽이
grimer,zh-simp,臭泥
grimer,zh-trad,臭泥
muk,jp-kana,ベトベトン
muk,jp-kanji,ベトベトン
muk,en,Muk
muk,fr,Grotadmorv
muk,it,Muk
muk,de,Sleimok
muk,es,Muk
muk,ko,질뻐기
muk,zh-simp,臭臭泥
muk,zh-trad,臭臭泥
shellder,jp-kana,シェルダー
shellder,jp-kanji,シェルダー
shellder,en,Shellder
shellder,fr,Kokiyas
shellder,it,Shellder
shellder,de,Muschas
shellder,es,Shellder
shellder,ko,셀러
shellder,zh-simp,大舌贝
shellder,zh-trad,大舌貝
cloyster,jp-kana,パルシェン
cloyster,jp-kanji,パルシェン
cloyster,en,Cloyster
cloyster,fr,Crustabri
cloyster,it,Cloyster
cloyster,de,Austos
cloyster,es,Cloyster
cloyster,ko,파르셀
cloyster,zh-simp,刺甲贝
cloyster,zh-trad,刺甲貝
gastly,jp-kana,ゴース
gastly,jp-kanji,ゴース
gastly,en,Gastly
gastly,fr,Fantominus
gastly,it,Gastly
gastly,de,Nebulak
gastly,es,Gastly
gastly,ko,고오스
gastly,zh-simp,鬼斯
gastly,zh-trad,鬼斯
haunter,jp-kana,ゴースト
haunter,jp-kanji,ゴースト
haunter,en,Haunter
haunter,fr,Spectrum
haunter,it,Haunter
haunter,de,Alpollo
haunter,es,Haunter
haunter,ko,고우스트
haunter,zh-simp,鬼斯通
haunter,zh-trad,鬼斯通
gengar,jp-kana,ゲンガー
gengar,jp-kanji,ゲンガー
gengar,en,Gengar
gengar,fr,Ectoplasma
gengar,it,Gengar
gengar,de,Gengar
gengar,es,Gengar
gengar,ko,팬텀
gengar,zh-simp,耿鬼
gengar,zh-trad,耿鬼
onix,jp-kana,イワーク
onix,jp-kanji,イワーク
onix,en,Onix
onix,fr,Onix
onix,it,Onix
onix,de,Onix
onix,es,Onix
onix,ko,롱스톤
onix,zh-simp,大岩蛇
onix,zh-trad,大岩蛇
drowzee,jp-kana,スリープ
drowzee,jp-kanji,スリープ
drowzee,en,Drowzee
drowzee,fr,Soporifik
drowzee,it,Drowzee
drowzee,de,Traumato
drowzee,es,Drowzee
drowzee,ko,슬리프
drowzee,zh-simp,催眠貘
drowzee,zh-trad,催眠貘
