pokemon_identifier,stat_identifier,value
tentacruel,speed,100
geodude,hp,40
geodude,attack,80
geodude,defense,100
geodude,sp-atk,30
geodude,sp-def,30
geodude,speed,20
geodude-alolan-form,hp,40
geodude-alolan-form,attack,80
geodude-alolan-form,defense,100
geodude-alolan-form,sp-atk,30
geodude-alolan-form,sp-def,30
geodude-alolan-form,speed,20
graveler,hp,55
graveler,attack,95
graveler,defense,115
graveler,sp-atk,45
graveler,sp-def,45
graveler,speed,35
graveler-alolan-form,hp,55
graveler-alolan-form,attack,95
graveler-alolan-form,defense,115
graveler-alolan-form,sp-atk,45
graveler-alolan-form,sp-def,45
graveler-alolan-form,speed,35
golem,hp,80
golem,attack,120
golem,defense,130
golem,sp-atk,55
golem,sp-def,65
golem,speed,45
golem-alolan-form,hp,80
golem-alolan-form,attack,120
golem-alolan-form,defense,130
golem-alolan-form,sp-atk,55
golem-alolan-form,sp-def,65
golem-alolan-form,speed,45
ponyta,hp,50
ponyta,attack,85
ponyta,defense,55
ponyta,sp-atk,65
ponyta,sp-def,65
ponyta,speed,90
ponyta-galarian-form,hp,50
ponyta-galarian-form,attack,85
ponyta-galarian-form,defense,55
ponyta-galarian-form,sp-atk,65
ponyta-galarian-form,sp-def,65
ponyta-galarian-form,speed,90
rapidash,hp,65
rapidash,attack,100
rapidash,defense,70
rapidash,sp-atk,80
rapidash,sp-def,80
rapidash,speed,105
rapidash-galarian-form,hp,65
rapidash-galarian-form,attack,100
rapidash-galarian-form,defense,70
rapidash-galarian-form,sp-atk,80
rapidash-galarian-form,sp-def,80
rapidash-galarian-form,speed,105
slowpoke,hp,90
slowpoke,attack,65
slowpoke,defense,65
slowpoke,sp-atk,40
slowpoke,sp-def,40
slowpoke,speed,15
slowpoke-galarian-form,hp,90
slowpoke-galarian-form,attack,65
slowpoke-galarian-form,defense,65
slowpoke-galarian-form,sp-atk,40
slowpoke-galarian-form,sp-def,40
slowpoke-galarian-form,speed,15
slowbro,hp,95
slowbro,attack,75
slowbro,defense,110
slowbro,sp-atk,100
slowbro,sp-def,80
slowbro,speed,30
slowbro-mega,hp,95
slowbro-mega,attack,75
slowbro-mega,defense,180
slowbro-mega,sp-atk,130
slowbro-mega,sp-def,80
slowbro-mega,speed,30
slowbro-galarian-form,hp,95
slowbro-galarian-form,attack,100
slowbro-galarian-form,defense,95
slowbro-galarian-form,sp-atk,100
slowbro-galarian-form,sp-def,70
slowbro-galarian-form,speed,30
magnemite,hp,25
magnemite,attack,35
magnemite,defense,70
magnemite,sp-atk,95
magnemite,sp-def,55
magnemite,speed,45
magneton,hp,50
magneton,attack,60
magneton,defense,95
magneton,sp-atk,120
magneton,sp-def,70
magneton,speed,70
farfetchd,hp,52
farfetchd,attack,90
farfetchd,defense,55
farfetchd,sp-atk,58
farfetchd,sp-def,62
farfetchd,speed,60
farfetchd-galarian-form,hp,52
farfetchd-galarian-form,attack,95
farfetchd-galarian-form,defense,55
farfetchd-galarian-form,sp-atk,58
farfetchd-galarian-form,sp-def,62
farfetchd-galarian-form,speed,55
doduo,hp,35
doduo,attack,85
doduo,defense,45
doduo,sp-atk,35
doduo,sp-def,35
doduo,speed,75
dodrio,hp,60
dodrio,attack,110
dodrio,defense,70
dodrio,sp-atk,60
dodrio,sp-def,60
dodrio,speed,110
seel,hp,65
seel,attack,45
seel,defense,55
seel,sp-atk,45
seel,sp-def,70
seel,speed,45
dewgong,hp,90
dewgong,attack,70
dewgong,defense,80
dewgong,sp-atk,70
dewgong,sp-def,95
dewgong,speed,70
grimer,hp,80
grimer,attack,80
grimer,defense,50
grimer,sp-atk,40
grimer,sp-def,50
grimer,speed,25
grimer-alolan-form,hp,80
grimer-alolan-form,attack,80
grimer-alolan-form,defense,50
grimer-alolan-form,sp-atk,40
grimer-alolan-form,sp-def,50
grimer-alolan-form,speed,25
muk,hp,105
muk,attack,105
muk,defense,75
muk,sp-atk,65
muk,sp-def,100
muk,speed,50
muk-alolan-form,hp,105
muk-alolan-form,attack,105
muk-alolan-form,defense,75
muk-alolan-form,sp-atk,65
muk-alolan-form,sp-def,100
muk-alolan-form,speed,50
shellder,hp,30
shellder,attack,65
shellder,defense,100
shellder,sp-atk,45
shellder,sp-def,25
shellder,speed,40
cloyster,hp,50
cloyster,attack,95
cloyster,defense,180
cloyster,sp-atk,85
cloyster,sp-def,45
cloyster,speed,70
gastly,hp,30
gastly,attack,35
gastly,defense,30
gastly,sp-atk,100
gastly,sp-def,35
gastly,speed,80
haunter,hp,45
haunter,attack,50
haunter,defense,45
haunter,sp-atk,115
haunter,sp-def,55
haunter,speed,95
gengar,hp,60
gengar,attack,65
gengar,defense,60
gengar,sp-atk,130
gengar,sp-def,75
gengar,speed,110
gengar-mega,hp,60
gengar-mega,attack,65
gengar-mega,defense,80
gengar-mega,sp-atk,170
gengar-mega,sp-def,95
gengar-mega,speed,130
onix,hp,35
onix,attack,45
onix,defense,160
onix,sp-atk,30
onix,sp-def,45
onix,speed,70
drowzee,hp,60
drowzee,attack,48
drowzee,defense,45
drowzee,sp-atk,43
drowzee,sp-def,90
drowzee,speed,42
hypno,hp,85
hypno,attack,73
hypno,defense,70
hypno,sp-atk,73
hypno,sp-def,115
hypno,speed,67
krabby,hp,30
krabby,attack,105
krabby,defense,90
krabby,sp-atk,25
krabby,sp-def,25
krabby,speed,50
kingler,hp,55
kingler,attack,130
kingler,defense,115
kingler,sp-atk,50
kingler,sp-def,50
kingler,speed,75
voltorb,hp,40
voltorb,attack,30
voltorb,defense,50
voltorb,sp-atk,55
voltorb,sp-def,55
voltorb,speed,100
voltorb-hisuian-form,hp,40
voltorb-hisuian-form,attack,30
voltorb-hisuian-form,defense,50
voltorb-hisuian-form,sp-atk,55
voltorb-hisuian-form,sp-def,55
voltorb-hisuian-form,speed,100
electrode,hp,60
electrode,attack,50
electrode,defense,70
electrode,sp-atk,80
electrode,sp-def,80
electrode,speed,150
electrode-hisuian-form,hp,60
electrode-hisuian-form,attack,50
electrode-hisuian-form,defense,70
electrode-hisuian-form,sp-atk,80
electrode-hisuian-form,sp-def,80
electrode-hisuian-form,speed,150
electrode-lord-form,hp,60
electrode-lord-form,attack,50
electrode-lord-form,defense,70
electrode-lord-form,sp-atk,80
electrode-lord-form,sp-def,80
electrode-lord-form,speed,150
exeggcute,hp,60
exeggcute,attack,40
exeggcute,defense,80
exeggcute,sp-atk,60
exeggcute,sp-def,45
exeggcute,speed,40
exeggutor,hp,95
exeggutor,attack,95
exeggutor,defense,85
exeggutor,sp-atk,125
exeggutor,sp-def,75
exeggutor,speed,55
exeggutor-alolan-form,hp,95
exeggutor-alolan-form,attack,105
exeggutor-alolan-form,defense,85
exeggutor-alolan-form,sp-atk,125
exeggutor-alolan-form,sp-def,75
exeggutor-alolan-form,speed,45
cubone,hp,50
cubone,attack,50
cubone,defense,95
cubone,sp-atk,40
cubone,sp-def,50
cubone,speed,35
marowak,hp,60
marowak,attack,80
marowak,defense,110
marowak,sp-atk,50
marowak,sp-def,80
marowak,speed,45
marowak-alolan-form,hp,60
marowak-alolan-form,attack,80
marowak-alolan-form,defense,110
marowak-alolan-form,sp-atk,50
marowak-alolan-form,sp-def,80
marowak-alolan-form,speed,45
marowak-alolan-form-totem,hp,60
marowak-alolan-form-totem,attack,80
marowak-alolan-form-totem,defense,110
marowak-alolan-form-totem,sp-atk,50
marowak-alolan-form-totem,sp-def,80
marowak-alolan-form-totem,speed,45
hitmonlee,hp,50
hitmonlee,attack,120
hitmonlee,defense,53
hitmonlee,sp-atk,35
hitmonlee,sp-def,110
hitmonlee,speed,87
hitmonchan,hp,50
hitmonchan,attack,105
hitmonchan,defense,79
hitmonchan,sp-atk,35
hitmonchan,sp-def,110
hitmonchan,speed,76
lickitung,hp,90
lickitung,attack,55
lickitung,defense,75
lickitung,sp-atk,60
lickitung,sp-def,75
lickitung,speed,30
koffing,hp,40
koffing,attack,65
koffing,defense,95
koffing,sp-atk,60
koffing,sp-def,45
koffing,speed,35
weezing,hp,65
weezing,attack,90
weezing,defense,120
weezing,sp-atk,85
weezing,sp-def,70
weezing,speed,60
weezing-galarian-form,hp,65
weezing-galarian-form,attack,90
weezing-galarian-form,defense,120
weezing-galarian-form,sp-atk,85
weezing-galarian-form,sp-def,70
weezing-galarian-form,speed,60
rhyhorn,hp,80
rhyhorn,attack,85
rhyhorn,defense,95
rhyhorn,sp-atk,30
rhyhorn,sp-def,30
rhyhorn,speed,25
rhydon,hp,105
rhydon,attack,130
rhydon,defense,120
rhydon,sp-atk,45
rhydon,sp-def,45
rhydon,speed,40
chansey,hp,250
chansey,attack,5
chansey,defense,5
chansey,sp-atk,35
chansey,sp-def,105
chansey,speed,50
tangela,hp,65
tangela,attack,55
tangela,defense,115
tangela,sp-atk,100
tangela,sp-def,40
tangela,speed,60
kangaskhan,hp,105
kangaskhan,attack,95
kangaskhan,defense,80
kangaskhan,sp-atk,40
kangaskhan,sp-def,80
kangaskhan,speed,90
kangaskhan-mega,hp,105
kangaskhan-mega,attack,125
kangaskhan-mega,defense,100
kangaskhan-mega,sp-atk,60
kangaskhan-mega,sp-def,100
kangaskhan-mega,speed,100
horsea,hp,30
horsea,attack,40
horsea,defense,70
horsea,sp-atk,70
horsea,sp-def,25
horsea,speed,60
seadra,hp,55
seadra,attack,65
seadra,defense,95
seadra,sp-atk,95
seadra,sp-def,45
seadra,speed,85
goldeen,hp,45
goldeen,attack,67
goldeen,defense,60
goldeen,sp-atk,35
goldeen,sp-def,50
goldeen,speed,63
seaking,hp,80
seaking,attack,92
seaking,defense,65
seaking,sp-atk,65
seaking,sp-def,80
seaking,speed,68
staryu,hp,30
staryu,attack,45
staryu,defense,55
staryu,sp-atk,70
staryu,sp-def,55
staryu,speed,85
starmie,hp,60
starmie,attack,75
starmie,defense,85
starmie,sp-atk,100
starmie,sp-def,85
starmie,speed,115
mr-mime,hp,40
mr-mime,attack,45
mr-mime,defense,65
mr-mime,sp-atk,100
mr-mime,sp-def,120
mr-mime,speed,90
mr-mime-galarian-form,hp,50
mr-mime-galarian-form,attack,65
mr-mime-galarian-form,defense,65
mr-mime-galarian-form,sp-atk,90
mr-mime-galarian-form,sp-def,90
mr-mime-galarian-form,speed,100
scyther,hp,70
scyther,attack,110
scyther,defense,80
scyther,sp-atk,55
scyther,sp-def,80
scyther,speed,105
jynx,hp,65
jynx,attack,50
jynx,defense,35
jynx,sp-atk,115
jynx,sp-def,95
jynx,speed,95
electabuzz,hp,65
electabuzz,attack,83
electabuzz,defense,57
electabuzz,sp-atk,95
electabuzz,sp-def,85
electabuzz,speed,105
magmar,hp,65
magmar,attack,95
magmar,defense,57
magmar,sp-atk,100
magmar,sp-def,85
magmar,speed,93
pinsir,hp,65
pinsir,attack,125
pinsir,defense,100
pinsir,sp-atk,55
pinsir,sp-def,70
pinsir,speed,85
pinsir-mega,hp,65
pinsir-mega,attack,155
pinsir-mega,defense,120
pinsir-mega,sp-atk,65
pinsir-mega,sp-def,90
pinsir-mega,speed,105
tauros,hp,75
tauros,attack,100
tauros,defense,95
tauros,sp-atk,40
tauros,sp-def,70
tauros,speed,110
tauros-paldean-form-combat-breed,hp,75
tauros-paldean-form-combat-breed,attack,110
