move_identifier,language,name
aura-wheel,zh-simp,气场轮
aura-wheel,zh-trad,氣場輪
aurora-beam,jp-kana,オーロラビーム
aurora-beam,jp-kanji,オーロラビーム
aurora-beam,en,Aurora Beam
aurora-beam,fr,Onde Boréale
aurora-beam,it,Raggiaurora
aurora-beam,de,Aurorastrahl
aurora-beam,es,Rayo Aurora
aurora-beam,ko,오로라빔
aurora-beam,zh-simp,极光束
aurora-beam,zh-trad,極光束
aurora-veil,jp-kana,オーロラベール
aurora-veil,jp-kanji,オーロラベール
aurora-veil,en,Aurora Veil
aurora-veil,fr,Voile Aurore
aurora-veil,it,Velaurora
aurora-veil,de,Auroraschleier
aurora-veil,es,Velo Aurora
aurora-veil,ko,오로라베일
aurora-veil,zh-simp,极光幕
aurora-veil,zh-trad,極光幕
autotomize,jp-kana,ボディパージ
autotomize,jp-kanji,ボディパージ
autotomize,en,Autotomize
autotomize,fr,Allègement
autotomize,it,Sganciapesi
autotomize,de,Autotomie
autotomize,es,Aligerar
autotomize,ko,바디퍼지
autotomize,zh-simp,身体轻量化
autotomize,zh-trad,身體輕量化
avalanche,jp-kana,ゆきなだれ
avalanche,jp-kanji,ゆきなだれ
avalanche,en,Avalanche
avalanche,fr,Avalanche
avalanche,it,Slavina
avalanche,de,Lawine
avalanche,es,Alud
avalanche,ko,눈사태
avalanche,zh-simp,雪崩
avalanche,zh-trad,雪崩
axe-kick,jp-kana,かかとおとし
axe-kick,jp-kanji,かかとおとし
axe-kick,en,Axe Kick
axe-kick,fr,Talon-Marteau
axe-kick,it,Calcio ad Ascia
axe-kick,de,Fersenkick
axe-kick,es,Patada Hacha
axe-kick,ko,발꿈치찍기
axe-kick,zh-simp,下压踢
axe-kick,zh-trad,下壓踢
baby-doll-eyes,jp-kana,つぶらなひとみ
baby-doll-eyes,jp-kanji,つぶらなひとみ
baby-doll-eyes,en,Baby-Doll Eyes
baby-doll-eyes,fr,Regard Touchant
baby-doll-eyes,it,Occhioni Teneri
baby-doll-eyes,de,Kulleraugen
baby-doll-eyes,es,Ojitos Tiernos
baby-doll-eyes,ko,초롱초롱눈동자
baby-doll-eyes,zh-simp,圆瞳
baby-doll-eyes,zh-trad,圓瞳
baddy-bad,jp-kana,わるわるゾーン
baddy-bad,jp-kanji,わるわるゾーン
baddy-bad,en,Baddy Bad
baddy-bad,fr,Évo-Ténébro
baddy-bad,it,Zona Buiabuia
baddy-bad,de,Quälzone
baddy-bad,es,Umbreozona
baddy-bad,ko,아그아그존
baddy-bad,zh-simp,坏坏领域
baddy-bad,zh-trad,壞壞領域
baneful-bunker,jp-kana,トーチカ
baneful-bunker,jp-kanji,トーチカ
baneful-bunker,en,Baneful Bunker
baneful-bunker,fr,Blockhaus
baneful-bunker,it,Fortino
baneful-bunker,de,Bunker
baneful-bunker,es,Búnker
baneful-bunker,ko,토치카
baneful-bunker,zh-simp,碉堡
baneful-bunker,zh-trad,碉堡
barb-barrage,jp-kana,どくばりセンボン
barb-barrage,jp-kanji,どくばりセンボン
barb-barrage,en,Barb Barrage
barb-barrage,fr,Multitoxik
barb-barrage,it,Mille Fielespine
barb-barrage,de,Giftstachelregen
barb-barrage,es,Mil Púas Tóxicas
barb-barrage,ko,독침천발
barb-barrage,zh-simp,毒千针
barb-barrage,zh-trad,毒千針
barrage,jp-kana,たまなげ
barrage,jp-kanji,たまなげ
barrage,en,Barrage
barrage,fr,Pilonnage
barrage,it,Sferattacco
barrage,de,Stakkato
barrage,es,Bombardeo
barrage,ko,구슬던지기
barrage,zh-simp,投球
barrage,zh-trad,投球
barrier,jp-kana,バリアー
barrier,jp-kanji,バリアー
barrier,en,Barrier
barrier,fr,Bouclier
barrier,it,Barriera
barrier,de,Barriere
barrier,es,Barrera
barrier,ko,배리어
barrier,zh-simp,屏障
barrier,zh-trad,屏障
baton-pass,jp-kana,バトンタッチ
baton-pass,jp-kanji,バトンタッチ
baton-pass,en,Baton Pass
baton-pass,fr,Relais
baton-pass,it,Staffetta
baton-pass,de,Stafette
baton-pass,es,Relevo
baton-pass,ko,배턴터치
baton-pass,zh-simp,接棒
baton-pass,zh-trad,接棒
beak-blast,jp-kana,くちばしキャノン
beak-blast,jp-kanji,くちばしキャノン
beak-blast,en,Beak Blast
beak-blast,fr,Bec-Canon
beak-blast,it,Cannonbecco
beak-blast,de,Schnabelkanone
beak-blast,es,Pico Cañón
beak-blast,ko,부리캐논
beak-blast,zh-simp,鸟嘴加农炮
beak-blast,zh-trad,鳥嘴加農炮
beat-up,jp-kana,ふくろだたき
beat-up,jp-kanji,ふくろだたき
beat-up,en,Beat Up
beat-up,fr,Baston
beat-up,it,Picchiaduro
beat-up,de,Prügler
beat-up,es,Paliza
beat-up,ko,집단구타
beat-up,zh-simp,围攻
beat-up,zh-trad,圍攻
behemoth-bash,jp-kana,きょじゅうだん
behemoth-bash,jp-kanji,きょじゅうだん
behemoth-bash,en,Behemoth Bash
behemoth-bash,fr,Aegis Maxima
behemoth-bash,it,Colpo Maestoso
behemoth-bash,de,Gigantenstoß
behemoth-bash,es,Embate Supremo
behemoth-bash,ko,거수탄
behemoth-bash,zh-simp,巨兽弹
behemoth-bash,zh-trad,巨獸彈
behemoth-blade,jp-kana,きょじゅうざん
behemoth-blade,jp-kanji,きょじゅうざん
behemoth-blade,en,Behemoth Blade
behemoth-blade,fr,Gladius Maximus
behemoth-blade,it,Taglio Maestoso
behemoth-blade,de,Gigantenhieb
behemoth-blade,es,Tajo Supremo
behemoth-blade,ko,거수참
behemoth-blade,zh-simp,巨兽斩
behemoth-blade,zh-trad,巨獸斬
belch,jp-kana,ゲップ
belch,jp-kanji,ゲップ
belch,en,Belch
belch,fr,Éructation
belch,it,Rutto
belch,de,Rülpser
belch,es,Eructo
belch,ko,트림
belch,zh-simp,打嗝
belch,zh-trad,打嗝
belly-drum,jp-kana,はらだいこ
belly-drum,jp-kanji,はらだいこ
belly-drum,en,Belly Drum
belly-drum,fr,Cognobidon
belly-drum,it,Panciamburo
belly-drum,de,Bauchtrommel
belly-drum,es,Tambor
belly-drum,ko,배북
belly-drum,zh-simp,腹鼓
belly-drum,zh-trad,腹鼓
bestow,jp-kana,ギフトパス
bestow,jp-kanji,ギフトパス
bestow,en,Bestow
bestow,fr,Passe-Cadeau
bestow,it,Cediregalo
bestow,de,Offerte
bestow,es,Ofrenda
bestow,ko,기프트패스
bestow,zh-simp,传递礼物
bestow,zh-trad,傳遞禮物
bide,jp-kana,がまん
bide,jp-kanji,がまん
bide,en,Bide
bide,fr,Patience
bide,it,Pazienza
bide,de,Geduld
bide,es,Venganza
bide,ko,참기
bide,zh-simp,忍耐
bide,zh-trad,忍耐
bind,jp-kana,しめつける
bind,jp-kanji,しめつける
bind,en,Bind
bind,fr,Étreinte
bind,it,Legatutto
bind,de,Klammergriff
bind,es,Atadura
bind,ko,조이기
bind,zh-simp,绑紧
bind,zh-trad,綁緊
bite,jp-kana,かみつく
bite,jp-kanji,かみつく
bite,en,Bite
bite,fr,Morsure
bite,it,Morso
bite,de,Biss
bite,es,Mordisco
bite,ko,물기
bite,zh-simp,咬住
bite,zh-trad,咬住
bitter-blade,jp-kana,むねんのつるぎ
bitter-blade,jp-kanji,むねんのつるぎ
bitter-blade,en,Bitter Blade
bitter-blade,fr,Lame en Peine
bitter-blade,it,Lama del Rimorso
bitter-blade,de,Reueschwert
bitter-blade,es,Espada Lamento
bitter-blade,ko,원념의칼
bitter-blade,zh-simp,悔念剑
bitter-blade,zh-trad,悔念劍
bitter-malice,jp-kana,うらみつらみ
bitter-malice,jp-kanji,うらみつらみ
bitter-malice,en,Bitter Malice
bitter-malice,fr,Cœur de Rancœur
bitter-malice,it,Livore
bitter-malice,de,Niedertracht
bitter-malice,es,Rencor Reprimido
bitter-malice,ko,천추지한
bitter-malice,zh-simp,冤冤相报
bitter-malice,zh-trad,冤冤相報
black-hole-eclipse--physical,jp-kana,ブラックホールイクリプス
black-hole-eclipse--physical,jp-kanji,ブラックホールイクリプス
black-hole-eclipse--physical,en,Black Hole Eclipse
black-hole-eclipse--physical,fr,Trou Noir des Ombres
black-hole-eclipse--physical,it,Buco Nero del Non Ritorno
black-hole-eclipse--physical,de,Schwarzes Loch des Grauens
black-hole-eclipse--physical,es,Agujero Negro Aniquilador
black-hole-eclipse--physical,ko,블랙홀이클립스
black-hole-eclipse--physical,zh-simp,黑洞吞噬万物灭
black-hole-eclipse--physical,zh-trad,黑洞吞噬萬物滅
black-hole-eclipse--special,jp-kana,ブラックホールイクリプス
black-hole-eclipse--special,jp-kanji,ブラックホールイクリプス
black-hole-eclipse--special,en,Black Hole Eclipse
black-hole-eclipse--special,fr,Trou Noir des Ombres
black-hole-eclipse--special,it,Buco Nero del Non Ritorno
black-hole-eclipse--special,de,Schwarzes Loch des Grauens
black-hole-eclipse--special,es,Agujero Negro Aniquilador
black-hole-eclipse--special,ko,블랙홀이클립스
black-hole-eclipse--special,zh-simp,黑洞吞噬万物灭
black-hole-eclipse--special,zh-trad,黑洞吞噬萬物滅
blast-burn,jp-kana,ブラストバーン
blast-burn,jp-kanji,ブラストバーン
blast-burn,en,Blast Burn
blast-burn,fr,Rafale Feu
blast-burn,it,Incendio
blast-burn,de,Lohekanonade
blast-burn,es,Anillo Ígneo
blast-burn,ko,블라스트번
blast-burn,zh-simp,爆炸烈焰
blast-burn,zh-trad,爆炸烈焰
blaze-kick,jp-kana,ブレイズキック
blaze-kick,jp-kanji,ブレイズキック
blaze-kick,en,Blaze Kick
blaze-kick,fr,Pied Brûleur
blaze-kick,it,Calciardente
blaze-kick,de,Feuerfeger
blaze-kick,es,Patada Ígnea
blaze-kick,ko,블레이즈킥
blaze-kick,zh-simp,火焰踢
blaze-kick,zh-trad,火焰踢
blazing-torque,jp-kana,バーンアクセル
blazing-torque,jp-kanji,バーンアクセル
blazing-torque,en,Blazing Torque
blazing-torque,fr,Crash Brûlant
blazing-torque,it,Turboustione
blazing-torque,de,Hitzeturbo
blazing-torque,es,Pirochoque
blazing-torque,ko,번액셀
blazing-torque,zh-simp,灼热暴冲
blazing-torque,zh-trad,灼熱暴衝
bleakwind-storm,jp-kana,こがらしあらし
bleakwind-storm,jp-kanji,こがらしあらし
bleakwind-storm,en,Bleakwind Storm
bleakwind-storm,fr,Typhon Hivernal
bleakwind-storm,it,Tempesta Boreale
bleakwind-storm,de,Polarorkan
bleakwind-storm,es,Vendaval Gélido
bleakwind-storm,ko,찬바람폭풍
bleakwind-storm,zh-simp,枯叶风暴
bleakwind-storm,zh-trad,枯葉風暴
blizzard,jp-kana,ふぶき
blizzard,jp-kanji,ふぶき
blizzard,en,Blizzard
blizzard,fr,Blizzard
blizzard,it,Bora
blizzard,de,Blizzard
blizzard,es,Ventisca
blizzard,ko,눈보라
blizzard,zh-simp,暴风雪
blizzard,zh-trad,暴風雪
block,jp-kana,とおせんぼう
block,jp-kanji,とおせんぼう
block,en,Block
block,fr,Barrage
block,it,Blocco
block,de,Rückentzug
block,es,Bloqueo
block,ko,블록
block,zh-simp,挡路
block,zh-trad,擋路
blood-moon,jp-kana,ブラッドムーン
blood-moon,jp-kanji,ブラッドムーン
blood-moon,en,Blood Moon
blood-moon,fr,Lune Rouge
blood-moon,it,Luna Rossa
blood-moon,de,Blutmond
blood-moon,es,Luna Roja
blood-moon,ko,블러드문
blood-moon,zh-simp,血月
blood-moon,zh-trad,血月
bloom-doom--physical,jp-kana,ブルームシャインエクストラ
bloom-doom--physical,jp-kanji,ブルームシャインエクストラ
bloom-doom--physical,en,Bloom Doom
bloom-doom--physical,fr,Pétalexplosion Éblouissante
bloom-doom--physical,it,Floriscoppio Sfolgorante
bloom-doom--physical,de,Brillante Blütenpracht
bloom-doom--physical,es,Megatón Floral
bloom-doom--physical,ko,블룸샤인엑스트라
bloom-doom--physical,zh-simp,绚烂缤纷花怒放
bloom-doom--physical,zh-trad,絢爛繽紛花怒放
bloom-doom--special,jp-kana,ブルームシャインエクストラ
bloom-doom--special,jp-kanji,ブルームシャインエクストラ
bloom-doom--special,en,Bloom Doom
bloom-doom--special,fr,Pétalexplosion Éblouissante
bloom-doom--special,it,Floriscoppio Sfolgorante
bloom-doom--special,de,Brillante Blütenpracht
bloom-doom--special,es,Megatón Floral
bloom-doom--special,ko,블룸샤인엑스트라
bloom-doom--special,zh-simp,绚烂缤纷花怒放
bloom-doom--special,zh-trad,絢爛繽紛花怒放
blue-flare,jp-kana,あおいほのお
blue-flare,jp-kanji,あおいほのお
blue-flare,en,Blue Flare
blue-flare,fr,Flamme Bleue
blue-flare,it,Fuocoblu
blue-flare,de,Blauflammen
blue-flare,es,Llama Azul
blue-flare,ko,푸른불꽃
blue-flare,zh-simp,青焰
blue-flare,zh-trad,青焰
body-press,jp-kana,ボディプレス
body-press,jp-kanji,ボディプレス
body-press,en,Body Press
body-press,fr,Big Splash
body-press,it,Schiacciacorpo
body-press,de,Body Press
body-press,es,Plancha Corporal
body-press,ko,바디프레스
body-press,zh-simp,扑击
body-press,zh-trad,撲擊
body-slam,jp-kana,のしかかり
body-slam,jp-kanji,のしかかり
body-slam,en,Body Slam
body-slam,fr,Plaquage
body-slam,it,Corposcontro
body-slam,de,Bodyslam
body-slam,es,Golpe Cuerpo
body-slam,ko,누르기
body-slam,zh-simp,泰山压顶
body-slam,zh-trad,泰山壓頂
bolt-beak,jp-kana,でんげきくちばし
bolt-beak,jp-kanji,でんげきくちばし
bolt-beak,en,Bolt Beak
